id,alpha,delta,magnitude,diameter,axisRatio,posAngle,Common name,PGC,PGC2,Messier
NGC438,18.392317,-37.901656,13.63,0.73,1.22,150,,PGC4406,,
NGC456,18.435000,-73.290556,,15.00,1.22,90,,,,
NGC439,18.446973,-31.747206,12.38,1.46,1.43,150,,PGC4423,,
NGC441,18.463551,-31.788363,13.76,0.96,1.14,135,,PGC4429,,
NGC435,18.499401,2.071512,15.00,0.79,2.63,15,,PGC4434,,
NGC431,18.518896,33.704238,14.00,0.85,1.47,40,,PGC4437,,
IC1657,18.529242,-32.650897,13.16,1.54,3.85,170,,PGC4440,,
IC87,18.565793,0.765332,15.40,0.42,1.25,105,,PGC4454,,
NGC437,18.592848,5.926954,14.00,0.76,1.35,150,,PGC4464,,
NGC454,18.595542,-55.398722,14.26,1.74,1.58,78,,,,
NGC460,18.673297,-73.297557,,2.6,,,,,,
NGC442,18.661014,-1.020654,14.50,0.88,1.67,155,,PGC4484,,
NGC445,18.718723,1.917409,15.50,0.53,1.11,150,,PGC4493,,
IC1652,18.734484,31.948478,14.30,0.93,3.57,170,,PGC4498,,
IC1653,18.781692,33.377249,13.90,0.55,1.11,0,,PGC4512,,
NGC443,18.781692,33.377249,13.90,0.55,1.11,0,,PGC4512,,
NGC433,18.798000,60.133000,,3.00,,,,,,
IC1654,18.799362,30.194789,14.30,0.60,1.79,35,,PGC4520,,
NGC448,18.818831,-1.626246,13.20,1.13,2.08,115,,PGC4524,,
NGC450,18.876902,-0.860868,13.40,0.75,1.35,55,,PGC4540,,
NGC447,18.906873,33.067793,14.00,1.08,1.85,20,,PGC4550,,
NGC465,18.925000,-73.328333,,5.00,1.25,120,,,,
NGC444,18.956600,31.080231,14.70,0.72,3.33,160,,PGC4561,,
NGC455,18.990199,5.178674,13.90,0.93,1.39,145,,PGC4572,,
NGC436,19.001000,58.820000,8.80,6.00,,,,,,
NGC446,19.015125,4.294158,13.80,0.64,1.39,110,,PGC4578,,
IC89,19.015125,4.294158,13.80,0.64,1.39,110,,PGC4578,,
IC1659,19.025198,30.349074,14.60,0.67,1.32,15,,PGC4584,,
NGC449,19.030053,33.089348,14.96,0.45,1.61,75,,PGC4587,,
NGC451,19.051646,33.064097,14.80,0.50,1.32,50,,PGC4594,,
NGC452,19.061672,31.033796,14.00,1.12,2.50,35,,PGC4596,,
IC90,19.126409,-7.977037,14.52,0.67,1.11,165,,PGC4606,,
NGC466,19.305133,-58.909897,13.58,0.75,1.22,95,,PGC4632,,
NGC461,19.336000,-33.840890,14.11,1.20,1.26,43,,PGC4636,,
NGC459,19.534142,17.562315,15.70,0.35,1.47,30,,PGC4665,,
NGC462,19.545802,4.226089,,0.35,1.14,85,,PGC4667,,
IC1668,19.720800,33.172856,15.70,0.27,1.35,70,,PGC4712,,
NGC463,19.742544,16.325484,15.20,0.68,2.08,5,,PGC4719,,
IC93,19.759763,-17.060414,13.57,0.75,2.18,165,,PGC4724,PGC889345,
NGC464,19.776446,34.946547,,0.29,1.43,65,,PGC4721,,
NGC467,19.792285,3.300731,11.85,1.12,1.09,135,,PGC4736,,
NGC469,19.887675,14.870772,15.00,0.42,2.18,150,,PGC4753,,
NGC484,19.894725,-58.524419,13.07,1.09,1.52,85,,PGC4764,,
NGC457,19.887000,58.278000,6.40,13.00,,,,,,
NGC470,19.936886,3.410008,11.78,1.66,1.72,150,,PGC4777,,
IC92,19.951665,32.767905,15.10,0.53,1.47,175,,PGC4780,,
NGC468,19.951665,32.767905,15.10,0.53,1.47,175,,PGC4780,,
NGC473,19.979415,16.544801,12.63,0.97,1.52,155,,PGC4785,,
NGC471,19.998316,14.786199,14.00,0.44,1.04,110,,PGC4793,,
NGC475,20.008349,14.861065,17.35,0.36,1.32,110,,PGC4796,,
NGC474,20.027863,3.415517,11.51,7.94,1.26,75,,PGC4801,,
IC1669,20.028500,33.184761,15.70,0.50,2.38,10,,PGC4802,,
NGC478,20.036912,-22.377460,14.61,0.44,1.67,140,,PGC4803,,
NGC476,20.082928,16.020146,15.20,0.48,1.47,95,,PGC4814,,
NGC482,20.085089,-40.966101,14.50,1.34,3.84,85,,PGC4823,,
NGC472,20.119574,32.709078,14.20,0.59,1.09,80,,PGC4833,,
IC1672,20.159135,29.698896,14.00,0.73,1.43,125,,PGC4848,,
IC98,20.228641,-12.604636,15.00,0.44,1.06,70,,PGC4869,,
IC1676,20.244061,30.259457,15.70,0.47,1.52,175,,PGC4871,,
IC1675,20.249349,34.248687,14.30,0.75,2.63,70,,PGC4876,,
IC1678,20.260588,5.560498,15.50,0.34,1.39,155,,PGC4875,,
IC1677,20.279583,33.215556,15.20,1.10,1.82,129,,PGC4891,,
NGC481,20.302132,-9.211190,14.19,0.71,1.22,85,,PGC4899,,
NGC479,20.315637,3.862332,14.71,0.39,1.25,95,,PGC4905,,
NGC491,20.335107,-34.063342,12.54,0.92,1.39,95,,PGC4914,,
NGC477,20.334754,40.488171,14.00,0.67,1.16,135,,PGC4915,,
IC1681,20.338804,0.090483,15.00,0.39,1.93,115,,PGC4916,,
NGC485,20.364975,7.018058,14.20,1.04,3.33,5,,PGC4921,,
IC1679,20.435464,33.493747,15.50,0.45,1.35,55,,PGC4944,,
NGC488,20.444986,5.256840,15.00,5.01,1.38,15,,PGC4946,,
IC1680,20.463268,33.282711,14.90,0.41,1.06,85,,PGC4956,,
NGC489,20.474543,9.206629,13.40,1.10,3.57,120,,PGC4957,,
NGC487,20.479582,-16.370327,13.99,0.67,1.56,110,,PGC4958,,
NGC483,20.484619,33.521006,14.00,0.68,1.14,110,,PGC4961,,
NGC490,20.511969,5.367164,14.48,0.35,1.22,5,,PGC4973,,
NGC493,20.537437,0.945336,13.00,1.20,3.12,60,,PGC4979,,
NGC486,20.543975,5.411447,15.00,0.24,1.39,95,,PGC4975,,
NGC492,20.556496,5.417037,15.50,0.40,1.35,110,,PGC4976,,
NGC497,20.599071,-0.875213,14.10,1.32,2.27,135,,PGC4992,,
IC99,20.614034,-12.952584,15.00,0.40,1.19,170,,PGC4997,,
IC1683,20.661946,34.437003,14.20,0.47,1.56,160,,PGC5008,,
NGC500,20.664017,5.387211,15.20,0.49,1.39,95,,PGC5013,,
NGC494,20.730666,33.173889,13.80,1.46,2.94,100,,PGC5035,,
NGC502,20.731491,9.049178,13.80,0.75,1.09,30,,PGC5034,,
NGC495,20.733159,33.471401,14.00,0.80,1.56,0,,PGC5037,,
