id,alpha,delta,magnitude,Spectral type,HD,HIP,Common name
40 psi Vir,193.588181,-9.538994,4.80,M3-III,HD112142,HIP62985,
mu.01 Cru,193.648436,-57.177923,4.04,B2IV-V,HD112092,HIP63003,
mu.02 Cru,193.653684,-57.168665,5.20,B5Vne,HD112091,HIP63005,
lam Cru,193.663261,-59.146703,4.60,B3Vne,HD112078,HIP63007,
TU CVn,193.735502,47.196722,5.84,M5-III-IIIa,HD112264,HIP63024,
iot Oct,193.745040,-85.123362,5.46,K0III,HD111482,HIP63031,
8 Dra,193.868952,65.438474,5.22,F3IV,HD112429,HIP63076,
43 del Vir,193.900869,3.397470,3.38,M3+III,HD112300,HIP63090,Auva
12 alf01 CVn,194.001798,38.314853,5.60,F2V,HD112412,HIP63121,
12 alf02 CVn,194.006940,38.318376,2.88,A0VpSiEu,HD112413,HIP63125,Cor Caroli
RY Dra,194.107963,65.994392,6.34,C-N3III:,HD112559,HIP63152,
H Cen,194.268131,-51.198754,5.16,B2IV,HD112409,HIP63210,
36 Com,194.731012,17.409443,5.00,M0.5III,HD112769,HIP63355,
44 k Vir,194.914726,-3.811937,5.79,A3III,HD112846,HIP63414,
9 Dra,194.979465,66.597269,5.37,K2III,HD113092,HIP63432,
37 Com,195.068623,30.785022,4.88,G9IIICH-2CN-1,HD112989,HIP63462,
46 Vir,195.149779,-3.368488,5.99,K1III,HD112992,HIP63494,
78 UMa,195.182081,56.366336,4.93,F2V,HD113139,HIP63503,
38 Com,195.290064,17.123147,5.93,G9III,HD113095,HIP63533,
47 eps Vir,195.544154,10.959149,2.79,G8III-IIIb,HD113226,HIP63608,Vindemiatrix
del Mus,195.567736,-71.548859,3.61,K2III,HD112985,HIP63613,
ksi01 Cen,195.888771,-49.527264,4.83,A0V,HD113314,HIP63724,
48 Vir,195.976753,-3.663146,6.59,A9IV,HD113459,HIP63750,
14 CVn,196.435148,35.798900,5.20,B9V,HD113797,HIP63901,
f Cen,196.569599,-48.463291,4.69,B4V,HD113703,HIP63945,
39 Com,196.588499,21.153398,5.99,F4V,HD113848,HIP63948,
40 Com,196.594175,22.616187,5.61,M5III:,HD113866,HIP63950,
ksi02 Cen,196.727664,-49.906245,4.27,B3V,HD113791,HIP64004,
41 Com,196.794708,27.624738,4.69,K5-III,HD113996,HIP64022,
49 Vir,196.974220,-10.740409,5.15,K0.5IIIbFe-0.5,HD114038,HIP64078,
tet Mus,197.029805,-65.306022,5.53,WC5+B0III,HD113904,HIP64094,
g Vir,197.135275,-8.984382,5.56,K1III,HD114113,HIP64122,
45 psi Hya,197.263608,-23.118044,4.93,K0III,HD114149,HIP64166,
15 CVn,197.425133,38.533884,6.28,B7III,HD114376,HIP64217,
50 Vir,197.438672,-10.329340,5.94,K4III,HD114287,HIP64224,
51 tet Vir,197.487454,-5.539004,4.40,A1IVs,HD114330,HIP64238,
42 alf Com,197.497023,17.529405,4.80,F5V,HD114378,HIP64241,Diadem
42 alf Com,197.497036,17.529512,5.48,F6V,HD114379,,
17 CVn,197.513400,38.498981,5.91,A9III-IV,HD114447,HIP64246,
43 bet Com,197.968308,27.878184,4.25,F9.5V,HD114710,HIP64394,
53 Vir,198.014763,-16.198603,5.04,F5.5V,HD114642,HIP64407,
54 Vir,198.361816,-18.826405,6.28,B9V+A2VpSr,HD114846,HIP64520,
55 Vir,198.545396,-19.930946,5.33,G7IV,HD114946,HIP64577,
56 Vir,198.687974,-10.370383,6.98,M1III,HD115062,HIP64625,
eta Mus,198.812230,-67.894591,4.78,B7III+B7III,HD114911,HIP64661,
19 CVn,198.883124,40.855203,5.78,A7V,HD115271,HIP64692,
57 Vir,198.994879,-19.943100,5.22,K1IV-,HD115202,HIP64725,
59 e Vir,199.193812,9.424156,5.22,G0V,HD115383,HIP64792,
r Cen,199.221383,-31.506201,5.11,K0III,HD115310,HIP64803,
20 CVn,199.385588,40.572607,4.70,A9IImF2,HD115604,HIP64844,
60 sig Vir,199.401180,5.469867,4.80,M1III,HD115521,HIP64852,
21 CVn,199.560456,49.682064,5.15,B9IV(Si),HD115735,HIP64906,
61 Vir,199.601308,-18.311194,4.74,G6.5V,HD115617,HIP64924,
46 gam Hya,199.730407,-23.171514,3.00,G8IIIa,HD115659,HIP64962,
23 CVn,200.078963,40.150547,5.60,K2II-III,HD116010,HIP65072,
62 Vir,200.083262,-11.304181,6.73,K0III,HD115903,HIP65074,
iot Cen,200.149220,-36.712305,2.73,kA1.5hA3mA3Va,HD115892,HIP65109,
64 Vir,200.540437,5.154754,5.87,kA3hA6mA7,HD116235,HIP65241,
J Cen,200.658055,-60.988381,4.51,B3V,HD116087,HIP65271,
63 Vir,200.754644,-17.735275,5.35,K0III,HD116292,HIP65301,
65 Vir,200.828723,-4.924428,5.86,K4III,HD116365,HIP65323,
79 zet UMa,200.981426,54.925360,2.22,A1.5Vas,HD116656,HIP65378,Mizar
79 zet UMa,200.984675,54.921809,3.88,kA1h(eA)mA7IV-V,HD116657,,Mitsar
m Cen,201.002011,-64.535670,4.52,G5IIb,HD116243,HIP65387,
66 Vir,201.138536,-5.164001,5.75,K2V,HD116568,HIP65420,
iot01 Mus,201.279662,-74.887819,5.04,K0III,HD116244,HIP65468,
67 alf Vir,201.298247,-11.161319,0.97,B1V,HD116658,HIP65474,Spica
80 g UMa,201.306408,54.987960,4.01,A5V+M3-4V,HD116842,HIP65477,Alcor
