alpha,delta,No,id,diameter
323.5904,45.7621,181,Ced 181,9
326.4714,30.8279,182a,Ced 182a,70
327.0572,44.4647,183a,Ced 183a,
327.5795,42.6341,183b,Ced 183b,43
327.8384,44.4688,183c,Ced 183c,85
327.749,56.9021,184,Ced 184,10
329.1527,31.792,182b,Ced 182b,73
329.0919,47.5086,185,Ced 185,9
329.3571,31.3096,182c,Ced 182c,
329.8047,44.4121,183d,Ced 183d,120
330.2901,54.6481,186,Ced 186,15
315.4634,68.1625,187,Ced 187,18
332.7811,46.9429,188,Ced 188,
333.176,47.8447,189,Ced 189,2
333.1673,60.0783,190,Ced 190,100
334.5352,58.6675,191,Ced 191,15.5
335.9475,55.5232,192,Ced 192,
338.3342,-0.6515,193,Ced 193,75
339.5404,68.2536,194,Ced 194,8
339.9521,57.5214,195a,Ced 195a,180
340.811,57.8076,195b,Ced 195b,150
341.0424,66.1752,196,Ced 196,7.5
341.2138,53.0088,197,Ced 197,
343.5054,47.3323,198,Ced 198,12
332.8742,59.427,199,Ced 199,
333.2919,55.312,200,Ced 200,
333.3631,70.2464,201,Ced 201,11.5
334.1182,54.0489,202,Ced 202,
334.2421,56.1829,203,Ced 203,30
334.606,63.218,204,Ced 204,
337.2779,58.4118,205,Ced 205,
341.7487,57.8772,206,Ced 206,18
344.2318,62.7345,207,Ced 207,
346.2941,60.2397,208,Ced 208,15
348.3925,61.511,209,Ced 209,10
350.1755,61.1977,210,Ced 210,15.5
355.9436,-15.2783,211,Ced 211,1.5
356.2433,69.7552,212,Ced 212,3
359.4154,52.79,213,Ced 213,30
0.6051,67.1568,214a,Ced 214a,16
1.1677,67.1568,214b,Ced 214b,25
1.1942,68.5568,215,Ced 215,60
