id,alpha,delta,WISE_GID,Class,diameter,Radius,HIIName,Group
WISE 4254,36.71464,62.27279,G133.781+01.428,K,5.93,178,G133.790+01.410; W3,G133.790+01.410; W3
WISE 4255,36.72060,62.19668,G133.811+01.357,G,12.10,363,,G133.790+01.410; W3
WISE 4256,36.58993,62.00163,G133.824+01.153,G,11.73,352,,G133.790+01.410; W3
WISE 4257,37.78474,63.26638,G133.871+02.531,Q,6.47,194,,
WISE 4258,36.81456,62.00276,G133.922+01.193,Q,3.40,102,,G133.720+01.210; S190; W3
WISE 4259,36.77333,61.87515,G133.950+01.066,G,2.97,89,W3(OH),G133.720+01.210; S190; W3
WISE 4260,36.84302,61.91284,G133.966+01.113,G,2.97,89,,G133.720+01.210; S190; W3
WISE 4261,36.89108,61.93516,G133.979+01.142,G,3.80,114,,G133.720+01.210; S190; W3
WISE 4262,36.80138,61.61587,G134.056+00.829,G,7.83,235,,G136.913+01.033; W4; S190
WISE 4263,37.06341,61.53937,G134.200+00.804,G,5.07,152,,G136.913+01.033; W4; S190
WISE 4264,37.10319,61.47822,G134.240+00.754,G,3.60,108,,G136.913+01.033; W4; S190
WISE 4265,37.25613,61.55696,G134.279+00.853,G,2.00,60,,G136.913+01.033; W4; S190
WISE 4266,38.73854,62.61083,G134.523+02.092,Q,4.13,124,,
WISE 4267,34.12547,55.38127,G134.879-05.506,C,5.70,171,,
WISE 4268,38.46994,61.15340,G134.970+00.699,K,104.80,3144,G136.913+01.033; W4; S190,G136.913+01.033; W4; S190
WISE 4269,40.60221,62.90160,G135.188+02.701,C,4.73,142,,
WISE 4270,40.86872,62.95051,G135.278+02.796,Q,4.30,129,,
WISE 4271,39.13732,60.54586,G135.506+00.265,Q,6.27,188,,
WISE 4272,39.98783,61.35964,G135.559+01.177,Q,4.57,137,,
WISE 4273,41.53144,62.77630,G135.626+02.765,C,3.43,103,,
WISE 4274,41.84982,63.07612,G135.628+03.099,Q,19.60,588,,
WISE 4275,40.19691,61.02345,G135.788+00.911,G,83.03,2491,,
WISE 4276,39.30717,59.72022,G135.910-00.460,Q,4.00,120,,S193
WISE 4277,41.79518,61.96753,G136.084+02.087,K,3.00,90,S192,
WISE 4278,41.83095,61.92624,G136.117+02.058,K,3.60,108,S194,
WISE 4279,41.89080,61.98040,G136.119+02.118,K,4.23,127,S193,S193
WISE 4280,41.95732,61.92546,G136.171+02.083,Q,3.47,104,,S193
WISE 4281,41.16803,60.71077,G136.348+00.823,Q,2.40,72,,G136.913+01.033
WISE 4282,42.53473,61.99704,G136.384+02.266,Q,5.97,179,,
WISE 4283,41.22409,60.67260,G136.389+00.799,G,10.83,325,,G136.913+01.033
WISE 4284,42.89693,62.19545,G136.448+02.519,K,10.57,317,S196,
WISE 4285,41.36118,60.45560,G136.542+00.631,C,2.83,85,,
WISE 4286,41.32351,60.18493,G136.640+00.378,C,23.73,712,,
WISE 4287,41.81346,60.51499,G136.718+00.780,Q,4.23,127,,G136.913+01.033
WISE 4288,42.31072,61.01182,G136.721+01.333,Q,2.77,83,,G136.913+01.033
WISE 4289,41.60830,60.21554,G136.755+00.466,C,8.27,248,,
WISE 4290,42.30592,60.76716,G136.826+01.113,G,5.93,178,,G136.913+01.033
WISE 4291,42.23305,60.56103,G136.884+00.911,K,26.83,805,G136.913+01.033,G136.913+01.033
WISE 4292,42.44439,60.70298,G136.915+01.084,Q,3.23,97,,G136.913+01.033
WISE 4293,43.41329,60.50509,G137.429+01.120,C,2.00,60,,
WISE 4294,43.32400,60.37831,G137.447+00.987,G,86.63,2599,W5W; S199,G136.913+01.033
WISE 4295,44.26617,60.74281,G137.692+01.522,G,6.03,181,,G136.913+01.033
WISE 4296,44.30154,60.66600,G137.743+01.463,G,6.50,195,,G136.913+01.033
WISE 4297,45.73124,61.69538,G137.862+02.696,C,4.80,144,,
WISE 4298,44.92154,60.54424,G138.069+01.497,G,47.13,1414,W5E; S199,G136.913+01.033
WISE 4299,45.39335,60.49028,G138.299+01.560,G,4.33,130,,G136.913+01.033
WISE 4300,45.81233,60.46127,G138.494+01.634,K,12.90,387,G138.486+01.635; S201,
WISE 4301,42.57688,55.85239,G139.115-03.239,Q,3.80,114,,
WISE 4302,47.43043,59.90649,G139.468+01.551,C,5.50,165,,
WISE 4303,47.46773,59.83758,G139.519+01.501,C,8.53,256,,
WISE 4304,48.60925,60.70857,G139.558+02.539,C,45.63,1369,,
WISE 4305,45.27339,57.34893,G139.746-01.229,C,182.07,5462,,
WISE 4306,49.00195,60.47647,G139.844+02.441,Q,2.73,82,,
WISE 4307,46.84934,58.50357,G139.914+00.188,C,7.63,229,,
WISE 4308,49.36615,60.54168,G139.962+02.592,C,2.93,88,,
WISE 4309,50.99394,61.53061,G140.091+03.850,C,16.50,495,,
WISE 4310,49.74074,60.37000,G140.210+02.545,Q,3.40,102,,
WISE 4311,47.54213,57.78490,G140.591-00.251,Q,3.23,97,,
WISE 4312,48.67918,58.62207,G140.675+00.775,Q,2.97,89,,
WISE 4313,51.29072,60.47916,G140.793+03.052,C,24.67,740,,
WISE 4314,47.18997,56.82252,G140.912-01.178,Q,5.60,168,,
WISE 4315,47.37509,56.78202,G141.020-01.162,C,11.67,350,,
WISE 4316,47.56645,56.83421,G141.084-01.063,C,8.30,249,,
WISE 4317,48.03841,56.49334,G141.481-01.225,Q,4.50,135,,
WISE 4318,48.97168,57.15198,G141.576-00.397,Q,14.20,426,,
WISE 4319,52.97806,60.13075,G141.681+03.237,C,3.37,101,,
WISE 4320,52.39784,58.88257,G142.152+02.044,Q,51.53,1546,,
WISE 4321,51.83402,58.33844,G142.216+01.429,C,3.53,106,,
WISE 4322,51.88083,58.32302,G142.245+01.430,C,3.20,96,,
WISE 4323,55.87140,60.69736,G142.499+04.539,Q,6.70,201,,
WISE 4324,53.44424,57.53064,G143.379+01.251,C,12.63,379,,
WISE 4325,50.86553,55.12321,G143.555-01.542,K,42.93,1288,S203,S203
WISE 4326,51.07680,55.20302,G143.611-01.410,Q,2.27,68,,G136.913+01.033
WISE 4327,51.20820,54.95067,G143.814-01.579,G,14.80,444,,S203
WISE 4328,54.88349,55.94913,G144.947+00.435,C,18.43,553,,
WISE 4329,55.15217,55.76823,G145.176+00.380,Q,3.63,109,,
WISE 4330,58.11188,57.81066,G145.195+02.987,Q,4.27,128,,
WISE 4331,60.31111,58.59785,G145.573+04.336,Q,2.27,68,,
WISE 4332,60.33941,58.59958,G145.583+04.347,Q,2.27,68,,
WISE 4333,57.19023,55.90493,G145.999+01.187,C,5.57,167,,
WISE 4334,59.59282,57.28374,G146.144+03.093,C,82.90,2487,,
WISE 4335,61.59297,58.41333,G146.198+04.644,Q,3.20,96,,
WISE 4336,59.12755,54.36346,G147.832+00.694,Q,2.23,67,,
WISE 4337,59.58055,54.65444,G147.845+01.086,C,6.83,205,,
WISE 4338,58.21016,53.47344,G147.984-00.335,K,44.00,1320,S205,S205
WISE 4339,58.40643,53.58727,G148.002-00.173,Q,8.17,245,,S205
WISE 4340,59.32936,54.18053,G148.040+00.630,Q,3.43,103,,
WISE 4341,59.06658,53.87129,G148.121+00.295,Q,3.83,115,,
WISE 4342,59.19916,53.91145,G148.155+00.375,Q,3.20,96,,
WISE 4343,61.40242,55.27453,G148.225+02.241,Q,2.43,73,,
WISE 4344,59.34372,53.55680,G148.449+00.160,Q,2.53,76,,
WISE 4345,61.42403,54.91558,G148.474+01.982,C,3.47,104,,
WISE 4346,61.46434,54.85312,G148.533+01.952,Q,1.77,53,,
WISE 4347,61.84353,55.08234,G148.541+02.268,C,34.47,1034,,
WISE 4348,61.52255,54.86201,G148.552+01.980,C,9.67,290,,
WISE 4349,61.36358,54.74940,G148.559+01.836,C,3.40,102,,
WISE 4350,61.75161,54.98703,G148.566+02.162,Q,2.60,78,,
WISE 4351,61.96131,54.75866,G148.809+02.073,Q,1.37,41,,
WISE 4352,62.55640,55.01184,G148.890+02.492,Q,3.07,92,,
WISE 4353,62.46453,54.87677,G148.943+02.357,C,33.97,1019,,
WISE 4354,60.36834,53.34056,G149.053+00.393,Q,15.40,462,,
WISE 4355,57.88486,51.52215,G149.063-01.974,Q,13.77,413,,
WISE 4356,61.60271,53.36287,G149.590+00.897,Q,4.57,137,,
WISE 4357,60.57025,52.43813,G149.738-00.207,C,7.10,213,,
WISE 4358,59.19687,51.43452,G149.749-01.521,Q,2.93,88,,
WISE 4359,60.81537,51.31000,G150.596-00.955,K,16.07,482,G150.590-00.950; S206,
WISE 4360,60.96087,51.01603,G150.859-01.115,C,4.10,123,,
WISE 4361,61.43840,51.35070,G150.860-00.666,C,38.17,1145,,
WISE 4362,64.63631,53.42138,G150.869+02.178,Q,9.50,285,,
WISE 4363,61.79500,51.41403,G150.982-00.471,K,6.03,181,BFS34,
WISE 4364,64.94252,53.16426,G151.180+02.124,K,9.90,297,S207,S207
WISE 4365,65.43574,53.42535,G151.205+02.516,G,55.07,1652,,S207
WISE 4366,64.61747,52.87550,G151.243+01.780,G,23.33,700,,S208
WISE 4367,64.86216,52.98294,G151.273+01.961,K,10.30,309,S208,S208
WISE 4368,65.23800,52.94738,G151.459+02.095,G,34.07,1022,,S208
WISE 4369,62.58782,51.14867,G151.528-00.332,Q,3.20,96,,G151.594-00.228; S209
WISE 4370,62.63463,51.06559,G151.606-00.373,G,13.87,416,,G151.594-00.228; S209
WISE 4371,62.78985,51.16616,G151.609-00.233,K,13.83,415,G151.594-00.228; S209,G151.594-00.228; S209
WISE 4372,62.54912,50.99274,G151.616-00.462,Q,3.77,113,,G151.594-00.228; S209
WISE 4373,62.60239,51.00396,G151.633-00.431,Q,1.33,40,,G151.594-00.228; S209
WISE 4374,62.59799,50.91115,G151.694-00.501,G,13.93,418,,G151.594-00.228; S209
WISE 4375,62.05855,50.50527,G151.717-01.032,C,8.63,259,,
WISE 4376,61.71435,50.15910,G151.787-01.436,Q,6.17,185,,
WISE 4377,61.35697,49.63853,G151.964-01.976,Q,4.37,131,,
WISE 4378,63.55558,50.62435,G152.332-00.297,Q,5.83,175,,
WISE 4379,65.63367,51.84178,G152.412+01.483,Q,4.07,122,,
WISE 4380,67.59367,52.62198,G152.687+02.889,K,36.97,1109,S210,
WISE 4381,67.24155,51.75803,G153.166+02.137,Q,7.40,222,,
WISE 4382,69.24781,52.28567,G153.619+03.401,Q,3.17,95,,
WISE 4383,68.89510,52.01669,G153.673+03.061,Q,11.87,356,,
WISE 4384,69.08833,51.21730,G154.346+02.612,C,8.37,251,,
WISE 4385,68.35858,50.72705,G154.397+01.942,Q,3.00,90,,
WISE 4386,68.97469,51.04449,G154.426+02.443,C,7.93,238,,
WISE 4387,68.68435,50.75124,G154.519+02.109,Q,4.13,124,,
WISE 4388,67.00128,49.66604,G154.573+00.582,Q,6.70,201,,
WISE 4389,68.67721,50.66300,G154.581+02.046,Q,4.13,124,,
WISE 4390,69.20335,50.87837,G154.646+02.438,K,12.33,370,G154.640+02.436; S211,
WISE 4391,68.79710,50.43187,G154.803+01.946,C,24.90,747,,
WISE 4392,65.94603,48.35993,G155.026-00.826,Q,12.77,383,,
WISE 4393,68.79112,50.02728,G155.099+01.670,Q,4.13,124,,
WISE 4394,70.17287,50.45480,G155.372+02.613,K,15.30,459,G155.357+02.609; S212,G155.357+02.609; S212
WISE 4395,66.86400,48.45700,G155.382-00.321,C,63.03,1891,,
WISE 4396,67.31908,48.59340,G155.492-00.010,Q,6.33,190,,
WISE 4397,70.34141,50.37367,G155.503+02.640,Q,1.73,52,,G155.357+02.609; S212
WISE 4398,66.62311,47.00583,G156.313-01.447,Q,6.50,195,,
WISE 4399,66.78471,46.64551,G156.649-01.618,Q,10.13,304,,
WISE 4400,67.86821,44.39851,G158.802-02.615,Q,11.17,335,,
WISE 4401,68.08913,44.40239,G158.907-02.498,Q,3.57,107,,
WISE 4402,74.62309,47.97368,G159.143+03.257,G,2.43,73,,S217
WISE 4403,74.72474,48.00690,G159.159+03.331,K,18.17,545,S217,S217
WISE 4404,74.02479,47.38439,G159.354+02.576,K,7.13,214,S219,
WISE 4405,65.81139,41.95464,G159.529-05.389,Q,7.80,234,,
WISE 4406,55.01063,31.85613,G159.916-18.649,C,94.17,2825,,
WISE 4407,59.67233,36.33627,G159.957-12.738,K,189.63,5689,G160.487-12.133,
WISE 4408,72.88794,45.78242,G160.104+00.958,Q,2.50,75,,
WISE 4409,73.04437,45.82306,G160.142+01.069,C,63.43,1903,,
WISE 4410,75.43268,47.13231,G160.144+03.170,Q,8.57,257,,
WISE 4411,72.90277,45.58611,G160.262+00.842,Q,5.47,164,,
WISE 4412,76.01889,44.86129,G162.195+02.110,Q,3.90,117,,
WISE 4413,71.36027,41.99158,G162.296-02.324,C,13.60,408,,
WISE 4414,75.58653,44.26919,G162.477+01.505,Q,10.23,307,,
WISE 4415,80.44893,45.02880,G163.899+04.748,Q,2.47,74,,
WISE 4416,75.76051,42.35653,G164.069+00.436,Q,2.30,69,,
WISE 4417,75.97151,42.36532,G164.157+00.565,Q,10.67,320,,
WISE 4418,79.98207,42.83448,G165.519+03.227,Q,3.43,103,,
WISE 4419,80.21932,42.87843,G165.582+03.394,Q,3.23,97,,
WISE 4420,75.00117,39.93052,G165.634-01.503,Q,23.57,707,,
WISE 4421,79.16346,42.05892,G165.807+02.287,Q,3.27,98,,
WISE 4422,77.56989,40.65666,G166.242+00.496,C,5.23,157,,
WISE 4423,80.91836,42.40914,G166.261+03.553,Q,4.93,148,,
WISE 4424,74.21852,37.95221,G166.810-03.208,C,4.57,137,,
WISE 4425,80.15728,41.11936,G167.004+02.356,Q,2.80,84,,
WISE 4426,81.41716,41.69328,G167.063+03.460,C,4.87,146,,
WISE 4427,81.67118,41.39532,G167.417+03.452,Q,4.20,126,,
WISE 4428,77.50047,38.81983,G167.688-00.638,Q,9.20,276,,
WISE 4429,80.51104,40.09393,G168.001+01.994,Q,5.57,167,,
WISE 4430,79.30795,39.36835,G168.066+00.819,Q,6.87,206,,
WISE 4431,81.78786,40.54884,G168.171+03.054,K,24.73,742,S225,
WISE 4432,78.12349,38.44886,G168.275-00.465,Q,11.20,336,,
WISE 4433,77.73887,37.98626,G168.470-00.982,K,11.57,347,S226,
WISE 4434,77.86190,37.87764,G168.615-00.968,Q,2.83,85,,
WISE 4435,79.87222,38.84020,G168.750+00.873,K,41.60,1248,S227,
WISE 4436,78.34744,37.45868,G169.180-00.905,K,19.83,595,G169.191-00.903; S228,
WISE 4437,79.57471,37.64497,G169.594-00.005,C,4.27,128,,
WISE 4438,79.54558,37.56142,G169.649-00.071,C,7.63,229,,
WISE 4439,81.80754,38.59903,G169.802+01.984,C,9.87,296,,
WISE 4440,81.63030,38.48079,G169.823+01.803,C,13.67,410,,
WISE 4441,81.78499,38.52830,G169.851+01.930,C,6.00,180,,
WISE 4442,81.96861,38.54013,G169.921+02.056,Q,3.00,90,,
WISE 4443,79.22239,37.02795,G169.936-00.589,Q,2.23,67,,
WISE 4444,79.23633,37.01746,G169.951-00.587,Q,2.23,67,,
WISE 4445,80.64373,37.67721,G170.051+00.708,Q,12.33,370,,
WISE 4446,82.09853,38.26814,G170.204+01.990,Q,2.30,69,,
WISE 4447,82.82713,38.26714,G170.520+02.466,Q,5.37,161,,
WISE 4448,80.47506,36.63859,G170.830+00.009,Q,2.17,65,,
WISE 4449,82.59806,37.51993,G171.046+01.906,Q,4.03,121,,
WISE 4450,81.16437,36.60427,G171.171+00.445,Q,8.27,248,,
WISE 4451,83.67760,37.60898,G171.438+02.672,Q,4.33,130,,
WISE 4452,81.58517,36.31291,G171.602+00.563,Q,2.63,79,,
WISE 4453,81.64854,36.23882,G171.692+00.564,Q,2.63,79,,
WISE 4454,79.07691,34.31468,G172.080-02.258,K,23.83,715,S229; S229; IC405,
WISE 4455,84.05007,36.88196,G172.211+02.529,Q,2.93,88,,
WISE 4456,83.68287,36.66998,G172.231+02.167,C,49.93,1498,,
WISE 4457,84.08804,36.52344,G172.530+02.362,Q,5.33,160,,
WISE 4458,81.56754,34.89003,G172.774-00.245,C,2.00,60,,
WISE 4459,82.18256,35.10818,G172.873+00.295,Q,4.33,130,,
WISE 4460,84.21803,36.18383,G172.873+02.269,Q,2.73,82,,
WISE 4461,78.66811,32.75167,G173.156-03.442,Q,24.27,728,,
WISE 4462,80.77811,33.97118,G173.168-01.299,C,10.00,300,,
WISE 4463,84.61528,35.87633,G173.305+02.376,C,2.60,78,,
WISE 4464,85.02599,36.05775,G173.328+02.754,Q,2.57,77,,
WISE 4465,84.62924,35.85275,G173.331+02.372,C,2.70,81,,
WISE 4466,84.66974,35.82502,G173.372+02.385,C,2.77,83,,
WISE 4467,82.01084,34.41096,G173.375-00.209,K,20.03,601,S234,
WISE 4468,84.90535,35.89891,G173.411+02.586,G,22.87,686,,G173.599+02.798; S236
WISE 4469,85.09218,35.98519,G173.418+02.760,Q,2.50,75,,G173.599+02.798; S236
WISE 4470,85.61801,36.18986,G173.468+03.230,G,45.63,1369,,G173.599+02.798; S236
WISE 4471,84.80344,35.76338,G173.482+02.445,Q,1.50,45,,G173.599+02.798; S236
WISE 4472,84.78975,35.75286,G173.485+02.430,Q,1.90,57,,G173.599+02.798; S236
WISE 4473,80.73214,33.53170,G173.509-01.580,G,2.87,86,,G173.607-01.733; S235
WISE 4474,80.83301,33.52750,G173.560-01.513,G,2.00,60,,G173.607-01.733; S235
WISE 4475,80.78062,33.47094,G173.582-01.581,G,4.33,130,,G173.607-01.733; S235
WISE 4476,84.86949,35.67790,G173.583+02.444,Q,1.83,55,,G173.599+02.798; S236
WISE 4477,80.75897,33.45130,G173.588-01.606,K,43.27,1298,G173.607-01.733; S235,G173.607-01.733; S235
WISE 4478,82.65556,34.49584,G173.598+00.281,Q,14.33,430,,
WISE 4479,85.25524,35.85445,G173.599+02.803,K,14.60,438,G173.599+02.798; S236,G173.599+02.798; S236
WISE 4480,85.21908,35.71035,G173.706+02.702,G,3.60,108,,G173.599+02.798; S236
WISE 4481,85.40369,35.79514,G173.713+02.875,Q,4.70,141,,G173.599+02.798; S236
WISE 4482,85.22007,35.69203,G173.722+02.693,Q,1.47,44,,G173.599+02.798; S236
WISE 4483,85.21744,35.64246,G173.763+02.665,G,4.77,143,,G173.599+02.798; S236
WISE 4484,85.24559,35.63787,G173.779+02.683,Q,1.53,46,,
WISE 4485,82.89717,34.22127,G173.937+00.298,K,17.13,514,G173.898+00.284; S237,
WISE 4486,82.69212,33.79867,G174.197-00.076,Q,4.13,124,,
WISE 4487,84.38626,34.63593,G174.254+01.555,C,68.43,2053,,
WISE 4488,82.52358,33.49183,G174.376-00.363,Q,1.67,50,,
WISE 4489,82.52086,33.48075,G174.384-00.371,Q,1.67,50,,
WISE 4490,82.51108,33.39148,G174.454-00.427,Q,4.10,123,,
WISE 4491,86.60363,35.21984,G174.715+03.408,Q,4.77,143,,
WISE 4492,85.18557,34.48907,G174.729+02.033,Q,4.87,146,,
WISE 4493,86.06592,32.95711,G176.418+01.850,Q,2.70,81,,
WISE 4494,82.58704,31.02897,G176.462-01.674,Q,2.33,70,,
WISE 4495,82.63114,31.04068,G176.473-01.636,C,4.83,145,,
WISE 4496,82.58368,31.01152,G176.475-01.685,Q,2.00,60,,
WISE 4497,84.16051,31.86104,G176.494-00.095,C,9.43,283,,
WISE 4498,84.44013,31.99662,G176.507+00.178,C,6.77,203,,
WISE 4499,87.32817,33.40946,G176.578+02.989,Q,5.97,179,,
WISE 4500,84.57925,31.74474,G176.783+00.144,C,17.33,520,,
WISE 4501,83.44072,30.51809,G177.291-01.339,C,10.23,307,,
WISE 4502,84.70077,30.73040,G177.696-00.311,C,15.73,472,,
WISE 4503,85.67347,30.97167,G177.934+00.525,C,2.53,76,,
WISE 4504,85.69192,30.95560,G177.956+00.531,C,2.53,76,,
WISE 4505,86.03704,30.92902,G178.134+00.769,Q,11.17,335,,
WISE 4506,86.79765,30.59687,G178.758+01.154,Q,5.90,177,,
WISE 4507,90.13822,31.94505,G179.037+04.299,Q,5.43,163,,
WISE 4508,85.66578,28.91171,G179.682-00.564,Q,13.97,419,,
WISE 4509,91.04655,31.49695,G179.808+04.753,C,6.07,182,,
WISE 4510,84.52204,27.93452,G179.977-01.935,Q,4.90,147,,
WISE 4511,92.00972,31.38301,G180.306+05.418,C,5.90,177,,
WISE 4512,91.30998,30.79571,G180.533+04.611,Q,2.83,85,,
WISE 4513,91.11187,30.47644,G180.730+04.307,G,18.63,559,,S241
WISE 4514,90.84975,30.23943,G180.827+03.994,G,3.77,113,,S241
WISE 4515,90.99536,30.25830,G180.872+04.112,K,5.53,166,S241,S241
WISE 4516,91.01057,30.20395,G180.926+04.097,G,14.83,445,,S241
WISE 4517,91.19390,30.23396,G180.977+04.251,Q,3.03,91,,
WISE 4518,91.23610,30.11276,G181.101+04.223,Q,2.57,77,,
WISE 4519,87.57656,28.17790,G181.180+00.488,Q,3.87,116,,
WISE 4520,91.85147,30.19595,G181.286+04.729,Q,3.63,109,,
WISE 4521,91.94352,30.09867,G181.410+04.752,C,4.93,148,,
WISE 4522,84.86425,26.36215,G181.471-02.516,Q,12.20,366,,
WISE 4523,91.82239,29.97175,G181.471+04.599,Q,7.33,220,,
WISE 4524,88.17707,27.82176,G181.758+00.762,Q,2.93,88,,
WISE 4525,91.90772,29.36976,G182.036+04.375,Q,11.67,350,,
WISE 4526,87.92017,26.99989,G182.349+00.148,K,14.33,430,S242,S242
WISE 4527,88.05699,26.99427,G182.416+00.250,G,2.63,79,,S242
WISE 4528,88.09047,26.90852,G182.505+00.232,Q,9.17,275,,S242
WISE 4529,88.17993,26.35285,G183.024+00.017,C,4.63,139,,
WISE 4530,87.76036,25.75728,G183.344-00.611,Q,3.30,99,,
WISE 4531,89.62793,26.70805,G183.370+01.316,Q,12.33,370,,
WISE 4532,86.71484,25.06307,G183.453-01.778,Q,4.00,120,,
WISE 4533,85.10032,23.84820,G183.720-03.665,Q,4.00,120,,
WISE 4534,89.48459,25.96800,G183.947+00.835,Q,33.97,1019,,
WISE 4535,90.47361,26.41850,G183.997+01.828,C,8.03,241,,
WISE 4536,85.56855,22.81646,G184.826-03.842,Q,5.63,169,,
WISE 4537,87.55794,23.87181,G184.870-01.733,Q,4.00,120,,
WISE 4538,88.43175,24.24559,G184.955-00.856,Q,4.00,120,,
WISE 4539,85.25242,20.36798,G186.764-05.376,Q,13.33,400,,
WISE 4540,94.09790,24.29887,G187.438+03.674,Q,6.03,181,,
WISE 4541,90.14569,21.68836,G187.959-00.773,C,2.53,76,,
WISE 4542,94.65699,23.32642,G188.539+03.666,K,12.33,370,BFS51,
WISE 4543,92.26879,21.85863,G188.777+01.028,C,2.27,68,,
WISE 4544,92.27912,21.84337,G188.795+01.030,C,2.30,69,,
WISE 4545,92.32475,21.84737,G188.812+01.068,Q,4.00,120,,
WISE 4546,92.09417,21.58813,G188.935+00.755,K,15.70,471,S247,S247
WISE 4547,92.22419,21.64027,G188.948+00.887,Q,4.00,120,,S247
WISE 4548,89.60186,20.23205,G188.970-01.938,Q,4.00,120,,
WISE 4549,95.23338,23.07653,G189.009+04.018,K,89.73,2692,S249,S249
WISE 4550,92.16627,21.51670,G189.030+00.780,Q,3.07,92,,S247
WISE 4551,92.19458,21.52901,G189.032+00.809,Q,2.20,66,,S247
WISE 4552,92.38041,21.39615,G189.232+00.895,Q,3.73,112,,
WISE 4553,95.81673,22.88456,G189.430+04.404,Q,7.67,230,,S249
WISE 4554,92.44580,20.91351,G189.684+00.715,Q,2.07,62,,
WISE 4555,92.12985,20.65629,G189.766+00.333,G,5.80,174,,G189.971+00.395; S252
WISE 4556,92.24245,20.64153,G189.830+00.417,K,6.63,199,G189.971+00.395; S252,G189.971+00.395; S252
WISE 4557,92.14649,20.56430,G189.854+00.302,Q,3.63,109,,G189.971+00.395; S252
WISE 4558,92.33600,20.65684,G189.859+00.502,G,5.80,174,,G189.971+00.395; S252
WISE 4559,92.46875,20.50845,G190.049+00.538,G,5.80,174,,G189.971+00.395; S252
WISE 4560,92.72161,20.60924,G190.075+00.795,G,8.60,258,,G189.971+00.395; S252
WISE 4561,92.47193,20.45754,G190.095+00.516,G,28.03,841,,G189.971+00.395; S252
WISE 4562,92.38092,19.42547,G190.957-00.057,Q,5.50,165,,
WISE 4563,91.65708,19.02284,G190.977-00.851,Q,25.23,757,,
WISE 4564,92.82645,19.58957,G191.016+00.390,Q,5.50,165,,
WISE 4565,90.88639,18.18086,G191.354-01.900,Q,16.30,489,,
WISE 4566,93.69925,19.01411,G191.916+00.837,K,7.53,226,BFS52,
WISE 4567,93.50283,18.78440,G192.029+00.563,Q,5.43,163,,
WISE 4568,89.56177,16.54739,G192.151-03.805,Q,13.67,410,,
WISE 4569,96.43408,19.99888,G192.260+03.574,C,2.00,60,,
WISE 4570,93.83046,18.67421,G192.274+00.783,Q,72.17,2165,,
WISE 4571,90.20862,16.69373,G192.331-03.195,C,14.47,434,,
WISE 4572,93.08817,18.03399,G192.499-00.142,K,12.63,379,S254,
WISE 4573,93.10394,17.99203,G192.543-00.149,G,2.00,60,,G192.632-00.018; S255
WISE 4574,93.18156,17.99254,G192.578-00.083,K,4.83,145,S257,
WISE 4575,93.22148,18.00646,G192.584-00.043,K,2.00,60,G192.616-00.044; S257,
WISE 4576,93.22637,17.98963,G192.601-00.048,Q,1.80,54,,G192.632-00.018; S255
WISE 4577,93.15058,17.94222,G192.608-00.133,G,4.57,137,,G192.632-00.018; S255
WISE 4578,93.21691,17.96647,G192.617-00.067,Q,1.80,54,,G192.632-00.018; S255
WISE 4579,93.28100,17.97586,G192.638-00.008,K,5.80,174,G192.632-00.018; S255,G192.632-00.018; S255
WISE 4580,92.46420,17.48132,G192.697-00.928,Q,4.60,138,,
WISE 4581,93.84956,-06.45147,G214.627-10.938,Q,10.47,314,,
WISE 4582,93.36567,17.92642,G192.720+00.038,K,4.63,139,S258,
WISE 4583,92.57268,17.37854,G192.837-00.887,C,15.90,477,,
WISE 4584,92.78203,17.46567,G192.857-00.671,C,10.17,305,,
WISE 4585,92.84820,17.44216,G192.908-00.627,Q,1.20,36,,
WISE 4586,92.86703,17.44062,G192.918-00.611,C,4.97,149,,
WISE 4587,93.59623,17.74309,G192.986+00.143,C,5.10,153,,
WISE 4588,92.22878,16.91038,G193.088-01.401,C,2.70,81,,
WISE 4589,92.46810,16.77081,G193.321-01.269,C,29.00,870,,
WISE 4590,92.61975,16.72071,G193.435-01.166,Q,3.40,102,,
WISE 4591,94.87994,17.38106,G193.885+01.048,Q,6.60,198,,
WISE 4592,92.21642,15.70447,G194.138-01.996,K,42.93,1288,G194.070-01.846,
WISE 4593,93.33965,15.39996,G194.926-01.194,C,3.77,113,,
WISE 4594,93.31771,15.37818,G194.935-01.222,Q,2.63,79,,
WISE 4595,93.01071,15.15483,G194.989-01.589,Q,4.70,141,,
WISE 4596,83.81784,09.63178,G195.335-12.122,K,101.33,3040,S264; S264; lambda Ori,
WISE 4597,95.17039,15.63513,G195.557+00.471,Q,4.37,131,,
WISE 4598,94.68825,15.28068,G195.650-00.106,C,4.63,139,,
WISE 4599,94.75364,15.29639,G195.666-00.043,Q,1.57,47,,
WISE 4600,94.90628,15.35832,G195.681+00.115,Q,3.37,101,,
WISE 4601,94.69402,15.22805,G195.699-00.127,Q,1.57,47,,
WISE 4602,94.66770,15.08727,G195.811-00.215,Q,1.57,47,,
WISE 4603,94.35312,14.91125,G195.822-00.566,Q,1.97,59,,
WISE 4604,94.27176,14.63366,G196.029-00.768,Q,3.17,95,,
WISE 4605,93.89513,14.28422,G196.163-01.255,Q,3.03,91,,S267
WISE 4606,93.12539,13.86121,G196.178-02.113,Q,3.80,114,,
WISE 4607,94.91526,14.79798,G196.178-00.142,Q,2.37,71,,
