idPNMain,PNGId,PNstat,id,alpha,delta,diamArcSeconds,diameter,axisRatio,posAngle,Catalogue,Common name,Caldwell-Messier
171,PN G005.8-06.1,T,NGC 6620,275.72577,-26.82139,7.4,0.123,1.37,,1992secg.book.....A,,
172,PN G005.8+05.1,T,H 2-16,264.981,-21.2365,23.6,0.393,,,1992secg.book.....A,,
174,PN G006.0-03.6,T,M 2-31,273.31677,-25.50138,4,0.067,1.08,,1992secg.book.....A,,
176,PN G006.0-41.9,T,PRMG 1,316.47314,-37.14452,8.2,0.137,1,,1992secg.book.....A,,
177,PN G006.2-03.7,T,KFL 15,273.581,-25.3471,8.5,0.142,,,1992secg.book.....A,,
178,PN G006.2+01.0,T,HaTr 8,268.983,-22.98361,13,0.217,,,1992secg.book.....A,,
179,PN G006.3+03.3,T,H 2-22,266.89136,-21.78975,8,0.133,,,1992secg.book.....A,,
180,PN G006.3+04.4,T,H 2-18,265.86978,-21.16425,3.8,0.063,,,1992secg.book.....A,,
181,PN G006.4-04.6,T,Pe 2-13,274.55566,-25.63581,8,0.133,,,1992secg.book.....A,,
182,PN G006.4+02.0,T,M 1-31,268.17267,-22.36579,3.5,0.058,1.17,,1992secg.book.....A,,
183,PN G006.5-05.8,T,SB 13,275.751,-26.0877,37.8,0.63,1.03,,2001A&A...378..843K,,
184,PN G006.5-03.1,T,H 1-61,273.14157,-24.83341,2,0.033,1,,1992secg.book.....A,,
185,PN G006.5+03.4,T,PN PBOZ 29,266.95443,-21.53947,9.1,0.152,,,1992secg.book.....A,,
186,PN G006.7-02.2,T,M 1-41,272.37733,-24.20833,108,1.8,2.04,,1992secg.book.....A,,
187,PN G006.8-08.6,T,Al 1,278.73022,-27.10503,14.5,0.242,1.18,,1992secg.book.....A,,
188,PN G006.8-03.4,T,H 2-45,273.61976,-24.72721,4.6,0.077,,,1992secg.book.....A,,
189,PN G006.8+02.3,T,Th 4-7,268.09425,-21.85381,4,0.067,,,1992secg.book.....A,,
190,PN G006.8-19.8,T,Wray 16-423,290.54428,-31.51074,1.4,0.023,1,,1992secg.book.....A,,
191,PN G006.8+02.0,T,Pe 2-10,268.40461,-21.97865,3.8,0.063,,,1992secg.book.....A,,
192,PN G007.0-06.8,T,Vy 2-1,276.99835,-26.11341,4,0.067,1,,1992secg.book.....A,,
193,PN G007.0+06.3,T,M 1-24,264.54828,-19.62712,6.4,0.107,,,1992secg.book.....A,,
194,PN G007.0-06.0,T,H 1-66,276.239,-25.6986,8.2,0.137,,,1992secg.book.....A,,
195,PN G007.2+01.8,T,IC 4670,268.77929,-21.7445,7.7,0.128,1.13,,1992secg.book.....A,,
197,PN G007.5+07.4,T,M 1-22,263.79266,-18.57234,9,0.15,,,1992secg.book.....A,,
198,PN G007.6+06.9,T,M 1-23,264.34167,-18.7783,7,0.117,,,1992secg.book.....A,,
199,PN G007.7-05.3,T,SB 14,275.927,-24.7912,19.2,0.32,1.03,,2001A&A...378..843K,,
