id,alpha,delta,diameter
Ced 92,107.1661,-4.3252,
Ced 89e,107.3342,-10.3437,
Ced 94a,109.3333,-13.1624,
Ced 95,109.6618,-24.9659,
Ced 97,110.3248,-8.8713,
Ced 98,111.0143,-29.2952,
Ced 99,111.1803,-16.1961,
Ced 102,115.9539,-28.956,
Ced 104,122.3958,-47.3452,
Ced 105,124.5585,-37.1288,
Ced 106b,127.265,-47.9341,
Ced 106e,127.4272,-44.1018,
Ced 106f,127.7945,-47.8716,
Ced 106g,128.354,-44.3423,
Ced 106h,128.8835,-40.6461,
Ced 106k,130.2954,-47.3071,
Ced 106m,130.8098,-48.1777,
Ced 107,154.1908,-57.9661,
Ced 109b,165.3234,-60.7208,
Ced 110,166.4479,-77.3406,
Ced 111,167.0061,-77.6586,
Ced 113a,167.9612,-61.3769,
Ced 113b,167.9625,-61.2269,
Ced 113c,167.9872,-61.3103,
Ced 113d,168.0384,-61.2771,
Ced 113e,168.0644,-61.2105,
Ced 113f,168.1139,-61.3606,
Ced 114,171.9887,-59.9507,
Ced 120,176.5217,-56.3722,
Ced 124,234.6867,-29.778,
Ced 126,239.2196,-29.2081,
Ced 125d,239.7134,-26.1205,
Ced 125e,240.0791,-22.6173,
Ced 131a,246.3604,-24.4633,
Ced 135a,248.4271,-48.0965,
Ced 135b,248.5034,-48.1458,
Ced 136a,249.9272,-49.0164,
Ced 138,255.998,-37.8427,
Ced 140,260.1037,-36.0704,
Ced 141,260.1482,-30.1529,
Ced 143,261.3474,-29.9915,
Ced 144,261.7989,-7.0859,
Ced 146,263.1798,-17.5231,
Ced 147,263.6586,-32.5861,
Ced 148,263.5594,-17.9362,
Ced 153,272.0554,-26.2376,
Ced 154a,272.0723,-23.4373,
Ced 154b,272.2723,-23.4353,
Ced 154c,272.3289,-24.0015,
Ced 155,271.8327,45.8477,
Ced 156,273.8166,-20.7368,
Ced 158,274.198,-16.7163,
Ced 162,276.4658,-18.4277,
Ced 164,282.2259,0.5785,
Ced 165a,285.2643,-37.0613,
Ced 165b,285.4115,-36.8933,
Ced 165c,285.4871,-36.9425,
Ced 171,295.6949,27.5036,
Ced 172,299.6524,29.9379,
Ced 174,299.967,37.0409,
Ced 176a,302.2136,39.7932,
Ced 177,302.3535,36.8442,
Ced 178,302.5026,34.962,
Ced 176b,318.2147,40.3787,
Ced 180,322.826,37.0406,
Ced 183a,327.0572,44.4647,
Ced 182c,329.3571,31.3096,
Ced 188,332.7811,46.9429,
Ced 192,335.9475,55.5232,
Ced 197,341.2138,53.0088,
Ced 199,332.8742,59.427,
Ced 200,333.2919,55.312,
Ced 202,334.1182,54.0489,
Ced 204,334.606,63.218,
Ced 205,337.2779,58.4118,
Ced 207,344.2318,62.7345,
