id,alpha,delta,diameter,MWSC Id
ASCC 23,95.0895,46.675,45,839
FSR 1107,95.097,-7.005,15,840
NGC 2220,95.22,-44.7,15,841
NGC 2215,95.22,-7.295,39,843
Collinder 91,95.46,2.374,30.6,844
FSR 0859,95.448,27.1,9.6,845
FSR 0941,95.4465,15.733,16.8,846
Berkeley 73,95.5155,-6.319,10.2,847
FSR 0888,95.5575,23.41,18,848
FSR 0951,95.5845,14.705,22.8,849
Collinder 92,95.73,5.1,25.8,850
FSR 0880,95.76,24.532,17.4,851
FSR 0890,95.7825,23.199,16.8,852
Dolidze 22,95.8095,4.59,19.2,854
NGC 2219,95.9325,-4.695,17.4,855
FSR 0962,95.9625,14.1,16.2,856
FSR 0955,95.9625,14.515,10.2,857
FSR 0927,96.06,18.017,19.8,858
FSR 1136,96.1875,-10.265,18,859
FSR 1235,96.27,-23.31,16.8,860
BDSB 91,96.3225,-10.555,18,861
FSR 0957,96.36,14.575,16.8,862
Teutsch 11,96.3465,13.867,18.6,863
Bochum 1,96.3225,19.78,17.4,864
FSR 0929,96.39,17.72,17.4,865
FSR 0948,96.468,15.86,15.6,867
NGC 2225,96.6555,-9.64,18,868
NGC 2232,96.99,-4.795,45.6,871
FSR 1033,97.0875,2.935,14.4,873
FSR 0936,97.1475,16.927,13.8,874
ASCC 24,97.185,-6.98,34.8,875
FSR 0831,97.2,33.645,14.4,876
FSR 0967,97.3155,14.255,10.8,877
NGC 2234,97.335,16.759,19.2,878
Alessi 53,97.3305,9.165,13.2,879
NGC 2243,97.392,-31.285,19.8,880
NGC 2236,97.4175,6.817,19.8,881
FSR 1031,97.575,3.39,19.2,883
Collinder 96,97.6275,2.845,13.2,884
Alessi 14,97.608,9.741,10.2,885
Czernik 26,97.755,-4.215,13.8,886
vdBergh 80,97.7085,-9.65,15.6,887
Collinder 95,97.77,9.91,20.4,889
IC 446,97.7595,10.435,21.6,890
FSR 0979,97.815,11.083,18.6,891
Collinder 97,97.92,5.975,18.6,892
Juchert 18,97.863,6.804,11.4,893
FSR 0977,97.965,11.845,17.4,895
NGC 2244,97.98,4.94,43.8,896
FSR 0974,98.145,12.543,16.2,898
NGC 2240,98.3325,35.265,16.8,900
Berkeley 23,98.325,20.525,15,902
FSR 0905,98.427,22.288,18.6,904
NGC 2250,98.4225,-5.08,19.8,905
Basel 8,98.55,8.01,20.4,907
RMC-4b,98.559,4.46,12,908
FSR 1317,98.535,-34.944,10.8,909
FSR 1099,98.625,-3.84,16.8,910
NGC 2252,98.625,5.37,26.4,911
FSR 0848,98.6115,31.4,13.2,912
FSR 1106,98.6325,-5.245,18,913
NGC 2248,98.655,26.305,6,915
NGC 2251,98.655,8.37,21.6,916
FSR 1063,98.658,-0.267,21,917
