id,alpha,delta,diameter,MWSC Id
Ruprecht 73,135.291,-50.917,9,1615
Pismis 10,135.6585,-43.636,10.2,1619
FSR 1442,135.7005,-43.96,10.2,1620
DBSB 34,135.795,-47.817,7.8,1622
FSR 1416,136.1535,-41.126,12.6,1623
ESO 260-17,136.188,-46.035,13.8,1624
ESO 165-09,136.35,-55.938,19.2,1625
FSR 1402,136.44,-37.875,23.4,1626
FSR 1367,136.44,-26.34,14.4,1627
FSR 1460,136.9125,-47.825,20.4,1628
Platais 8,136.875,-59.16,180,1629
FSR 1366,137.484,-25.48,13.2,1631
vdBergh-Hagen 58,137.55,-56.262,8.4,1632
ESO 166-04,137.625,-53.89,17.16,1633
ESO 261-03,137.8275,-47.06,17.4,1634
FSR 1468,137.9475,-48.07,15,1635
NGC 2808,138.0135,-64.863,31.2,1636
FSR 1389,138.042,-32.76,16.8,1637
FSR 1579,138.42,-77.425,18,1638
Platais 9,137.955,-43.53,252,1639
FSR 1474,138.6675,-49.745,12,1640
DBSB 35,138.7905,-47.465,14.4,1641
FSR 1381,138.9225,-29.675,13.2,1642
Pismis 11,138.9705,-50.01,9.24,1643
NGC 2818,139.05,-36.615,32.4,1644
DBSB 36,139.2,-47.945,15.6,1645
ESO 211-09,139.1835,-50.283,9,1646
ASCC 51,139.5225,-69.69,54,1647
NGC 2849,139.8465,-40.517,10.2,1648
ESO 314-14,139.878,-38.132,13.8,1649
Pismis 12,139.9995,-45.11,13.8,1650
Ruprecht 159,140.1075,-60.395,12,1651
Teutsch 48,140.1375,-52.827,9.6,1652
vdBergh-Hagen 63,140.163,-49.217,12.6,1653
E 3,140.238,-77.282,12,1654
Ruprecht 74,140.25,-37.117,9,1655
FSR 1464,140.445,-45.76,13.8,1656
Ruprecht 75,140.4795,-56.317,10.2,1657
NGC 2866,140.529,-51.1,12,1658
FSR 1485,140.5125,-51.966,12,1659
FSR 1471,141.045,-47.34,13.8,1661
Ruprecht 76,141.0675,-51.66,14.4,1663
ESO 261-07,141.15,-44.67,13.2,1664
DBSB 39,141.1035,-53.136,7.2,1665
vdBergh-Hagen 66,141.3375,-54.725,9.6,1667
Miller 1,141.42,-53.225,7.8,1668
vdBergh-Hagen 67,141.6825,-51.273,16.2,1669
Ruprecht 77,141.795,-55.123,16.8,1670
IC 2488,141.915,-57,27,1671
ASCC 52,141.9975,-54.25,16.8,1672
FSR 1577,142.1925,-76.085,18,1673
Teutsch 103,142.155,-46.6,10.8,1674
Ruprecht 78,142.26,-53.71,15,1675
FSR 1407,142.4625,-33.835,19.2,1676
FSR 1484,142.446,-50.682,12,1677
Pismis 14,142.47,-52.78,12,1678
NGC 2910,142.62,-52.925,15,1679
Basel 20,142.7475,-56.43,16.8,1680
vdBergh-Hagen 72,142.845,-53.035,10.8,1681
vdBergh-Hagen 73,142.965,-50.215,12.6,1682
FSR 1417,143.0925,-35.98,13.8,1683
Turner 5,143.3175,-36.41,108,1684
FSR 1391,143.2125,-28.848,31.2,1685
NGC 2925,143.286,-53.371,32.4,1686
FSR 1489,143.316,-51.195,13.8,1687
Teutsch 66,143.397,-52.375,12,1688
FSR 1507,143.4825,-56.248,12.6,1689
Pismis 15,143.688,-48.03,18,1690
vdBergh-Hagen 75,143.679,-54.7,14.16,1691
FSR 1431,143.7825,-36.563,19.2,1692
NGC 2932,143.8665,-46.81,16.8,1694
FSR 1500,144.4755,-53.953,8.04,1695
FSR 1405,144.465,-31.615,20.4,1696
ASCC 53,144.54,-59.46,31.8,1697
SAI 108,144.72,-52.935,15,1698
NGC 2972,145.0575,-50.325,13.2,1699
Hogg 1,145.137,-50.58,11.4,1700
Ruprecht 79,145.23,-53.85,18.6,1701
Ruprecht 80,145.515,-44.02,13.2,1703
FSR 1496,145.7475,-52.117,10.8,1704
SAI 109,145.905,-50.783,10.8,1705
vdBergh-Hagen 78,145.95,-56.565,6.24,1706
vdBergh-Hagen 79,146.0325,-53.325,20.4,1708
ASCC 54,146.1975,-54.435,21.6,1709
Ruprecht 81,146.2995,-44.1,13.8,1710
Ruprecht 82,146.4375,-53.968,10.2,1711
FSR 1541,146.7165,-64.632,13.2,1712
FSR 1451,146.9025,-37.055,13.8,1713
FSR 1509,147.0045,-55.067,12,1714
NGC 3033,147.1275,-56.425,15,1715
FSR 1513,147.15,-55.79,16.8,1716
Ruprecht 84,147.285,-65.24,21.6,1717
Ruprecht 83,147.33,-54.612,10.8,1718
NGC 3036,147.315,-62.67,16.8,1719
FSR 1566,147.645,-72.762,16.8,1720
Pismis 16,147.8145,-53.173,9,1721
Hogg 2,147.9,-56.31,9,1722
ASCC 55,148.5,-57.077,33,1724
Collinder 213,148.68,-50.925,19.2,1725
FSR 1475,148.6425,-42.235,24,1726
FSR 1521,148.83,-56.615,16.8,1727
ESO 435-09,148.8675,-28.965,24.6,1728
Ruprecht 160,149.085,-47.03,13.2,1729
FSR 1498,149.1,-50.27,13.8,1730
FSR 1413,149.16,-29.445,12,1731
FSR 1517,149.25,-54.818,12.6,1732
Hogg 4,149.4675,-54.625,11.4,1734
ESO 435-17,149.6925,-30.908,12,1735
FSR 1554,149.7045,-67.739,13.2,1736
FSR 1481,149.835,-43.908,18.6,1737
FSR 1518,149.88,-54.51,12,1738
DBSB 125,149.85,-57.07,9.24,1739
FSR 1491,149.9775,-46.985,15.6,1740
FSR 1524,150,-57.555,14.4,1741
NGC 3105,150.18,-54.78,14.4,1742
vdBergh-Hagen 84,150.3375,-58.215,11.4,1743
DBSB 40,150.33,-57.705,7.2,1744
Ruprecht 85,150.42,-55.015,12,1746
Ruprecht 86,150.435,-59.455,10.2,1747
vdBergh-Hagen 85,150.465,-49.585,14.4,1748
NGC 3114,150.48,-60.11,41.4,1749
Loden 28,150.8025,-58.125,15.6,1751
ESO 092-05,150.8025,-64.795,10.2,1752
ESO 435-33,150.975,-32.05,8.4,1753
DBSB 43,150.975,-59.295,10.2,1754
vdBergh-Hagen 87,151.14,-55.41,14.4,1755
Schuster 1,151.1505,-55.857,9.24,1756
Trumpler 11,151.2255,-61.6,14.4,1757
Loden 1,151.308,-55.805,11.16,1758
FSR 1459,151.395,-35.365,13.8,1760
FSR 1465,151.4475,-36.91,18.6,1761
Trumpler 12,151.635,-60.3,19.2,1763
vdBergh-Hagen 88,151.5675,-51.595,14.4,1764
FSR 1527,151.6335,-57.414,10.2,1765
Hogg 6,151.65,-60.5,13.2,1766
FSR 1449,151.7655,-31.995,20.4,1768
FSR 1467,151.935,-36.493,23.4,1770
FSR 1535,152.0025,-59.195,12,1771
ASCC 56,152.0775,-64.38,38.4,1772
Ruprecht 161,152.295,-61.26,28.8,1773
FSR 1530,152.2425,-57.285,11.4,1774
ESO 435-48,152.385,-28.358,18.6,1775
ASCC 57,152.73,-66.7,25.8,1776
Loden 27,152.76,-56.587,13.8,1777
vdBergh-Hagen 90,153.045,-58.06,12.6,1778
DBSB 50,153.417,-59.021,8.4,1779
ESO 436-02,153.489,-29.168,18.6,1780
ESO 092-18,153.6975,-64.59,9,1781
ASCC 58,153.7575,-54.97,37.2,1782
Ruprecht 87,153.87,-50.71,9.6,1783
DBSB 47,153.9075,-60.31,9,1784
Alessi 4,154.0575,-34.36,17.4,1786
vdBergh-Hagen 91,154.245,-58.695,18,1787
NGC 3201,154.404,-46.412,28.8,1788
FSR 1531,154.746,-56.17,10.2,1789
Ruprecht 88,154.6995,-63.137,15.6,1790
vdBergh-Hagen 92,154.7805,-56.423,14.4,1791
DBSB 45,154.7925,-58.045,7.2,1792
ASCC 59,155.115,-57.675,39.6,1793
NGC 3228,155.355,-51.73,21.6,1794
Teutsch 44,155.3625,-54.445,10.2,1795
ESO 062-08,155.415,-69.348,12,1796
SAI 113,155.6745,-59.495,10.8,1797
Loden 46,155.7975,-54.84,15,1798
FSR 1572,155.9175,-69.825,14.4,1799
Trumpler 13,155.9505,-60.133,19.2,1800
Westerlund 2,155.985,-57.76,9,1801
FSR 1568,156.195,-69.07,16.8,1802
Collinder 220,156.465,-57.915,16.8,1803
NGC 3255,156.6645,-60.682,16.8,1804
IC 2581,156.9,-57.64,19.8,1805
Loden 143,157.2225,-58.805,36,1807
Ruprecht 89,157.107,-58.135,18.6,1808
Loden 172,156.96,-60.7,21.6,1809
Hogg 7,157.2825,-60.745,10.2,1810
Hogg 8,157.32,-60.983,12.6,1811
Loden 89,157.3275,-56.78,22.2,1812
DBSB 46,157.365,-57.425,6.96,1813
Loden 59,157.5675,-54.04,16.8,1814
Collinder 223,157.6425,-59.855,13.8,1815
ESO 168-04,157.7325,-53.865,12,1816
DBSB 48,157.8705,-58.034,12,1817
FSR 1536,157.8975,-55.15,13.2,1818
Ruprecht 90,157.935,-58.25,16.8,1819
Loden 112,158.085,-56.695,17.4,1820
DBSB 53,158.1825,-61.62,12,1821
DBSB 51,158.2575,-59.615,7.2,1822
ASCC 60,158.2875,-58.482,20.4,1823
Loden 153,158.67,-58.13,12,1824
Bochum 9,158.925,-60.13,20.4,1825
NGC 3293,158.955,-58.23,16.2,1826
Loden 165,158.9835,-58.733,13.8,1827
Loden 213,159.0375,-61.837,15,1828
Carraro 1,159.2325,-58.75,10.2,1829
NGC 3324,159.33,-58.635,18,1830
vdBergh-Hagen 99,159.465,-59.125,40.8,1831
NGC 3330,159.69,-54.115,17.4,1835
ESO 062-11,159.735,-69.035,16.8,1836
FSR 1511,159.99,-43.124,22.8,1837
DC 5,159.9975,-59.19,12,1838
Saurer 3,160.3545,-55.3,13.2,1839
Melotte 101,160.5675,-65.095,27.6,1840
IC 2602,160.44,-64.4,177.6,1841
Bochum 10,160.6125,-59.115,21.6,1842
DBSB 55,160.629,-63.157,10.8,1843
Alessi 5,160.83,-61.17,42,1844
Collinder 228,160.983,-60.087,33.6,1845
Trumpler 14,160.98,-59.555,15.6,1846
Trumpler 15,161.163,-59.36,19.2,1849
Trumpler 16,161.31,-59.72,13.2,1850
ASCC 61,161.5425,-56.84,18,1853
Bochum 11,161.8125,-60.083,23.4,1854
Ruprecht 91,161.91,-57.47,16.2,1855
ESO 437-61,162.0075,-29.395,13.2,1856
Loden 189,162.615,-56.42,31.8,1858
ASCC 62,162.765,-60.085,19.8,1859
NGC 3446,163.0725,-45.125,24.6,1862
vdBergh-Hagen 106,163.158,-54.265,15,1863
Teutsch 31,163.2285,-59.46,10.2,1864
Ruprecht 162,163.2075,-62.305,16.2,1865
Ruprecht 92,163.38,-61.7,18.6,1866
ESO 128-16,163.4175,-58.245,19.2,1867
Kronberger 39,163.5585,-61.733,6.24,1868
ASCC 63,163.98,-60.415,18,1869
Trumpler 17,164.115,-59.223,13.2,1870
Graham 1,164.133,-63.017,10.8,1871
Collinder 236,164.34,-61.12,24,1872
Bochum 12,164.34,-61.725,17.4,1873
Hogg 9,164.6025,-59.053,8.4,1874
Turner 6,164.754,-59.483,9,1876
Teutsch 106,164.8545,-59.535,9,1877
NGC 3496,164.9025,-60.34,21.6,1878
ESO 265-01,165.2325,-45.34,18,1880
Sher 1,165.255,-60.23,5.4,1881
Pismis 17,165.27,-59.875,20.4,1882
ASCC 64,165.765,-60.915,22.8,1884
Ruprecht 93,166.05,-61.37,16.2,1885
Ruprecht 163,166.2225,-67.943,10.8,1886
Shorlin 2,166.3875,-61.255,7.2,1887
DBSB 60,166.404,-62.485,6.6,1888
Loden 306,166.485,-61.12,21.6,1889
NGC 3532,166.455,-58.73,51,1890
Shorlin 1,166.5795,-61.243,8.4,1891
Feinstein 1,166.68,-59.82,24,1892
vdBergh-Hagen 110,166.815,-61.46,10.2,1894
ESO 502-19,167.0295,-26.717,21.6,1896
Chamaleon I,165.9,-77.34,43.2,1897
Teutsch 143a,167.19,-60.705,12,1898
FSR 1584,167.3025,-65.06,15.6,1900
vdBergh-Hagen 111,167.28,-63.83,21.6,1901
FSR 1556,167.295,-53.5,12.6,1902
Loden 309,167.43,-60.57,12.6,1904
Loden 280,167.4525,-59.1,7.2,1905
NGC 3572,167.6025,-60.25,14.4,1906
Basel 17,167.6325,-59.033,15,1907
Hogg 10,167.685,-60.385,13.2,1908
ASCC 65,167.745,-61.125,26.4,1909
DBSB 62,167.835,-61.29,12,1910
Trumpler 18,167.895,-60.665,19.2,1911
Hogg 11,167.9025,-60.39,10.8,1913
ESO 570-12,168.045,-21.34,30,1915
Hogg 12,168.06,-60.765,9.6,1918
NGC 3590,168.258,-60.775,19.8,1920
Stock 13,168.2475,-58.88,17.4,1921
ASCC 66,168.39,-55.44,24,1922
FSR 1585,168.4605,-64.477,15,1923
Trumpler 19,168.5625,-57.535,25.8,1924
FSR 1543,168.7125,-44.33,19.8,1925
NGC 3603,168.8475,-61.25,10.2,1926
Hogg 13,169.0755,-60.245,10.2,1927
DBSB 66,169.11,-61.485,6.6,1928
IC 2714,169.365,-62.74,23.4,1930
FSR 1561,169.6425,-53.79,19.2,1931
ESO 093-08,169.9215,-65.217,8.4,1932
Melotte 105,169.92,-63.475,19.2,1933
FSR 1569,170.0925,-56.817,11.4,1935
ESO 129-19,170.2875,-58.215,12.84,1936
FSR 1560,170.4975,-52.255,19.8,1937
FSR 1586,170.67,-62.32,16.8,1938
vdBergh-Hagen 118,170.625,-58.53,13.8,1939
FSR 1598,170.775,-75.015,13.2,1940
DBSB 64,171.1425,-58.95,15,1941
NGC 3680,171.405,-43.235,22.8,1942
FSR 1593,171.96,-68.735,16.8,1943
FSR 1580,171.9375,-58.51,12,1944
DBSB 68,172.218,-63.105,8.4,1946
Ruprecht 94,172.635,-63.48,27.6,1950
Ruprecht 164,172.71,-60.75,18,1951
Loden 372,172.725,-58.48,13.2,1952
FSR 1583,172.9155,-57.623,14.4,1953
Loden 402,173.085,-60.705,21.6,1954
FSR 1607,173.25,-77.825,18,1955
DBSB 69,173.4525,-63.285,8.4,1956
IC 2944,174.0525,-62.95,24,1957
NGC 3766,174.075,-61.615,27.6,1958
FSR 1591,174.24,-62.723,13.8,1959
vdBergh-Hagen 121,174.525,-63.338,19.8,1960
IC 2948,174.8025,-63.51,20.4,1961
ASCC 67,175.365,-61.01,26.4,1963
Bica 5,175.395,-62.425,12.6,1964
Lynga 15,175.56,-62.51,15,1965
Ruprecht 95,175.9125,-61.155,9.6,1966
Stock 14,175.95,-62.52,20.4,1968
FSR 1573,176.0175,-45.925,20.4,1969
ESO 129-32,176.0475,-61.058,12,1970
FSR 1597,176.145,-67.085,19.8,1971
FSR 1574,176.175,-45.66,21.6,1972
Loden 467,176.3745,-62.433,13.8,1973
DBSB 72,176.487,-65.555,9.24,1975
FSR 1595,176.7525,-62.65,16.8,1976
DBSB 70,177.135,-62.285,9.6,1977
SAI 116,177.3225,-62.225,12,1978
NGC 3909,177.525,-48.21,20.4,1979
DBSB 73,177.54,-64.87,6,1981
NGC 3960,177.66,-55.67,20.4,1982
Ruprecht 96,177.6975,-62.15,15,1983
Loden 481,177.96,-61.27,28.2,1984
Teutsch 77,178.3725,-62.605,13.2,1985
Loden 480,178.905,-58.39,16.8,1986
Ruprecht 97,179.3475,-62.71,10.8,1987
Ruprecht 98,179.715,-64.588,33.6,1988
Feigelson 1,180.3,-78.335,114,1990
NGC 4052,180.315,-63.215,18,1991
Juchert 13,180.42,-64.1,12,1992
ASCC 68,180.7125,-60.92,36,1993
Ruprecht 99,180.87,-63.86,25.2,1994
Ruprecht 100,181.44,-62.617,18.6,1995
ASCC 69,181.575,-69.78,33,1996
NGC 4103,181.665,-61.25,25.2,1997
ESO 130-06,181.965,-59.3,22.8,1998
FSR 1605,181.9125,-65.185,12.6,1999
Loden 565,181.9875,-60.69,22.2,2000
DBSB 75,182.2305,-63.27,9.6,2001
Ruprecht 101,182.3925,-63.005,22.8,2002
NGC 4147,182.526,18.543,7.2,2004
ESO 130-08,182.58,-59.52,24,2005
Ruprecht 102,183.39,-62.73,19.2,2007
FSR 1602,183.465,-56.785,15,2008
Saurer 4,183.5025,-63.59,5.4,2009
ASCC 70,183.705,-64.4,33.6,2010
DBSB 129,183.8625,-62.91,6,2011
Ruprecht 103,184.23,-58.417,13.8,2012
NGC 4230,184.335,-55.12,16.2,2013
FSR 1626,185.025,-81.51,24,2014
Loden 615,185.1705,-64.775,29.4,2015
ASCC 71,185.19,-67.53,28.2,2016
FSR 1608,185.31,-57.185,16.8,2017
FSR 1604,185.4675,-51.47,19.8,2018
Melotte 111,185.985,26.3,507,2020
ESO 130-13,185.7675,-59.665,24.6,2021
NGC 4337,186,-58.117,22.2,2023
NGC 4349,186.06,-61.87,24.6,2024
FSR 1610,186.0675,-56.165,15,2025
ESO 064-05,186.18,-68.485,19.2,2026
Ruprecht 104,186.255,-60.445,13.8,2028
NGC 4372,186.4395,-72.659,39.6,2029
vdBergh-Hagen 131,186.54,-63.4,10.8,2030
Loden 624,186.5775,-61.8,38.4,2031
vdBergh-Hagen 132,186.75,-64.067,21.6,2032
Collinder 258,186.81,-60.775,23.4,2033
FSR 1609,186.9675,-48.475,13.8,2034
NGC 4439,187.1175,-60.11,15,2035
Ruprecht 165,187.11,-56.43,10.8,2036
Hogg 14,187.185,-59.81,10.2,2037
Hogg 23,187.1475,-60.925,12,2038
FSR 1617,187.1325,-66.56,20.52,2039
FSR 1616,187.3275,-63.43,15.6,2040
ESO 131-09,187.4025,-57.865,17.4,2041
NGC 4463,187.485,-64.79,16.8,2042
FSR 1613,187.9725,-46.477,20.4,2043
ASCC 72,188.2725,-60.93,21.6,2044
ESO 442-04,188.52,-29.4,33.6,2046
Ruprecht 105,188.475,-61.575,23.4,2047
DBSB 77,188.745,-61.654,5.4,2048
FSR 1629,188.73,-80.95,20.4,2049
DBSB 78,189.015,-61.855,8.4,2051
FSR 1623,189.033,-66.942,16.2,2052
ASCC 73,189.09,-67.25,29.4,2053
FSR 1620,189.3975,-57.26,15,2054
Collinder 261,189.525,-68.367,28.2,2055
FSR 1622,189.495,-63.26,15,2056
Ruprecht 106,189.6675,-51.15,9,2057
FSR 1621,189.8475,-57.38,17.4,2058
NGC 4590,189.867,-26.744,23.4,2059
Trumpler 20,189.9375,-60.635,39.6,2060
FSR 1625,190.2,-58.41,23.4,2061
NGC 4609,190.575,-62.99,18.6,2062
Hogg 15,190.8975,-63.098,9,2063
FSR 1631,191.43,-81.258,21.6,2064
Loden 682,191.805,-60.69,25.8,2065
FSR 1630,192.18,-62.135,16.2,2066
DBSB 79,192.195,-63.728,10.2,2067
DBSB 80,192.5955,-61.582,8.4,2068
ESO 065-03,192.825,-69.73,16.8,2069
Loden 694,193.2675,-60.735,30,2070
vdBergh-Hagen 140,193.32,-67.17,13.2,2071
NGC 4755,193.41,-60.375,27,2072
FSR 1634,193.6125,-43.68,20.4,2073
FSR 1635,193.737,-43.503,19.8,2074
NGC 4815,194.505,-64.96,12.6,2075
NGC 4833,194.892,-70.877,24.6,2077
NGC 4852,195.045,-59.59,18.6,2078
FSR 1638,195.2775,-71.395,14.4,2079
FSR 1641,196.17,-64.545,13.2,2081
FSR 1639,197.3175,-77.135,23.4,2083
Latham 1,197.8125,30.525,54.6,2084
DBSB 83,197.832,-62.755,7.2,2085
DBSB 131,197.913,-62.553,7.2,2087
FSR 1640,197.9775,-77.45,18.6,2089
Loden 757,198,-65.3,19.2,2091
Danks 1,198.1275,-62.708,6,2092
Danks 2,198.225,-62.667,7.8,2093
NGC 5024,198.2295,18.168,30,2094
DBSB 133,198.4995,-62.402,13.2,2095
NGC 5045,198.63,-63.42,37.8,2096
vdBergh-Hagen 144,198.8175,-65.92,7.2,2098
NGC 5043,199.02,-60.065,20.4,2099
FSR 1646,199.1175,-54.2,14.4,2100
NGC 5053,199.113,17.7,18,2101
Collinder 268,199.5675,-67.075,13.8,2103
DBSB 85,199.6125,-62.665,7.8,2104
Stock 16,199.695,-62.51,22.2,2105
FSR 1649,199.905,-56.18,15,2107
Ruprecht 107,199.941,-64.95,9,2108
FSR 1648,199.9455,-56.351,16.8,2109
FSR 1645,200.28,-61.925,20.4,2110
FSR 1652,200.454,-53.238,18,2111
FSR 1642,200.7,-73.575,15.6,2112
Collinder 269,200.9625,-66.16,25.2,2113
Teutsch 79,200.9145,-63.638,12,2114
ESO 324-15,200.865,-41.88,12,2115
Loden 821,201.06,-59.81,26.4,2116
Loden 807,201.1575,-62.495,21.6,2117
FSR 1651,201.3825,-58.985,18.84,2118
NGC 5139,201.6975,-47.48,99,2120
NGC 5138,201.795,-59.03,16.8,2121
Basel 18,201.9675,-62.33,18.6,2122
Hogg 16,202.32,-61.212,15,2123
ESO 065-07,202.29,-71.265,13.2,2124
NGC 5155,202.47,-63.455,19.8,2125
Collinder 271,202.53,-64.2,13.2,2126
FSR 1657,202.5075,-58.73,13.8,2127
Collinder 272,202.5825,-61.335,24.6,2128
NGC 5168,202.77,-60.94,14.4,2129
Trumpler 21,203.055,-62.8,19.2,2131
Ruprecht 108,203.055,-58.465,20.4,2132
DBSB 87,203.2125,-60.455,9,2133
FSR 1653,203.46,-63.04,14.4,2134
Loden 915,203.5725,-59.295,33.6,2135
Loden 848,203.595,-64.55,27,2136
C1331-622,203.655,-62.417,14.4,2137
Collinder 275,203.6325,-60.213,15,2138
FSR 1650,203.913,-68.113,18.6,2139
ASCC 74,203.955,-58.81,21.6,2140
ESO 132-14,204.135,-62.19,12,2141
Pismis 18,204.2325,-62.065,18,2142
vdBergh-Hagen 150,204.4725,-63.32,12,2143
FSR 1659,204.504,-62.485,19.2,2144
FSR 1672,204.5025,-43.18,18.6,2145
Loden 894,204.921,-64.32,14.4,2146
vdBergh-Hagen 151,205.065,-61.73,7.8,2147
FSR 1663,205.2705,-60.197,11.4,2148
FSR 1656,205.335,-66.637,12.6,2149
Platais 10,205.29,-59.225,120,2150
FSR 1654,205.5225,-67.7,11.4,2151
NGC 5272,205.548,28.377,52.8,2152
SAI 118,205.7925,-63.16,16.8,2153
Dias 4,205.854,-63,15.6,2154
NGC 5269,206.1825,-62.892,19.2,2156
Loden 1010,206.2725,-60.23,18.6,2157
Loden 991,206.3175,-62.035,13.2,2158
FSR 1647,206.4225,-73.96,20.4,2159
NGC 5286,206.6115,-51.374,22.2,2160
NGC 5281,206.64,-62.925,25.8,2161
NGC 5284,206.6025,-59.2,25.2,2162
ASCC 75,206.8125,-62.4,19.2,2163
Collinder 277,207.06,-66.075,15.6,2166
FSR 1666,207.15,-61.455,23.4,2167
NGC 5288,207.183,-64.695,14.4,2168
FSR 1673,207.5325,-50.667,14.4,2169
NGC 5299,207.6075,-59.945,13.2,2170
ASCC 76,208.0575,-66.405,26.4,2171
Platais 12,208.1475,-63.405,68.4,2173
Loden 1095,208.4025,-59.745,15,2174
NGC 5316,208.485,-61.87,31.2,2175
Loden 995,208.575,-64.95,19.8,2176
Loden 1002,208.65,-65.335,16.8,2177
FSR 1683,208.659,-41.768,21,2178
ESO 445-74,208.662,-31.95,12,2179
FSR 1668,208.725,-61.575,16.8,2180
FSR 1658,208.7625,-70.75,17.64,2181
FSR 1669,209.07,-61.75,14.4,2184
FSR 1684,209.3775,-42.87,19.2,2185
vdBergh-Hagen 155,209.3745,-59.58,15.6,2186
FSR 1661,209.4825,-69.365,12,2188
Loden 1101,209.5425,-61.75,18.6,2189
Loden 1177,209.775,-57.875,16.8,2190
Loden 1171,209.8425,-58.384,17.4,2191
Loden 1152,209.865,-59.33,17.4,2192
Lynga 1,210,-62.15,18.6,2193
NGC 5359,210,-70.4,20.4,2194
FSR 1676,210.075,-49.765,17.4,2195
NGC 5381,210.165,-59.605,19.2,2196
Loden 1202,211.0995,-58.7,13.2,2197
NGC 5466,211.38,28.534,24.6,2198
Ruprecht 110,211.41,-67.475,22.2,2199
Loden 1194,211.455,-59.745,21.6,2200
FSR 1674,211.659,-58.12,18.6,2201
NGC 5460,211.89,-48.33,45.6,2202
DBSB 135,212.16,-61.177,8.4,2203
Loden 1225,212.34,-59.725,25.2,2204
ASCC 77,212.7,-62.33,31.8,2205
Loden 1289,213.555,-57.86,16.8,2206
ESO 097-15,213.855,-64.63,14.4,2207
ESO 021-06,213.966,-78.515,19.8,2208
Loden 1282,213.96,-59.12,16.2,2209
Loden 1256,214.5,-61.425,22.8,2210
Ruprecht 167,214.593,-58.988,24,2211
ESO 175-06,214.695,-56.89,23.4,2212
DBSB 88,214.905,-65.432,10.2,2213
FSR 1667,215.4225,-72.085,18.6,2214
Lynga 2,216.1125,-61.33,24,2215
DBSB 136,216.2505,-60.375,8.4,2216
NGC 5593,216.405,-54.8,16.2,2217
NGC 5606,216.945,-59.63,13.8,2218
FSR 1680,217.14,-60.02,13.8,2219
FSR 1682,217.2975,-58.71,21.6,2220
NGC 5634,217.4055,-5.976,13.8,2222
NGC 5617,217.4475,-60.715,17.4,2223
Loden 1378,217.53,-58.215,18,2224
Pismis 19,217.65,-60.885,14.4,2225
Trumpler 22,217.7325,-61.165,18,2226
FSR 1690,218.0835,-53.7,14.4,2227
IC 1023,218.085,-35.82,16.2,2228
Turner 7,218.0625,-56.895,13.8,2229
Loden 1339,218.3715,-62.017,11.4,2230
FSR 1695,218.409,-49.165,13.8,2231
Hogg 17,218.4975,-61.347,15,2232
FSR 1688,218.655,-56.115,13.8,2233
NGC 5662,218.895,-56.615,29.4,2234
Ruprecht 111,219,-59.98,16.8,2235
ESO 447-29,219.3375,-29.395,18,2236
FSR 1699,219.915,-44.07,18.6,2237
NGC 5694,219.9015,-26.539,11.4,2238
Alessi 6,220.1325,-66.12,46.8,2240
FSR 1686,220.071,-60.372,13.8,2241
Loden 1373,220.395,-62.89,20.4,2243
DBSB 137,220.509,-60.51,6.6,2244
NGC 5715,220.875,-57.567,13.8,2245
Loden 1375,221.085,-63.405,17.4,2246
FSR 1678,221.145,-64.74,16.8,2247
ESO 134-12,221.1975,-59.142,13.2,2248
Loden 1409,221.1675,-61.715,31.2,2249
DBSB 89,221.2575,-59.833,7.8,2250
Cir OB1,221.25,-62.925,42,2251
FSR 1689,221.7225,-59.487,14.4,2254
vdBergh-Hagen 164,221.91,-66.39,44.4,2255
NGC 5749,222.195,-54.485,25.2,2256
Hogg 18,222.675,-52.27,19.2,2257
Teutsch 80,223.35,-60.485,17.4,2258
NGC 5764,223.3875,-52.673,18,2259
ESO 008-06,224.2275,-83.445,22.2,2260
Ruprecht 112,224.235,-62.573,19.2,2261
FSR 1685,224.31,-64.945,10.2,2262
IC 4499,225.0765,-82.214,16.8,2263
FSR 1696,225.3,-57.665,13.8,2264
NGC 5800,225.4455,-51.917,16.8,2265
DBSB 92,225.9,-57.68,12,2266
NGC 5824,225.9945,-33.068,16.8,2267
FSR 1705,226.0665,-45.55,8.4,2268
NGC 5822,226.1175,-54.39,66,2269
ASCC 78,226.4025,-68.405,18.6,2270
IRAS 15015-5720,226.3245,-57.528,6.96,2271
NGC 5823,226.38,-55.595,13.2,2273
FSR 1697,226.6755,-56.517,12.6,2274
Loden 2115,226.9275,-54.522,22.8,2275
DBSB 140,227.5125,-58.287,9,2276
DBSB 139,227.505,-58.426,7.44,2277
Loden 2045,227.64,-58.77,19.2,2278
FSR 1720,227.8725,-37.365,22.2,2279
FSR 1694,228.8025,-62.775,15.6,2280
Pismis 20,228.846,-59.067,10.2,2281
Palomar 5,229.0215,-0.112,16.8,2282
Pismis 21,229.185,-59.655,13.2,2283
Lynga 3,229.2075,-58.34,12.6,2284
NGC 5897,229.3515,-21.01,34.2,2285
NGC 5904,229.638,2.081,52.8,2286
DBSB 93,229.7175,-56.66,12,2287
ASCC 79,229.665,-60.63,61.2,2288
FSR 1698,230.241,-59.62,15,2289
ASCC 80,231.1875,-60.128,37.8,2290
FSR 1728,231.255,-35.635,17.4,2291
FSR 1693,231.4575,-64.82,16.8,2292
NGC 5925,231.8925,-54.517,16.2,2293
ESO 329-02,231.8835,-41.05,11.4,2294
NGC 5927,232.0035,-50.673,24,2295
