No,id,alpha,delta,diameter,Area,Common name
257,FeSt 1-257,210.1579,-62.8086,63.83,0.889,
258,FeSt 1-258,211.2539,-63.8059,107.13,2.504,
259,FeSt 1-259,207.5793,-56.1478,90.35,1.781,
260,FeSt 1-260,215.6944,-68.4443,50.62,0.559,
261,FeSt 1-261,211.3332,-62.0057,44.76,0.437,
262,FeSt 1-262,212.0727,-62.7538,37.94,0.314,
263,FeSt 1-263,218.7919,-69.2021,20.08,0.088,
264,FeSt 1-264,210.7759,-59.2404,66.16,0.955,
265,FeSt 1-265,210.6219,-58.9241,17.39,0.066,
266,FeSt 1-266,211.744,-60.388,360.88,28.412,
267,FeSt 1-267,211.7001,-58.4714,26.83,0.157,
268,FeSt 1-268,215.5485,-62.6446,67.12,0.983,
269,FeSt 1-269,214.493,-60.7808,140.55,4.31,
270,FeSt 1-270,223.6692,-69.4034,19.39,0.082,
271,FeSt 1-271,212.197,-54.7201,32.61,0.232,
272,FeSt 1-272,217.9725,-61.1876,53.52,0.625,
273,FeSt 1-273,222.5184,-65.2736,44.4,0.43,
274,FeSt 1-274,215.2042,-56.4621,109.52,2.617,
275,FeSt 1-275,233.1533,-70.9695,41.57,0.377,
276,FeSt 1-276,222.6353,-63.2899,100.9,2.221,
277,FeSt 1-277,215.5156,-54.6779,33.1,0.239,
278,FeSt 1-278,216.453,-55.5086,24.88,0.135,
279,FeSt 1-279,224.8372,-63.9659,40.17,0.352,
280,FeSt 1-280,220.647,-59.7128,144.7,4.568,
281,FeSt 1-281,226.3047,-64.3609,36.77,0.295,
282,FeSt 1-282,227.2377,-64.441,58.04,0.735,
283,FeSt 1-283,227.7711,-64.6891,40,0.349,
284,FeSt 1-284,226.4659,-63.527,72.98,1.162,
285,FeSt 1-285,220.1098,-56.6644,50.21,0.55,
286,FeSt 1-286,225.9706,-62.512,65.18,0.927,
287,FeSt 1-287,222.8951,-58.4222,105.23,2.416,
288,FeSt 1-288,227.9647,-62.8884,53.52,0.625,S 172
289,FeSt 1-289,228.6802,-62.0524,45.52,0.452,
290,FeSt 1-290,220.9903,-54.1616,36.58,0.292,
291,FeSt 1-291,229.4621,-62.1829,114.78,2.874,
292,FeSt 1-292,223.7802,-56.686,19.39,0.082,
293,FeSt 1-293,225.0165,-57.0985,28.4,0.176,
294,FeSt 1-294,222.719,-53.6227,76.84,1.288,
295,FeSt 1-295,228.8161,-59.4019,34.59,0.261,
296,FeSt 1-296,225.7105,-56.2461,136.5,4.065,
297,FeSt 1-297,223.2196,-53.4211,100.97,2.224,
298,FeSt 1-298,234.1192,-61.0319,78.4,1.341,
299,FeSt 1-299,231.4741,-58.9754,54.46,0.647,S 174
300,FeSt 1-300,230.4539,-57.8625,29.12,0.185,
301,FeSt 1-301,225.1678,-52.2479,31.97,0.223,
302,FeSt 1-302,232.7594,-57.4371,46.81,0.478,
303,FeSt 1-303,233.7968,-57.9998,80.59,1.417,
304,FeSt 1-304,236.0262,-59.3077,119.93,3.138,
305,FeSt 1-305,227.6221,-51.556,24.88,0.135,
306,FeSt 1-306,227.6221,-51.556,38.89,0.33,
307,FeSt 1-307,225.7673,-48.9458,23.74,0.123,
308,FeSt 1-308,235.1076,-54.4612,507.67,56.227,
309,FeSt 1-309,237.7664,-56.3339,61.53,0.826,
310,FeSt 1-310,230.6701,-50.0115,68.21,1.015,
311,FeSt 1-311,236.9992,-55.2203,56.93,0.707,
312,FeSt 1-312,241.9177,-57.0999,57.17,0.713,
313,FeSt 1-313,240.0053,-54.8246,99.76,2.171,
314,FeSt 1-314,243.4527,-55.6433,48.87,0.521,
315,FeSt 1-315,242.4984,-53.5974,93.03,1.888,
316,FeSt 1-316,241.3037,-49.8857,130.35,3.707,
317,FeSt 1-317,245.2281,-51.1855,91.71,1.835,
318,FeSt 1-318,245.0628,-49.8028,40.68,0.361,
319,FeSt 1-319,248.9111,-51.1024,86.44,1.63,
320,FeSt 1-320,247.2465,-50.1265,40,0.349,
321,FeSt 1-321,230.5669,-35.345,26.31,0.151,
322,FeSt 1-322,245.8541,-48.7826,37.94,0.314,
323,FeSt 1-323,246.9132,-49.428,84.43,1.555,
324,FeSt 1-324,251.0951,-51.4758,59.87,0.782,
325,FeSt 1-325,241.7882,-45.4335,87.78,1.681,
326,FeSt 1-326,246.8322,-48.8616,30.35,0.201,
327,FeSt 1-327,243.7777,-46.5417,60.14,0.789,S 180
328,FeSt 1-328,248.4671,-49.471,141.01,4.338,
329,FeSt 1-329,248.3123,-49.0384,67.12,0.983,
330,FeSt 1-330,236.6591,-39.9547,117.75,3.025,
331,FeSt 1-331,238.626,-41.6967,20.08,0.088,
332,FeSt 1-332,250.5739,-49.6948,83.99,1.539,
