id,A,C,D,S,alpha,delta,BMAG,VMAG,B-V,SB,diameter,minAxis,axisRatio,posAngle,TYPE,z,D(z),Dist,PGC,ID1,ID2,ID3
NGC 2385,,,*,1,112.1175,33.8381,14.8,13.9,0.9,13.4,1,0.7,1.43,54,S?,0.01387,58.59,,21080,MCG 6-17-8,CGCG 177-20,
NGC 2386,,,*,9,112.15875,33.7764,,,,,,,,,*2,,,,,,,
NGC 2387,,,*,9,112.35875,36.7689,,,,,,,,,*2,,,,,,,
NGC 2388,,,*,1,112.222916666667,33.8189,14.6,13.8,0.8,13.1,1,0.6,1.67,65,S,0.01379,58.25,61.2,21099,UGC 3870,MCG 6-17-10,CGCG 177-22
NGC 2389,,,*,1,112.27,33.8608,13.4,12.9,0.5,13.9,2,1.4,1.43,83,SBc,0.013199,55.75,66.6,21109,UGC 3872,MCG 6-17-11,CGCG 177-24
NGC 2390,,,*,9,112.2675,33.8369,13.9,,,,,,,,*,,,,,,,
NGC 2391,,,*,9,112.281666666667,33.8258,15.2,,,,,,,,*,,,,,,,
NGC 2392,,,*,3,112.295,20.9125,9.9,9.1,,,0.9,,,,PN,,,1.998,,PK 197+17.1,"CS=10.5, Eskimo nebula",
NGC 2393,,,*,1,112.520416666667,34.0278,14.7,14,0.7,13.8,1.2,0.8,1.5,103,Sc,0.016298,68.84,68.3,21154,UGC 3884,MCG 6-17-14,CGCG 177-27
NGC 2394,,,*,9,112.152083333333,7.0872,,,,,,,,,*Grp,,,,,,,
NGC 2395,,,*,4,111.803333333333,13.6083,,8,,,15,,,,III1p,,,0.071,,OCL 502,,
NGC 2396,,,*,4,112,-11.7167,,7.4,,,10,,,,III3p,,,0.588,,OCL 579,,
NGC 2397,A,,,1,110.282916666667,-69.1153,14.8,14.1,0.7,13.9,1.1,0.9,1.22,36,Sc,0.014732,62.23,,20754,ESO 58-29,AM 0721-685,IRAS 07212-6901
NGC 2397,B,,,1,110.482083333333,-68.8458,15,14.4,0.6,13.4,0.9,0.5,1.8,97,IBm/P,0.00459,19.39,,20813,ESO 58-31,AM 0722-684,
NGC 2397,,,*,1,110.33125,-69.0014,12.7,11.8,0.9,12.8,2.5,1.2,2.08,123,Sb,0.004546,19.2,22.66,20766,ESO 58-30,IRAS 07214-6854,
NGC 2398,,1,*,1,112.5675,24.4881,14.8,13.9,0.9,11.7,0.4,0.3,1.33,150,S?,0.029724,125.55,,21165,MCG 4-18-23,CGCG 117-48,
NGC 2398,,2,,1,112.556666666667,24.4914,15.5,14.9,0.6,13.2,0.5,0.5,1,,D R,0.032025,135.27,,21157,MCG 4-18-22,CGCG 117-46,
NGC 2399,,,*,9,112.457916666667,-0.2136,,,,,,,,,*3,,,,,,,
NGC 2400,,,*,9,112.479583333333,-0.2142,,,,,,,,,*3,,,,,,,
NGC 2401,,,*,4,112.35125,-13.9667,,12.6,,,2,,,,II3p,,,5.9,,OCL 588,,
NGC 2402,,1,*,1,112.69375,9.6475,14.9,13.9,1,13.4,0.8,0.8,1,,E?,0.017679,74.67,,21176,UGC 3891,MCG 2-19-4,CGCG 57-15
NGC 2402,,2,,1,112.699166666667,9.6539,16,15.2,0.8,13.9,0.7,0.5,1.4,95,S,0.017435,73.64,,200236,UGC 3891,MCG 2-19-4,CGCG 57-15
NGC 2403,,,*,1,114.210833333333,65.6017,8.9,8.5,0.4,14.4,23.4,11.8,1.98,127,SBc,0.000437,1.85,3.58,21396,UGC 3918,MCG 11-10-7,CGCG 309-40
NGC 2404,,,*,6,114.279166666667,65.6111,,14.5,,,0.4,,,,GxyP,,,3.58,,HII/Association in N 2403,,
NGC 2405,,1,*,1,113.057916666667,25.9061,14.9,14.1,0.8,11.9,0.5,0.3,1.67,105,S,0.01889,79.79,,21224,MCG 4-18-26,CGCG 117-51,VV 643
NGC 2405,,2,,1,113.062916666667,25.9058,15.5,14.5,1,12,0.3,0.3,1,,E0,0.018877,79.73,,,MCG 4-18-26,CGCG 117-51,VV 643
NGC 2406,,,*,1,112.94875,18.2886,15.2,14.2,1,13.3,0.7,0.6,1.17,51,E?,0.027662,116.84,,21218,MCG 3-19-21,CGCG 86-41,CGCG 87-2
NGC 2407,,,*,1,112.985833333333,18.3336,14.4,13.4,1,13.2,1.1,1,1.1,42,E-S0,0.028029,118.39,,21220,UGC 3896,MCG 3-20-1,CGCG 86-42
NGC 2408,,,*,9,115.125,71.6667,,,,,10,,,,*Grp,,,,,,,
NGC 2409,,,*,4,112.902916666667,-17.1897,7.5,7.3,,,2.5,,,,OCL,,,2.9,,Bochum 4,,
NGC 2410,,,*,1,113.759166666667,32.8225,13.8,13,0.8,13.4,2.4,0.7,3.43,31,SBb,0.015614,65.95,64.07,21336,UGC 3917,MCG 5-18-23,CGCG 147-43
NGC 2411,,,*,1,113.651666666667,18.2819,14.8,13.8,1,13.2,0.9,0.5,1.8,50,E?,0.016922,71.48,,21315,UGC 3914,MCG 3-20-5,CGCG 87-13
NGC 2412,,,*,9,113.589583333333,8.5475,,,,,,,,,*2,,,,,,,
NGC 2413,,,*,9,113.329166666667,-13.1192,,,,,10,,,,*Grp,,,,,,,
NGC 2414,,,*,4,113.303333333333,-15.4539,,7.9,,,6,,,,I3m,,,2.888,,OCL 598,,
NGC 2415,,,*,1,114.235416666667,35.2419,12.8,12.4,0.4,12,0.9,0.9,1,,Im,0.012622,53.31,,21399,UGC 3930,MCG 6-17-21,CGCG 177-38
NGC 2416,,,*,1,113.9225,11.6125,14.1,13.4,0.7,12.9,1,0.7,1.43,110,Sc,0.017015,71.87,57.9,21358,UGC 3925,MCG 2-20-2,CGCG 58-8
NGC 2417,,,*,1,112.550416666667,-62.2525,12.8,12,0.8,13.7,2.8,1.9,1.47,81,Sbc,0.010704,45.21,43.67,21155,ESO 123-15,AM 0729-620,IRAS 07295-6208
NGC 2418,,,*,1,114.155833333333,17.8839,13.2,12.2,1,13.4,1.8,1.8,1,,E0,0.016802,70.97,,21382,UGC 3931,MCG 3-20-8,CGCG 87-17
NGC 2419,,,*,5,114.535416666667,38.8825,,10.3,,,4.6,,,,II,,,82.6,,GCL 12,Intergalactic wanderer,
NGC 2420,,,*,4,114.599166666667,21.5742,,8.3,,,6,,,,I2r,,,2.5,,OCL 488,,
NGC 2421,,,*,4,114.05,-20.6117,,8.3,,,8,,,,I2m,,,2.181,,OCL 626,ESO 560-SC2,
NGC 2422,,,*,4,114.145833333333,-14.4797,,4.4,,,25,,,,III2m,,,0.491,,M 47,NGC 2478,OCL 596
NGC 2423,,,*,4,114.277916666667,-13.8714,,6.7,,,12,,,,IV2m,,,0.766,,OCL 592,,
NGC 2424,,,*,1,115.16375,39.2333,13.6,12.6,1,13.3,3.6,0.5,7.2,81,SBb,0.011184,47.24,48.8,21558,UGC 3959,MCG 7-16-9,CGCG 206-15
NGC 2425,,,*,4,114.573333333333,-14.8778,,,,,5,,,,III2p,,,3.6,,OCL 599,,
NGC 2426,,,*,1,115.826666666667,52.3181,14.1,13.1,1,13.3,1.1,1.1,1,,E0,0.018933,79.97,,21648,UGC 3977,MCG 9-13-38,CGCG 262-22
NGC 2427,,,*,1,114.11625,-47.6358,12.3,11.5,0.8,14,4.9,2,2.45,122,SBdm,0.003242,13.69,11.78,21375,ESO 208-27,IRAS 07350-4731,
NGC 2428,,,*,4,114.841666666667,-16.5283,,,,,13,,,,OCL,,,2.1,,,,
NGC 2429,A,,,7,115.947916666667,52.3575,14.5,13.7,0.8,13,1.5,0.4,3.75,145,Sbc,0.018183,76.8,,21664,NGC 2429,UGC 3983,MCG 9-13-39
NGC 2429,B,,,1,115.965833333333,52.3481,17.5,16.5,1,12.8,0.3,0.1,3,57,E-S0,0.018183,76.8,,21663,MCG 9-13-40,VV 284,KCPG 138A
NGC 2429,,,*,1,115.947916666667,52.3575,14.5,13.7,0.8,13,1.5,0.4,3.75,145,Sbc,0.018183,76.8,,21664,NGC 2429A,UGC 3983,MCG 9-13-39
NGC 2430,,,*,9,114.920833333333,-16.2961,,,,,7.5,,,,*Grp,,,,,OCL?,,
NGC 2431,,,*,1,116.305416666667,53.0756,14.3,13.4,0.9,13,0.9,0.9,1,,SBa,0.018943,80.01,,21711,NGC 2436,UGC 3999,MCG 9-13-42
NGC 2432,,,*,4,115.220833333333,-19.0767,,10.2,,,7,,,,II1p,,,2.03,,OCL 620,ESO 560-SC6,
NGC 2433,,,*,9,115.681666666667,9.2592,,,,,,,,,*3,,,,,,,
NGC 2434,,,*,1,113.714583333333,-69.2844,12.3,11.2,1.1,13.1,2.4,2.2,1.09,133,E1,0.004637,19.59,21.95,21325,ESO 59-5,,
NGC 2435,,,*,1,116.055833333333,31.6506,13.7,12.8,0.9,12.7,2.2,0.5,4.4,36,Sa,0.013973,59.02,49.05,21676,UGC 3996,MCG 5-19-2,CGCG 147-62
NGC 2436,,,*,7,116.305416666667,53.0756,14.3,13.4,0.9,13,0.9,0.9,1,,SBa,0.018943,80.01,,21711,NGC 2431,UGC 3999,MCG 9-13-42
NGC 2437,,,*,4,115.445,-14.81,,6.1,,,20,,,,III2m,,,1.375,,M 46,OCL 601,
NGC 2438,,,*,3,115.460833333333,-14.7347,10.1,10.8,,,1.27,,,,PN,,,0.422,,PK 231+4.2,CS=17.7,
NGC 2439,,,*,4,115.189166666667,-31.6925,,6.9,,,9,,,,II3m,,,3.855,,OCL 688,ESO 429-SC11,
NGC 2440,,,*,3,115.480833333333,-18.2081,10.8,9.4,,,1.32,,,,PN,,,0.491,,PK 234+2.1,ESO 560-PN9,CS=14.3
NGC 2441,,,*,1,117.977083333333,73.0153,13,12.2,0.8,13.4,2,1.8,1.11,45,SBb,0.011575,48.89,55.25,22031,UGC 4036,MCG 12-8-15,CGCG 331-17
NGC 2442,,,*,1,114.099166666667,-69.5308,11.2,10.4,0.8,13.9,6,5,1.2,27,SBbc,0.00489,20.66,17.1,21373,NGC 2443,ESO 59-8,AM 0736-692
NGC 2443,,,*,7,114.099166666667,-69.5308,11.2,10.4,0.8,13.9,6,5,1.2,27,SBbc,0.00489,20.66,17.1,21373,NGC 2442,ESO 59-8,AM 0736-692
NGC 2444,,,*,1,116.720833333333,39.0325,14.2,13.2,1,13,1.6,0.9,1.78,27,S0,0.013503,57.04,,21774,UGC 4016,MCG 7-16-16,CGCG 206-24
NGC 2445,,,*,1,116.729166666667,39.0156,13.9,13.3,0.6,13.6,1.7,1.3,1.31,18,Ring B,0.013349,56.39,,21776,UGC 4017,MCG 7-16-17,CGCG 206-24
NGC 2446,,,*,1,117.163333333333,54.6117,13.7,12.9,0.8,13.4,1.9,1,1.9,124,Sb,0.018906,79.86,72.55,21860,UGC 4027,MCG 9-13-58,CGCG 262-30
NGC 2447,,,*,4,116.125,-23.8567,,6.2,,,10,,,,IV1p,,,1.037,,M 93,OCL 649,ESO 493-SC7
NGC 2448,,,*,9,116.14375,-24.6808,,,,,5,,,,*Grp,,,,,ESO 493-**8,*Grp ? around SAO 174433 (5.5),
NGC 2449,,,*,1,116.835,26.9306,14.2,13.4,0.8,12.9,1.3,0.6,2.17,137,Sab,0.016318,68.93,,21802,UGC 4026,MCG 5-19-7,CGCG 148-20
NGC 2450,,,*,1,116.884166666667,27.0194,15.5,14.7,0.8,12.7,0.9,0.2,4.5,156,Sbc,0.01603,67.71,,21807,MCG 5-19-8,CGCG 148-22,
NGC 2451,,,*,4,116.35,-37.95,,2.8,,,50,,,,II2p,,,0.188,,OCL 716,ESO 311-SC8,*Grp ?
NGC 2452,,,*,3,116.859166666667,-27.335,12.6,12,,,0.48,,,,PN,,,4.601,,PK 243-1.1,ESO 493-PN11,CS=19.0
NGC 2453,,,*,4,116.892083333333,-27.1947,,8.3,,,4,,,,I2p,,,4.7,,OCL 670,ESO 493-SC12,
NGC 2454,,,*,1,117.645416666667,16.3692,14.6,13.8,0.8,12.6,0.8,0.3,2.67,100,S,0.016148,68.21,,21963,UGC 4053,MCG 3-20-15,CGCG 87-44
NGC 2455,,,*,4,117.25,-21.3017,,10.2,,,15,,,,III2p,,,2.65,,OCL 636,ESO 560-SC15,
NGC 2456,,,*,1,118.544583333333,55.4953,14.1,13.1,1,13,1.1,0.8,1.38,30,E3,0.024557,103.73,,22129,UGC 4073,MCG 9-13-82,CGCG 262-44
NGC 2457,,,*,1,118.690416666667,55.5472,16.2,15.4,0.8,12.8,0.5,0.2,2.5,84,Sbc,0.02417,102.09,,22161,MCG 9-13-86,CGCG 262-46,NPM1G +55.0040
NGC 2458,,,*,1,118.965,56.7108,15.5,14.5,1,12.3,0.4,0.3,1.33,170,E-S0,0.046165,195,,22220,MCG 10-12-16,CGCG 287-9,
NGC 2459,,,*,4,118.007083333333,9.5581,,,,,1.5,,,,OCL,,,,,,,
NGC 2460,,,*,1,119.22,60.3494,12.7,11.8,0.9,13.3,2.5,1.9,1.32,40,Sab,0.00481,20.32,31.9,22270,UGC 4097,MCG 10-12-21,CGCG 287-10
NGC 2461,,,*,9,119.109166666667,56.6739,,,,,,,,,*,,,,,,,
NGC 2462,,,*,1,119.132916666667,56.6867,14,13.2,0.8,11.5,0.4,0.3,1.33,162,S,0.02873,121.35,,22259,MCG 10-12-24,CGCG 287-9,
NGC 2463,,,*,1,119.300833333333,56.6769,15.2,14.2,1,13.2,0.6,0.6,1,,E0,0.027629,116.7,,22291,MCG 10-12-31,CGCG 287-13,ARAK 145
NGC 2464,,,*,9,119.384583333333,56.6908,,,,,,,,,*3,,,,,,,
NGC 2465,,,*,9,119.354166666667,56.8214,,,,,,,,,*,,,,,,,
NGC 2466,,,*,1,116.315,-71.4108,13.5,13,0.5,13.7,1.6,1.4,1.14,7,Sc,0.017722,74.86,,21714,ESO 59-18,IRAS 07456-7117,
NGC 2467,,,*,2,118.108333333333,-26.4367,,7.1,,,,,,,EN+OCL,,,1.355,,LBN 1065,OCL 668,ESO 493-SC25
NGC 2468,,,*,1,119.509166666667,56.3592,14.9,13.9,1,13.5,1.3,0.6,2.17,45,S0,0.02952,124.69,,22325,UGC 4110,MCG 9-13-95,CGCG 287-16
NGC 2469,,,*,1,119.513333333333,56.68,13.5,12.7,0.8,12.4,1,0.7,1.43,160,Sb/P,0.011638,49.16,,22327,UGC 4111,MCG 10-12-35,CGCG 287-17
NGC 2470,,,*,1,118.585,4.46,13.6,12.7,0.9,12.7,2,0.6,3.33,128,Sab,0.013513,57.08,,22137,UGC 4091,MCG 1-20-9,CGCG 30-29
NGC 2471,,,*,9,119.638333333333,56.7756,,,,,,,,,*2,,,,,,,
NGC 2472,,,*,1,119.67375,56.7011,16.2,15.3,0.9,13.6,0.5,0.5,1,,S?,0.019227,81.21,,22364,MCG 10-12-39,CGCG 287-19,
NGC 2473,,,*,1,118.895833333333,56.7364,15.9,15.1,0.8,12.6,0.5,0.3,1.67,85,S,0.019213,81.15,,22191,,,
NGC 2474,,,*,1,119.50125,52.8622,14,13.1,0.9,12.5,0.8,0.8,1,,E0,0.018623,78.66,,22322,UGC 4114,MCG 9-13-97,CGCG 262-52
NGC 2475,,,*,1,119.495,52.8572,14.2,13.2,1,11.8,0.6,0.6,1,,E0,0.018776,79.31,,22321,UGC 4114,MCG 9-13-96,CGCG 262-52
NGC 2476,,,*,1,119.188333333333,39.9278,13.6,12.6,1,12.8,1.4,0.8,1.75,153,E4,0.012439,52.54,,22260,UGC 4106,MCG 7-17-3,CGCG 207-8
NGC 2477,,,*,4,118.041666666667,-38.53,,5.8,,,20,,,,I3r,,,1.222,,OCL 720,ESO 311-SC17,
NGC 2478,,,*,7,114.145833333333,-14.4797,,4.4,,,25,,,,III2m,,,0.491,,M 47,NGC 2422,OCL 596
NGC 2479,,,*,4,118.775,-17.7078,,9.6,,,11,,,,III1m,,,1.2,,OCL 623,ESO 561-SC1,
NGC 2480,,,*,1,119.294166666667,23.7797,14.5,13.8,0.7,13.5,1.3,0.7,1.86,160,SBcd,0.007822,33.04,,22289,UGC 4116,MCG 4-19-9,CGCG 118-26
NGC 2481,,,*,1,119.307083333333,23.7675,13.9,13,0.9,12.5,1.4,0.5,2.8,18,S0-a,0.007779,32.86,,22292,UGC 4118,MCG 4-19-10,CGCG 118-27
NGC 2482,,,*,4,118.8,-24.2583,,7.3,,,10,,,,III1m,,,1.343,,OCL 653,ESO 494-SC3,
NGC 2483,,,*,4,118.9125,-27.895,,7.6,,,9,,,,OCL,,,1.659,,ESO 430-SC2,OCL 677,
NGC 2484,,,*,1,119.617083333333,37.7867,14.1,13,1.1,12.5,0.9,0.8,1.13,145,S0,0.042836,180.94,,22350,UGC 4125,MCG 6-18-4,CGCG 178-11
NGC 2485,,,*,1,119.202916666667,7.4775,13.1,12.2,0.9,12.9,1.6,1.4,1.14,153,Sa,0.015377,64.95,,22266,UGC 4112,MCG 1-21-1,CGCG 31-3
NGC 2486,,,*,1,119.485416666667,25.1611,14.2,13.3,0.9,13.6,1.7,0.9,1.89,97,Sa,0.015507,65.5,76.7,22317,UGC 4123,MCG 4-19-11,CGCG 118-29
NGC 2487,,,*,1,119.584583333333,25.1492,13.2,12.5,0.7,14.2,2.7,2.1,1.29,115,SBb,0.016148,68.21,74.3,22343,UGC 4126,MCG 4-19-12,CGCG 118-30
NGC 2488,,,*,1,120.44,56.5528,13.4,12.4,1,12.4,1.4,0.8,1.75,100,E-S0,0.029107,122.95,,22520,UGC 4161,MCG 9-13-109,CGCG 287-29
NGC 2489,,,*,4,119.06625,-30.0642,,7.9,,,5,,,,II2m,,,3.7,,OCL 690,ESO 430-SC3,
NGC 2490,,,*,1,119.824583333333,27.0778,15.6,14.6,1,12.9,0.6,0.4,1.5,45,C,0.022616,95.53,,22382,MCG 5-19-27,CGCG 148-78,
NGC 2491,,,*,1,119.61375,7.9844,15.6,14.8,0.8,11.6,0.3,0.2,1.5,93,S,0.06365,=300000*X2593/71,,22353,CGCG 31-7,NPM1G +08.0123,
NGC 2492,,,*,1,119.87375,27.0264,13.7,12.7,1,12.6,1,1,1,,E-S0,0.022629,95.58,,22397,UGC 4138,MCG 5-19-28,CGCG 148-80
NGC 2493,,,*,1,120.099166666667,39.8308,13,12,1,13.3,1.9,1.9,1,,SB0,0.013042,55.09,,22447,UGC 4150,MCG 7-17-7,CGCG 207-14
NGC 2494,,,*,1,119.78,-0.6375,14,13.1,0.9,12.4,0.9,0.7,1.29,95,SB0-a,0.012082,51.03,,22377,IC 487,UGC 4141,MCG 0-21-1
NGC 2495,,,*,1,120.138333333333,39.8406,15.7,15.2,0.5,12.4,0.4,0.2,2,15,Sd,0.028213,119.17,,22457,MCG 7-17-8,MK 383,CGCG 207-16
NGC 2496,,,*,1,119.655833333333,8.0281,13.9,12.9,1,13,1.1,0.9,1.22,167,E2,0.031875,134.64,,22359,UGC 4127,MCG 1-21-2,CGCG 31-9
NGC 2497,,,*,1,120.54625,56.9422,14.2,13.2,1,13.8,1.4,1.2,1.17,24,E-S0,0.027262,115.15,,22547,UGC 4168,MCG 10-12-61,CGCG 287-32
NGC 2498,,,*,1,119.91125,24.9833,14.3,13.4,0.9,13.1,1.1,0.8,1.38,113,SBa,0.015744,66.5,71.9,22403,UGC 4142,MCG 4-19-15,CGCG 118-34
NGC 2499,,,*,1,119.715416666667,7.4928,14.8,14,0.8,12.9,0.8,0.5,1.6,18,SB?,0.032619,137.78,,22366,MCG 1-21-3,CGCG 31-11,
NGC 2500,,,*,1,120.470833333333,50.7367,12.2,11.6,0.6,13.7,2.9,2.7,1.07,48,SBcd,0.001681,7.1,10.1,22525,UGC 4165,MCG 9-13-110,CGCG 262-62
NGC 2501,,,*,1,119.625,-14.3542,14.4,13.4,1,13.4,1.4,1,1.4,120,S0,0.007222,30.51,,22354,MCG -2-21-2,IRAS 07561-1413,
NGC 2502,,,*,1,118.964583333333,-52.3069,13.2,12,1.2,12.9,2.1,1.3,1.62,126,SB0,0.003551,15,,22210,ESO 209-8,AM 0754-521,
NGC 2503,,,*,1,120.153333333333,22.4,14.5,13.7,0.8,13.5,1,1,1,,SBbc,0.018366,77.58,,22453,UGC 4158,MCG 4-19-19,CGCG 118-41
NGC 2504,,,*,1,119.9675,5.6078,14.3,13.3,1,11.4,0.5,0.4,1.25,96,P,0.008733,36.89,,22414,UGC 4152,MCG 1-21-4,CGCG 31-15
NGC 2505,,,*,1,121.027916666667,53.5497,14.1,13.2,0.9,12.7,1.2,0.6,2,0,SBa,0.032519,137.36,,22644,UGC 4193,MCG 9-13-115,CGCG 262-66
NGC 2506,,,*,4,120.007083333333,-10.7697,,7.6,,,12,,,,I2r,,,3.46,,OCL 593,,
NGC 2507,,,*,1,120.404583333333,15.7103,13.1,12.2,0.9,13.7,2.5,1.8,1.39,126,S0-a,0.01522,64.29,,22510,UGC 4172,MCG 3-21-10,CGCG 88-20
NGC 2508,,,*,1,120.487916666667,8.5519,13.7,12.7,1,13.2,1.4,1.1,1.27,130,E2,0.0146,61.67,,22528,UGC 4174,MCG 2-21-4,CGCG 59-18
NGC 2509,,,*,4,120.199166666667,-19.0506,,9.3,,,12,,,,II1p,,,2.9,,OCL 630,ESO 561-SC7,
NGC 2510,,,*,1,120.54375,9.4861,14.4,13.4,1,12.9,1,0.7,1.43,111,S0,0.013419,56.68,,22541,UGC 4178,MCG 2-21-7,CGCG 59-23
NGC 2511,,,*,1,120.5625,9.3953,15,14.2,0.8,12.9,0.9,0.3,3,120,S,0.0149,62.94,,22549,MCG 2-21-8,MK 1207,CGCG 59-24
NGC 2512,,,*,1,120.781666666667,23.3917,13.9,13.1,0.8,13.2,1.4,0.9,1.56,113,SBb,0.015684,66.25,,22596,UGC 4191,MCG 4-19-21,MK 384
NGC 2513,,,*,1,120.602916666667,9.4139,12.6,11.6,1,13.4,2.5,2,1.25,170,E2,0.015561,65.73,55.05,22555,UGC 4184,MCG 2-21-9,CGCG 59-25
NGC 2514,,,*,1,120.707083333333,15.8078,14,13.4,0.6,13.8,1.3,1.2,1.08,21,SBbc,0.016198,68.42,,22581,UGC 4189,MCG 3-21-11,CGCG 88-22
NGC 2515,,,*,9,120.83875,20.1881,,,,,,,,,*2,,,,,,,
NGC 2516,,,*,4,119.516666666667,-60.7533,3.8,3.8,,,22,,,,I3r,,,0.346,,OCL 776,ESO 124-SC6,
NGC 2517,,,*,1,120.695833333333,-12.3172,12.7,11.8,0.9,12.1,1.4,1,1.4,67,SB0,0.00492,20.78,,22578,MCG -2-21-3,NPM1G -12.0217,CGMW 1-2065
NGC 2518,,,*,1,121.834166666667,51.1322,14,13,1,13.1,1.2,1,1.2,35,E-S0,0.017565,74.19,,22800,UGC 4221,MCG 9-14-6,CGCG 263-9
NGC 2519,,,*,9,121.995,51.1289,14.3,,,,,,,,*,,,,,,,
NGC 2520,,,*,7,121.242083333333,-28.1461,,6.5,,,10,,,,III1p,,,0.601,,NGC 2527,OCL 685,ESO 430-SC15
NGC 2521,,,*,1,122.205833333333,57.7697,13.8,12.8,1,12.6,1.2,0.7,1.71,45,E-S0,0.018413,77.78,,22866,UGC 4235,MCG 10-12-77,CGCG 287-42
NGC 2522,,,*,1,121.55625,17.7067,14.7,13.8,0.9,12.8,1,0.3,3.33,32,S0-a,0.015694,66.29,,22749,UGC 4218,MCG 3-21-14,CGCG 88-31
NGC 2523,A,,,1,121.035,74.0481,14.5,13.8,0.7,13.3,1,0.7,1.43,95,SBc,0.012689,53.6,64.55,22649,UGC 4166,MCG 12-8-24,CGCG 331-26
NGC 2523,B,,,1,123.236666666667,73.5636,14.8,14,0.8,13.3,2,0.3,6.67,92,Sb,0.012786,54.01,,23025,UGC 4259,MCG 12-8-30,CGCG 331-30
NGC 2523,C,,,1,124.434166666667,73.3181,14.3,13.3,1,13.6,1.5,0.8,1.88,95,E5,0.012038,50.85,,23247,UGC 4290,MCG 12-8-32,CGCG 331-33
NGC 2523,,,*,1,123.75,73.5789,12.6,11.9,0.7,13.6,2.9,1.8,1.61,57,SBbc,0.011578,48.9,38.4,23128,UGC 4271,MCG 12-8-31,CGCG 331-32
NGC 2524,,,*,1,122.04,39.1578,13.6,12.7,0.9,12.9,1.4,1,1.4,125,S0-a,0.013242,55.93,,22838,UGC 4234,MCG 7-17-16,CGCG 207-34
NGC 2525,,,*,1,121.408333333333,-11.4275,12.3,11.6,0.7,13.4,3,2,1.5,75,SBc/P,0.005274,22.28,18.5,22721,MCG -2-21-4,UGCA 135,IRAS 08032-1117
NGC 2526,,,*,1,121.743333333333,8.0042,14.6,13.8,0.8,13.5,1.2,0.7,1.71,131,Sab,0.015354,64.85,,22778,UGC 4231,MCG 1-21-12,CGCG 31-47
NGC 2527,,,*,4,121.242083333333,-28.1461,,6.5,,,10,,,,III1p,,,0.601,,NGC 2520,OCL 685,ESO 430-SC15
NGC 2528,,,*,1,121.854166666667,39.1947,13.4,12.6,0.8,13.3,1.5,1.5,1,,Sb,0.013102,55.34,,22805,UGC 4227,MCG 7-17-15,CGCG 207-32
NGC 2529,,,*,10,121.73875,17.8286,,,,,,,,,NF,,,,,,,
NGC 2530,,,*,1,121.982083333333,17.8183,14.3,13.6,0.7,13.9,1.4,0.9,1.56,170,SBcd,0.016772,70.84,,22827,UGC 4237,MCG 3-21-20,CGCG 88-38
NGC 2531,,,*,10,121.983333333333,17.835,,,,,,,,,NF,,,,,,,
NGC 2532,,,*,1,122.563333333333,33.9561,13,12.4,0.6,13.8,1.9,1.4,1.36,10,SBc,0.017519,74,,22922,UGC 4256,MCG 6-18-13,CGCG 178-32
NGC 2533,,,*,4,121.766666666667,-29.8667,,7.6,,,6,,,,III1p,,,1.7,,OCL 695,ESO 430-SC19,
NGC 2534,,,*,1,123.225416666667,55.6719,13.7,12.9,0.8,13.5,1,1,1,,E1/P,0.011498,48.57,,23024,UGC 4268,MCG 9-14-14,MK 85
NGC 2535,,,*,1,122.806666666667,25.2072,13.3,12.8,0.5,13.8,2.5,1.2,2.08,12,Sc/P,0.013666,57.72,,22957,UGC 4264,MCG 4-20-4,CGCG 119-8
NGC 2536,,,*,1,122.817083333333,25.1797,14.7,14.2,0.5,13.4,0.8,0.4,2,49,SBc/P,0.013736,58.02,,22958,MCG 4-20-5,CGCG 119-9,VV 9
NGC 2537,A,,,1,123.42125,45.9933,16,15.4,0.6,14.2,0.6,0.6,1,,SBc,0.039976,168.86,,23057,MCG 8-15-51,,
NGC 2537,,,*,1,123.31,45.9914,12.3,11.7,0.6,12.6,1.7,1.5,1.13,162,SBm,0.001438,6.07,7.94,23040,UGC 4274,MCG 8-15-50,MK 86
NGC 2538,,,*,1,122.845833333333,3.6331,13.5,12.6,0.9,13,1.5,1.2,1.25,25,SBa,0.013339,56.34,,22962,UGC 4266,MCG 1-21-19,CGCG 31-67
NGC 2539,,,*,4,122.65375,-12.8206,,6.5,,,15,,,,II1m,,,1.363,,OCL 611,,
NGC 2540,,,*,1,123.19375,26.3614,14.2,13.5,0.7,13.5,1.3,0.9,1.44,125,SBc,0.021018,88.78,76.05,23017,UGC 4275,MCG 5-20-4,CGCG 149-4
NGC 2541,,,*,1,123.666666666667,49.0619,12.3,11.8,0.5,14.9,6.3,3.2,1.97,165,SBc,0.001828,7.72,12.35,23110,UGC 4284,MCG 8-15-54,CGCG 236-37
NGC 2542,,,*,9,122.8175,-12.9264,4.7,,,,,,,,*,,,,,19 Pup,,
NGC 2543,,,*,1,123.240833333333,36.2536,12.7,11.9,0.8,12.9,2.3,1.2,1.92,45,SBb,0.008242,34.81,26.3,23028,IC 2232,UGC 4273,MCG 6-18-14
NGC 2544,,,*,1,125.417916666667,73.9883,13.8,12.9,0.9,12.6,1.1,0.8,1.38,70,SBa,0.009433,39.84,41.3,23453,UGC 4327,MCG 12-8-34,MK 87
NGC 2545,,,*,1,123.55875,21.3561,13.2,12.4,0.8,13.2,2.2,1.2,1.83,170,SBab,0.011291,47.69,58.06,23086,UGC 4287,MCG 4-20-7,CGCG 119-16
