id,A,C,D,S,alpha,delta,BMAG,VMAG,B-V,SB,diameter,minAxis,axisRatio,posAngle,TYPE,z,D(z),Dist,PGC,ID1,ID2,ID3
IC 1274,,,*,2,272.458333333333,-23.6483,,,,,6,5,1.2,,EN+*,,,,,LBN 33,ESO 521-N*41,CED 154D
IC 1275,,,*,2,272.529166666667,-23.7617,,,,,,,,,EN+*,,,,,,,
IC 1276,,,*,5,272.690416666667,-7.2111,,10.3,,,8,,,,XII,,,5.4,,GCL 90,Pal 7,
IC 1277,,,*,1,272.61375,31.0033,14.1,13.4,0.7,13.3,1.2,0.9,1.33,25,Sc,0.02363,99.81,,61491,UGC 11135,MCG 5-43-5,CGCG 172-8
IC 1278,,,*,9,272.674583333333,31.1497,,,,,0.8,,,,*Grp,,,,,,,
IC 1279,,,*,1,272.814166666667,36.0075,14.3,13.5,0.8,13.8,2.6,0.6,4.33,159,Sb,0.021605,91.26,,61518,UGC 11143,MCG 6-40-9,CGCG 200-9
IC 1280,,,*,8,273.07625,25.6628,15.3,14.3,1,12.2,0.4,0.4,1,,C,0.014877,62.84,,61549,NGC 6581,MCG 4-43-10,CGCG 142-21
IC 1281,,,*,1,272.90875,35.9978,15.7,14.9,0.8,12.7,0.5,0.3,1.67,3,S,0.045435,191.91,,61527,CGCG 200-10,NPM1G +35.0424,
IC 1282,,,*,9,273.522083333333,21.1017,,,,,,,,,*4,,,,,,,
IC 1283,,,*,2,274.319583333333,-19.7622,,,,,3,3,1,,EN,,,1.8,,"in Sh2-37, part of IC 1284",,
IC 1284,,,*,2,274.414583333333,-19.6719,,,,,17,15,1.13,,EN+*,,,1.7,,ESO 590-*N16,CED 157D,in Sh2-37
IC 1285,,,*,9,274.040833333333,25.1022,,,,,,,,,*Grp,,,,,,,
IC 1286,,,*,1,274.06,55.59,14.6,13.8,0.8,13.3,1.4,0.5,2.8,87,Sab,0.018523,78.24,,61666,UGC 11191,MCG 9-30-10,CGCG 279-7
IC 1287,,,*,2,277.858333333333,-10.795,,,,,20,10,2,,RN,,,1.6,,LBN 75,CED 163,
IC 1288,,,*,1,277.34375,39.7139,14.3,13.4,0.9,13,1.1,0.7,1.57,2,SBa,0.018976,80.15,,61941,UGC 11256,MCG 7-38-7,CGCG 228-9
IC 1289,,,*,1,277.509166666667,39.9647,15.8,15,0.8,13.2,0.7,0.3,2.33,145,S,0.018313,77.35,,61958,MCG 7-38-9,CGCG 228-11,
IC 1290,,,*,9,279.616666666667,-24.1133,,,,,2,1,2,,*Grp,,,,,ESO 523-**5,,
IC 1291,,,*,1,278.468333333333,49.2786,13.5,13,0.5,13.9,1.8,1.4,1.29,39,SBdm,0.006518,27.53,31.5,62049,UGC 11283,MCG 8-34-4,CGCG 255-6
IC 1292,,,*,10,281.167916666667,-27.815,,,,,,,,,NF,,,,,,,
IC 1293,,,*,9,280.408333333333,56.3172,,,,,,,,,*Grp,,,,,,,
IC 1294,,,*,9,282.460416666667,40.2092,,,,,,,,,*Grp,,,,,,,
IC 1295,,,*,3,283.654583333333,-8.8264,15,12.5,,,1.5,,,,PN,,,1.454,,PK 25-4.2,CS=15.0,
IC 1296,,,*,1,283.328333333333,33.0664,14.8,14,0.8,13.7,1.1,0.8,1.38,80,SBbc,0.017075,72.12,,62532,UGC 11374,MCG 6-41-22,CGCG 201-40
IC 1297,,,*,3,289.3475,-39.6125,10.6,10.7,,,0.4,,,,PN,,,3.75,,PK 358-21.1,ESO 337-PN20,CS=12.9
IC 1298,,,*,9,289.6475,-1.5961,,,,,,,,,*Grp,,,,,,,
IC 1299,,,*,4,290.675,20.74,14,,,,2,1,2,,OCL,,,,,,,
IC 1300,,,*,8,291.012916666667,53.6242,14.2,13.2,1,13.5,1.6,0.9,1.78,141,S0,0.007972,33.67,,63171,NGC 6798,UGC 11434,MCG 9-32-2
IC 1301,,,*,1,291.632916666667,50.1258,14.2,13.3,0.9,13,1.2,0.7,1.71,17,S0-a,0.013636,57.6,,63207,IC 4867,UGC 11437,MCG 8-35-10
IC 1302,,,*,1,292.72,35.785,14.1,13.4,0.7,12.2,0.9,0.4,2.25,45,SBc,0.015527,65.58,,63307,MCG 6-43-2,IRAS 19290+3540,
IC 1303,,,*,1,292.875833333333,35.8758,15,14.3,0.7,13.7,1.3,0.8,1.63,106,Sc,0.014894,62.91,,63328,UGC 11452,MCG 6-43-4,IRAS 19296+3546
IC 1304,,,*,9,293.9,41.11,,,,,,,,,*Grp,,,,,,,
IC 1305,,,*,9,294.825,20.1944,,,,,,,,,*Grp,,,,,CED 169,,
IC 1306,,,*,9,295.425,37.6917,,,,,,,,,*Grp,,,,,,,
IC 1307,,,*,9,295.620833333333,27.7517,,,,,,,,,*Grp,,,,,"incl. ""dark space""",,
IC 1308,,,*,6,296.271666666667,-14.7214,,14,,,0.6,,,,GxyP,,,0.5,,LBN 83,part of N 6822,
IC 1309,,,*,1,300.755833333333,-17.2325,15,14.2,0.8,13.5,0.9,0.7,1.29,35,SBbc,0.026452,111.73,,64030,,,
IC 1310,,,*,4,302.504166666667,34.9683,,,,,3,,,,II1p,,,,,OCL 147,Berkeley 50,in LBN 181?
IC 1311,,,*,4,302.7,41.1733,,13.1,,,5,,,,II3rn,,,5.333,,OCL 173,COU 45,URA 50
IC 1312,,,*,9,304.214583333333,18.0458,,,,,,,,,*Grp,,,,,,,
IC 1313,,,*,1,304.681666666667,-16.9461,14.9,14.1,0.8,15.5,2.1,1.9,1.11,29,SBab,0.011044,46.65,,64463,MCG -3-51-8,NPM1G -17.0427,
IC 1314,,,*,9,304.445833333333,25.0967,,,,,25,,,,*Grp,,,,,,,
IC 1315,,,*,9,304.340416666667,30.6881,,,,,,,,,*Grp,,,,,,,
IC 1316,,,*,10,305.6075,6.5017,,,,,,,,,NF,,,,,,,
IC 1317,,,*,1,305.814583333333,0.6647,14.6,13.8,0.8,12.9,0.7,0.6,1.17,80,E1,0.012679,53.56,,64586,UGC 11546,MCG 0-52-4,CGCG 373-5
IC 1318,A,,,2,304.15,41.8167,,,,,50,20,2.5,,EN,,,,,LBN 251,part of Gamma Cyg nebula,
IC 1318,B,,,2,306.975,40,14.9,,,,45,30,1.5,,EN,,,,,part of Gamma Cyg nebula,,
IC 1318,,,*,2,305.558333333333,40.2567,,,,,50,30,1.67,,EN,,,1.2,,LBN 245,part of Gamma Cyg nebula,
IC 1319,,,*,1,306.505,-18.5042,14.6,13.8,0.8,12.7,0.8,0.5,1.6,12,Sbc,0.024387,103.01,,64675,ESO 596-37,MCG -3-52-7,IRAS 20231-1840
IC 1320,,,*,1,306.607083333333,2.9094,14.4,13.6,0.8,12.9,1,0.6,1.67,87,Sb,0.016548,69.9,,64685,UGC 11560,MCG 0-52-9,CGCG 373-8
IC 1321,,,*,1,307.045833333333,-18.2919,15.2,14.4,0.8,14.1,1.1,0.8,1.38,85,Sbc,0.022215,93.83,106.5,64751,ESO 596-43,MCG -3-52-11,
IC 1322,,,*,1,307.535,-15.2278,14.9,14.1,0.8,12.8,0.9,0.4,2.25,100,SB,0.011655,49.23,,64822,NPM1G -15.0537,IRAS 20273-1523,
IC 1323,,,*,9,307.62375,-15.1825,,,,,,,,,*,,,,,,,
IC 1324,,,*,1,308.050833333333,-9.0556,14.4,13.5,0.9,14.2,1.5,1.4,1.07,39,S0-a,0.020354,85.97,,64906,MCG -2-52-12,NPM1G -09.0610,
IC 1325,,,*,8,308.20875,9.9275,13.2,12.2,1,12.4,2.1,0.6,3.5,106,SBab,0.015701,66.32,58.34,64932,NGC 6928,UGC 11589,MCG 2-52-17
IC 1326,,,*,8,308.245,9.8739,13.6,12.8,0.8,12.1,1.2,0.5,2.4,8,SBab,0.015657,66.13,,64935,NGC 6930,UGC 11590,MCG 2-52-18
IC 1327,,,*,1,308.922083333333,-0.0053,14.9,14,0.9,13.5,0.9,0.8,1.13,170,S0-a,0.032386,136.8,,65027,CGCG 373-38,KARA 881,
IC 1328,,,*,1,310.4875,-19.6331,14.8,14.1,0.7,12.7,0.8,0.4,2,49,Sc,0.036545,154.36,146,65217,ESO 597-28,MCG -3-52-23,IRAS 20390-1948
IC 1329,,,*,9,310.92625,15.5878,,,,,,,,,*Grp,,,,,,,
IC 1330,,,*,1,311.561666666667,-14.0228,14.7,14,0.7,13,1.2,0.4,3,115,Sc,0.027896,117.83,106.2,65345,MCG -2-53-2,IRAS 20434-1412,
IC 1331,,,*,1,311.953333333333,-9.9956,14.6,13.7,0.9,13.7,1.8,0.6,3,85,S0-a,0.019097,80.66,,65396,MCG -2-53-5,,
IC 1332,,,*,1,312.96375,-13.7111,14.3,13.5,0.8,12.7,0.9,0.6,1.5,66,Sb,0.032573,137.59,,65584,MCG -2-53-11,NPM1G -13.0503,
IC 1333,,,*,1,313.07125,-16.2858,14.5,13.6,0.9,13.7,1.5,0.8,1.88,69,S0-a,0.027035,114.19,,65614,IC 1334,MCG -3-53-8,NPM1G -16.0510
IC 1334,,,*,7,313.07125,-16.2858,14.5,13.6,0.9,13.7,1.5,0.8,1.88,69,S0-a,0.027035,114.19,,65614,IC 1333,MCG -3-53-8,NPM1G -16.0510
IC 1335,,,*,1,313.275,-16.335,15.7,14.7,1,13.3,0.5,0.5,1,,E0,0.043,181.63,,899456,NPM1G -16.0512,,
IC 1336,,,*,1,313.770833333333,-18.0386,15.1,14.3,0.8,12.8,0.8,0.5,1.6,36,Sab,0.027969,118.14,,65706,ESO 598-1,MCG -3-53-9,
IC 1337,,,*,1,314.219166666667,-16.585,14.6,13.8,0.8,12.9,0.8,0.6,1.33,178,Sb,0.030741,129.85,,65760,MCG -3-53-12,IRAS 20540-1646,
IC 1338,,,*,1,314.240416666667,-16.4922,15.7,14.9,0.8,13.4,0.7,0.4,1.75,40,SB,0.031345,132.4,,140938,NPM1G -16.0516,IRAS 20541-1641,
IC 1339,,,*,1,314.48125,-17.9422,14,13.2,0.8,13.3,1.4,0.8,1.75,55,SBb,0.028046,118.46,131.5,65799,ESO 598-8,MCG -3-53-13,IRAS 20550-1808
IC 1340,,,*,2,314.033333333333,31.0483,,,,,25,20,1.25,,SNR,,,0.45,,part of Veil nebula,,
IC 1341,,,*,1,315.069166666667,-13.9758,15.3,14.3,1,12.1,0.5,0.3,1.67,73,S0,0.030318,128.06,,65876,MCG -2-53-16,NPM1G -14.0591,
