id,alpha,delta,diameter,Type,Common name,GId
SNR G116.5+01.1,358.4167,63.25,80,S,,G116.5+01.1
SNR G116.6-26.1,5.75,36.5,235,S,,G116.6-26.1
SNR G116.9+00.2,359.7917,62.4333,34,S,CTB 1,G116.9+00.2
SNR G119.5+10.2,1.6667,72.75,90,S,CTA 1,G119.5+10.2
SNR G120.1+01.4,6.325,64.15,8,S,Tycho | 3C10 | SN1572,G120.1+01.4
SNR G126.2+01.6,20.5,64.25,70,S?,,G126.2+01.6
SNR G127.1+00.5,22.0833,63.1667,45,S,R5,G127.1+00.5
SNR G130.7+03.1,31.4208,64.8167,9,F,3C58 | SN1181,G130.7+03.1
SNR G132.7+01.3,34.4167,62.75,80,S,HB3,G132.7+01.3
SNR G150.3+04.5,66.75,55.4667,180,S,,G150.3+04.5
SNR G152.4-02.1,61.9583,49.1833,100,S,,G152.4-02.1
SNR G156.2+05.7,74.6667,51.8333,110,S,,G156.2+05.7
SNR G159.6+07.3,80,50,240,S,,G159.6+07.3
SNR G160.9+02.6,75.25,46.6667,140,S,HB9,G160.9+02.6
SNR G166.0+04.3,81.625,42.9333,55,S,VRO 42.05.01,G166.0+04.3
SNR G178.2-04.2,81.2708,28.1833,72,S,,G178.2-04.2
SNR G179.0+02.6,88.4167,31.0833,70,S?,,G179.0+02.6
SNR G180.0-01.7,84.75,27.8333,180,S,S147,G180.0-01.7
SNR G181.1+09.5,96.6667,32.5,74,S,,G181.1+09.5
SNR G182.4+04.3,92.0417,29,50,S,,G182.4+04.3
SNR G184.6-05.8,83.6292,22.0167,7,F,Crab Nebula | 3C144 | SN1054,G184.6-05.8
SNR G189.1+03.0,94.25,22.5667,45,C,IC443 | 3C157,G189.1+03.0
SNR G189.6+03.3,94.9167,22,90,S,,G189.6+03.3
SNR G190.9-02.2,90.4792,18.4,70,S,,G190.9-02.2
SNR G203.1+06.6,104.25,11.6667,150,S,,G203.1+06.6
SNR G205.5+00.5,99.75,6.5,220,S,Monoceros Nebula,G205.5+00.5
SNR G206.7+05.9,105.25,8.1667,210,S,,G206.7+05.9
SNR G206.9+02.3,102.1667,6.4333,60,S?,PKS 0646+06,G206.9+02.3
SNR G213.0-00.6,102.7083,-0.5,160,S,,G213.0-00.6
SNR G249.5+24.5,143.5,-17,260,S,Hoinga,G249.5+24.5
SNR G260.4-03.4,125.5417,-43,60,S,Puppis A | MSH 08-44,G260.4-03.4
SNR G261.9+05.5,136.0833,-38.7,40,S,,G261.9+05.5
SNR G263.9-03.3,128.5,-45.8333,255,C,Vela (XYZ),G263.9-03.3
SNR G266.2-01.2,133,-46.3333,120,S,RX J0852.0-4622,G266.2-01.2
SNR G272.2-03.2,136.7083,-52.1167,15,S?,,G272.2-03.2
SNR G279.0+01.1,149.4167,-53.25,95,S,,G279.0+01.1
SNR G284.3-01.8,154.5625,-59,24,S,MSH 10-53,G284.3-01.8
SNR G286.5-01.2,158.9167,-59.7,26,S?,,G286.5-01.2
SNR G288.8-06.3,157.5833,-65.25,108,S,,G288.8-06.3
SNR G289.7-00.3,165.3125,-60.3,18,S,,G289.7-00.3
SNR G290.1-00.8,165.7708,-60.9333,19,S,MSH 11-61A,G290.1-00.8
SNR G291.0-00.1,167.975,-60.6333,15,C,(MSH 11-62),G291.0-00.1
SNR G292.0+01.8,171.15,-59.2667,12,C,MSH 11-54,G292.0+01.8
SNR G292.2-00.5,169.8333,-61.4667,20,S,,G292.2-00.5
SNR G293.8+00.6,173.75,-60.9,20,C,,G293.8+00.6
SNR G294.1-00.0,174.0417,-61.6333,40,S,,G294.1-00.0
SNR G296.1-00.5,177.7917,-62.5667,37,S,,G296.1-00.5
SNR G296.5+10.0,182.4167,-52.4167,90,S,PKS 1209-51/52,G296.5+10.0
SNR G296.7-00.9,178.875,-63.1333,15,S,,G296.7-00.9
SNR G296.8-00.3,179.625,-62.5833,20,S,1156-62,G296.8-00.3
SNR G298.5-00.3,183.1667,-62.8667,5,?,,G298.5-00.3
