id,alpha,delta,diameter,majAxis,minAxis,axisRatio,posAngle,Other names,,Type,Source,
IREC 125,316.62917,60.77667,446,446,446,1,,[DB2002b] G98.67+9,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
FeSt 1-431,263.82917,-30.73167,440,440,440,1,,[DB2002b] G357.29+0.93,,DARK_NEBULA,Dutra and Bica (2002b),
CODIR 176-32,56.77917,12.23194,420,420,420,1,,[DB2002b] G176-32,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
CODIR 176-36,54.05417,9.24083,420,420,420,1,,[DB2002b] G176.4-36,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
Corona Australis DN Complex,288,-37.5,410,410,410,1,,[DB2002b] G0.12-19.93,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
Lupus I,235.75,-34.785,410,410,410,1,,[DB2002b] G338.49+15.99,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
LDN 621,281.875,3.22222,403,403,403,1,,[DB2002b] G35.35+2.34,,DARK_NEBULA,Dutra and Bica (2002b),
HSVMT 5,355.09167,84.41722,380,380,380,1,,[DB2002b] G121.1+21.8,,DARK_NEBULA,Dutra and Bica (2002b),
Coalsack,192.5,-62.65,375,375,375,1,,[DB2002b] G302.77+0.22,,DARK_NEBULA,Dutra and Bica (2002b),
Lupus VI,247.125,-41.02611,375,375,375,1,,[DB2002b] G340.89+5.33,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
CO Cloud A,290.1625,11.80444,360,360,360,1,,[DB2002b] G46.75-1,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
Barnard 144,299.5,35.33333,360,360,360,1,,[DB2002b] G71.41+3.2,,DARK_NEBULA,Dutra and Bica (2002b),
MBM 55,347.1,15.08778,360,360,360,1,,[DB2002b] G89.19-40.94,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
Monoceros R1 DN Complex,99,10.43333,350,350,350,1,,[DB2002b] G201.9+1.36,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
MonR2 DN Complex,91.75,-6.43333,350,350,350,1,,[DB2002b] G213.66-12.8,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
Lupus V,244.75,-36.78,350,350,350,1,,[DB2002b] G342.66+9.61,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
MBM 3,18.94167,16.79722,345,345,345,1,,[DB2002b] G131.28-45.68,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
LDN 569,274.62917,1.52083,334,334,334,1,,[DB2002b] G30.52+8.01,,DARK_NEBULA,Dutra and Bica (2002b),
G101.9-62.0,3.07083,-0.69694,330,330,330,1,,[DB2002b] G101.74-61.95,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
LDN 841,302.7375,33.14944,329,329,329,1,,[DB2002b] G70.99-0.23,,DARK_NEBULA,Dutra and Bica (2002b),
MBM 14,47.96667,20.02111,320,320,320,1,,[DB2002b] G162.45-31.87,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
FeSt 1-266,211.74167,-60.38778,320,320,320,1,,[DB2002b] G312.14+1.13,,DARK_NEBULA,Dutra and Bica (2002b),
Barnard 228,235.64583,-34.14194,310,310,310,1,,[DB2002b] G338.84+16.53,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 45,254.39583,10.47778,309,309,309,1,,[DB2002b] G29.5+30,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 001-22,290.8,-37.39194,300,300,300,1,,[DB2002b] G1-22,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
LDN 34,267.0375,-28.01611,300,300,300,1,,[DB2002b] G1.08+0,,DARK_NEBULA,Dutra and Bica (2002b),
DIR 015-54,331.6,-32.00278,300,300,300,1,,[DB2002b] G15-54,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
DIR 022+43,239.37917,11.0375,300,300,300,1,,[DB2002b] G22+43.5,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
CO Cloud C,290.9125,17.93611,300,300,300,1,,[DB2002b] G52.5+1.25,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
LDN 870,309.2375,35.175,300,300,300,1,,[DB2002b] G75.74-3.47,,DARK_NEBULA,Dutra and Bica (2002b),
G135.4-68.7,17.38333,-6.2675,300,300,300,1,,[DB2002b] G135.4-68.7,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
Camelopardalis DN Complex,35.97083,35.15222,300,300,300,1,,[DB2002b] G143.5-24,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
DIR 172-42 Envelope,47.69583,7.79083,300,300,300,1,,[DB2002b] G171.96-41.45,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
Taurus DN Complex Nucleus,70.0875,25.70028,300,300,300,1,,[DB2002b] G174.17-13.67,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
CODIR 183-31,61.30833,8.65056,300,300,300,1,,[DB2002b] G182.6-31,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
CODIR 184-35,59.36667,4.65056,300,300,300,1,,[DB2002b] G184.9-35,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
Rosette DN Complex,98.25,4.48333,300,300,300,1,,[DB2002b] G206.84-2.04,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
LDN 1641,84.35417,-6.97111,300,300,300,1,,[DB2002b] G210.76-19.61,,DARK_NEBULA,Dutra and Bica (2002b),
Crossbones DN Complex,97,-9.88333,300,300,300,1,,[DB2002b] G219.16-9.66,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
HRK236+39 Envelope,146.45833,0.71889,300,300,300,1,,[DB2002b] G235.66+38.27,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
G317-4 CO Complex,226.425,-63.00972,300,300,300,1,,[DB2002b] G317.5-4,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
DBDN 354.3+45.0,226.42917,-3.96611,300,300,300,1,,[DB2002b] G354.32+45.09,,DARK_NEBULA,Dutra and Bica (2002b),
LDN 787,298.2875,22.13056,294,294,294,1,,[DB2002b] G59.56-2.73,,DARK_NEBULA,Dutra and Bica (2002b),
IREC 141,335.0625,63.01028,293,293,293,1,,[DB2002b] G106.72+5,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
IREC 231,54.7375,31.59278,291,291,291,1,,[DB2002b] G159.9-19,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
