alpha,delta,GName,diameter,id
273.00125,-17.646944,012.8+00.4,10.5,PBD 166
273.696667,-17.894444,012.9-00.3,2.3,PBD 167
273.604167,-17.846667,012.9-00.2,3,PBD 168
273.6625,-17.535278,013.2-00.1,2.7,PBD 169
273.570417,-17.4875,013.2+00.0,2.1,PBD 170
273.478333,-17.439722,013.2+00.1,6.4,PBD 171
274.96375,-17.976389,013.4-01.4,7.5,PBD 172
273.57875,-17.264167,013.4+00.1,9.2,PBD 173
273.904583,-17.319444,013.5-00.2,1.6,PBD 174
273.820417,-17.048333,013.7-00.0,19,PBD 175
274.607083,-17.340556,013.8-00.8,11.4,PBD 176
274.012083,-16.92,013.9-00.1,2.1,PBD 177
273.92,-16.8725,013.9-00.0,3.3,PBD 178
273.736667,-16.776944,013.9+00.2,1.8,PBD 179
273.644583,-16.729444,013.9+00.3,3,PBD 180
274.061667,-16.832222,014.0-00.1,2.2,PBD 181
274.479167,-16.934167,014.1-00.5,3.9,PBD 182
274.203333,-16.791667,014.1-00.2,4.7,PBD 183
274.345,-16.751111,014.2-00.3,7.5,PBD 184
274.252917,-16.703611,014.2-00.2,20.3,PBD 185
274.16125,-16.656111,014.2-00.1,4.5,PBD 186
274.3025,-16.615833,014.3-00.2,6.5,PBD 187
274.027083,-16.473056,014.3+00.1,2.6,PBD 188
274.811667,-16.764444,014.4-00.7,3.8,PBD 189
274.719583,-16.717222,014.4-00.6,9.7,PBD 190
274.260417,-16.480278,014.4-00.1,4.3,PBD 191
274.769167,-16.629167,014.5-00.6,5.5,PBD 192
276.295,-17.291944,014.6-02.2,14.5,PBD 193
274.2675,-16.256667,014.6+00.0,12.6,PBD 194
274.175833,-16.209167,014.6+00.1,8.8,PBD 195
273.262083,-15.731944,014.6+01.1,0.4,PBD 196
274.775833,-16.405556,014.7-00.5,5.9,PBD 197
275.935417,-16.658333,015.0-01.6,18.9,PBD 198
275.107083,-16.235556,015.0-00.7,5.8,PBD 199
275.34,-16.241667,015.1-00.9,4.7,PBD 200
275.15625,-16.1475,015.1-00.7,6,PBD 201
271.516667,-14.2325,015.1+03.3,15.3,PBD 202
275.297083,-16.106389,015.2-00.8,3.9,PBD 203
275.113333,-16.011944,015.2-00.6,1.5,PBD 204
274.479167,-15.457778,015.4+00.2,6.2,PBD 205
273.121667,-14.519167,015.6+01.8,19.5,PBD 206
276.50875,-16.044444,015.8-01.8,7.7,PBD 207
277.39125,-16.15,016.1-02.6,19.8,PBD 208
275.285,-14.853333,016.3-00.2,12.4,PBD 209
275.6075,-14.906111,016.4-00.5,12.5,PBD 210
275.33375,-14.765278,016.4-00.2,2,PBD 211
275.522083,-14.635556,016.6-00.3,11,PBD 212
273.253333,-13.450278,016.6+02.2,17,PBD 213
277.590417,-15.348611,016.9-02.4,17.7,PBD 214
277.406667,-15.256111,016.9-02.2,49,PBD 215
276.397917,-14.745278,016.9-01.1,6.5,PBD 216
275.485417,-14.276944,016.9-00.1,0.3,PBD 217
274.667083,-13.8525,016.9+00.8,17.3,PBD 218
274.715833,-13.764444,017.0+00.8,15.9,PBD 219
274.625417,-13.716944,017.0+00.9,9.7,PBD 220
273.99125,-13.385,017.0+01.6,10.6,PBD 221
273.900833,-13.3375,017.0+01.7,11.3,PBD 222
275.5825,-14.100278,017.1-00.1,7.3,PBD 223
274.764583,-13.676111,017.1+00.8,5.1,PBD 224
275.721667,-14.058889,017.2-00.2,12.6,PBD 225
277.829167,-14.905556,017.4-02.4,15.6,PBD 226
275.273333,-13.600556,017.4+00.4,0.8,PBD 227
273.874167,-12.755,017.5+02.0,7.9,PBD 228
274.512917,-12.863889,017.7+01.4,4.2,PBD 229
276.24625,-13.310556,018.1-00.3,1,PBD 230
276.385417,-13.268889,018.2-00.4,2.9,PBD 231
276.294583,-13.222222,018.2-00.3,8.5,PBD 232
276.20375,-13.175556,018.2-00.2,3.7,PBD 233
274.304583,-12.186944,018.2+01.9,19.2,PBD 234
276.433333,-13.180556,018.3-00.4,0.7,PBD 235
276.3425,-13.133889,018.3-00.3,3.7,PBD 236
274.984167,-12.429722,018.3+01.2,10,PBD 237
274.352917,-12.098889,018.3+01.9,5.5,PBD 238
276.48125,-13.091944,018.4-00.4,0.7,PBD 239
276.16625,-12.816667,018.5-00.0,1.6,PBD 240
274.449583,-11.922778,018.5+01.9,25,PBD 241
274.359583,-11.875556,018.5+02.0,22.7,PBD 242
276.48625,-11.868333,018.6-00.3,5,PBD 243
274.497917,-11.834722,018.6+01.9,22.6,PBD 244
274.45625,-11.699444,018.7+02.0,19.6,PBD 245
274.684583,-11.705833,018.8+01.8,21,PBD 246
277.265,-12.928611,018.9-01.0,22.6,PBD 247
276.810833,-12.696111,018.9-00.5,6.8,PBD 248
276.72,-12.649722,018.9-00.4,12,PBD 249
276.949167,-12.654167,019.0-00.6,3.9,PBD 250
276.767917,-12.561111,019.0-00.4,5.5,PBD 251
276.677083,-12.514444,019.0-00.3,14.8,PBD 252
276.405417,-12.374722,019.0-00.0,3.3,PBD 253
276.725,-12.426111,019.1-00.3,6.7,PBD 254
274.6075,-11.211667,019.2+02.1,0.9,PBD 255
274.5175,-11.164444,019.2+02.2,10.9,PBD 256
276.55375,-11.885833,019.5+00.1,6.1,PBD 257
276.8725,-11.936944,019.6-00.2,7.6,PBD 258
276.782083,-11.890556,019.6-00.1,4.1,PBD 259
276.92,-11.848611,019.7-00.2,5.9,PBD 260
276.829583,-11.801944,019.7-00.1,3,PBD 261
277.42,-11.992222,019.8-00.7,13,PBD 262
279.696667,-12.918333,020.0-03.1,23.5,PBD 263
276.972083,-11.536389,020.0-00.1,8.3,PBD 264
277.019583,-11.447778,020.1-00.1,1.5,PBD 265
277.790417,-11.730278,020.2-00.9,10.9,PBD 266
277.837917,-11.641667,020.3-00.9,10.7,PBD 267
277.747083,-11.595278,020.3-00.8,10,PBD 268
279.7925,-12.517222,020.4-03.0,0.4,PBD 269
276.98125,-11.089444,020.4+00.1,12,PBD 270
276.938333,-10.954167,020.5+00.2,5,PBD 271
277.30375,-10.916667,020.7-00.1,7.2,PBD 272
277.715833,-10.789722,021.0-00.4,0.8,PBD 273
277.265,-10.558056,021.0+00.1,0.8,PBD 274
275.557917,-9.671667,021.0+02.0,1.8,PBD 275
277.762917,-10.701111,021.1-00.4,0.2,PBD 276
278.0375,-10.616111,021.3-00.6,0.4,PBD 277
276.465,-9.692222,021.4+01.2,1.3,PBD 278
277.685,-9.984167,021.7-00.0,7.3,PBD 279
278.139167,-9.991667,021.9-00.4,5.5,PBD 280
277.77875,-9.806944,021.9+00.0,18,PBD 281
