alpha,delta,GName,diameter,id
165.282917,-60.849444,289.9-00.8,4.9,PBD 995
166.41375,-61.091944,290.5-00.8,10.2,PBD 996
167.473333,-60.1175,290.6+00.3,8.5,PBD 997
168.218333,-59.729444,290.8+00.8,1.3,PBD 998
167.561667,-61.325,291.1-00.8,4.4,PBD 999
168.142917,-60.899444,291.2-00.3,5.3,PBD 1000
168.02625,-61.307778,291.3-00.7,1.2,PBD 1001
168.866667,-60.823611,291.5-00.1,5.6,PBD 1002
168.759583,-61.2325,291.6-00.5,6.3,PBD 1003
168.9975,-61.491389,291.8-00.7,1.3,PBD 1004
168.96625,-61.807222,291.9-01.0,10.8,PBD 1005
169.193333,-61.527222,291.9-00.7,1.4,PBD 1006
171.055833,-59.307778,292.0+01.7,4.9,PBD 1007
171.165417,-62.186667,293.0-01.0,1.5,PBD 1008
172.18375,-62.663611,293.6-01.3,10.7,PBD 1009
172.185417,-62.979722,293.7-01.6,0.9,PBD 1010
172.545833,-63.769444,294.1-02.3,0.9,PBD 1011
174.383333,-63.498889,294.8-01.8,12,PBD 1012
174.446667,-63.402778,294.8-01.7,4,PBD 1013
174.875833,-63.458333,295.0-01.7,5.3,PBD 1014
175.151667,-63.389444,295.1-01.6,9.6,PBD 1015
175.737083,-62.425556,295.1-00.6,7.9,PBD 1016
175.945417,-62.451667,295.2-00.6,8.9,PBD 1017
177.410833,-62.213056,295.8-00.2,9.5,PBD 1018
178.7125,-63.173889,296.6-01.0,8,PBD 1019
180.754583,-63.16,297.5-00.8,4.4,PBD 1020
181.11,-63.393333,297.7-01.0,1.9,PBD 1021
181.150417,-63.295,297.7-00.9,0.9,PBD 1022
182.284167,-63.2825,298.2-00.8,1.4,PBD 1023
182.462917,-62.789167,298.2-00.3,2.7,PBD 1024
183.3925,-62.652778,298.6-00.1,5.4,PBD 1025
183.762083,-62.879444,298.8-00.3,4.7,PBD 1026
184.25875,-61.195556,298.8+01.4,0.4,PBD 1027
183.949167,-62.9925,298.9-00.4,4.1,PBD 1028
184.312917,-62.510556,299.0+00.1,5,PBD 1029
184.341667,-62.411389,299.0+00.2,1.8,PBD 1030
185.06875,-62.957778,299.4-00.3,1.4,PBD 1031
187.49875,-62.970556,300.5-00.2,5,PBD 1032
188.79125,-61.610833,301.0+01.2,1.4,PBD 1033
188.975833,-61.816667,301.1+01.0,1.4,PBD 1034
190.464583,-61.750833,301.8+01.1,8.6,PBD 1035
190.813333,-62.856944,302.0-00.0,1.3,PBD 1036
191.885833,-63.568611,302.5-00.7,7.8,PBD 1037
192.35125,-62.670833,302.7+00.2,8.7,PBD 1038
192.579167,-61.571667,302.8+01.3,2.6,PBD 1039
193.23625,-63.771389,303.1-00.9,6.1,PBD 1040
193.91125,-63.668056,303.4-00.8,0.9,PBD 1041
194.1325,-63.566389,303.5-00.7,10.8,PBD 1042
194.127917,-63.466389,303.5-00.6,0.9,PBD 1043
195.030417,-63.555556,303.9-00.7,0.9,PBD 1044
194.985833,-62.955833,303.9-00.1,3.4,PBD 1045
197.58625,-62.692222,305.1+00.1,5.3,PBD 1046
197.570417,-62.5925,305.1+00.2,6.6,PBD 1047
197.88875,-63.183333,305.2-00.4,5.4,PBD 1048
197.820417,-62.784444,305.2+00.0,4.8,PBD 1049
197.787083,-62.585,305.2+00.2,5.8,PBD 1050
198.00375,-62.577222,305.3+00.2,6,PBD 1051
198.22,-62.569167,305.4+00.2,3.6,PBD 1052
198.474167,-62.76,305.5+00.0,7.4,PBD 1053
198.4175,-62.461111,305.5+00.3,3,PBD 1054
198.691667,-62.751111,305.6-00.0,4.8,PBD 1055
198.597917,-61.148611,305.7+01.6,6.5,PBD 1056
199.1475,-62.831944,305.8-00.1,8.4,PBD 1057
199.105,-62.632778,305.8+00.1,6.7,PBD 1058
200.31125,-63.076944,306.3-00.4,2.5,PBD 1059
200.185833,-62.580278,306.3+00.1,7.2,PBD 1060
203.217083,-63.095833,307.6-00.6,1.4,PBD 1061
203.112083,-62.799722,307.6-00.3,4.8,PBD 1062
204.227083,-62.815,308.1-00.4,1.3,PBD 1063
204.89625,-61.741111,308.6+00.6,4.7,PBD 1064
205.30625,-62.213056,308.7+00.1,5.3,PBD 1065
205.10375,-61.722222,308.7+00.6,3.7,PBD 1066
205.643333,-62.488056,308.8-00.2,1.8,PBD 1067
205.64125,-61.468333,309.0+00.8,0.4,PBD 1068
206.1025,-62.036111,309.1+00.2,7.6,PBD 1069
206.58125,-62.602222,309.2-00.4,1.3,PBD 1070
206.49,-62.406667,309.2-00.2,0.9,PBD 1071
207.362083,-62.83,309.5-00.7,3.8,PBD 1072
206.474583,-60.465,309.6+01.7,8.4,PBD 1073
206.672917,-60.443889,309.7+01.7,27.1,PBD 1074
207.702083,-62.027778,309.8-00.1,3.6,PBD 1075
206.870833,-60.039167,309.8+01.7,5.4,PBD 1076
207.667083,-61.068056,309.9+00.4,4.5,PBD 1077
208.53375,-62.084167,310.2-00.1,6.8,PBD 1078
208.99625,-61.07,310.5+00.2,1.8,PBD 1079
209.675833,-62.153333,310.7-00.3,2.2,PBD 1080
210.145417,-62.197778,310.9-00.4,3.6,PBD 1081
209.905,-61.399444,311.0+00.4,5.4,PBD 1082
210.500417,-62.047778,311.1-00.3,5.7,PBD 1083
210.087917,-60.961111,311.2+00.8,6.9,PBD 1084
210.73625,-61.704722,311.3-00.0,9.3,PBD 1085
210.67875,-61.608611,311.3+00.1,3.1,PBD 1086
211.44,-62.129444,311.5-00.5,5.7,PBD 1087
211.379583,-62.033611,311.5-00.4,2.7,PBD 1088
210.909167,-61.265278,311.5+00.4,5,PBD 1089
211.70625,-62.196667,311.6-00.6,7.8,PBD 1090
211.166667,-61.333611,311.6+00.3,1.3,PBD 1091
210.65625,-60.468611,311.6+01.2,0.4,PBD 1092
211.929583,-61.851667,311.8-00.3,0.9,PBD 1093
212.07,-61.726944,311.9-00.2,4,PBD 1094
211.88625,-61.44,311.9+00.1,3.1,PBD 1095
211.825833,-61.344167,311.9+00.2,4,PBD 1096
212.162917,-61.190278,312.1+00.3,2.1,PBD 1097
212.93875,-61.7025,312.3-00.3,4.4,PBD 1098
213.21375,-61.134444,312.6+00.2,1.3,PBD 1099
214.002083,-61.324722,312.9-00.1,0.4,PBD 1100
214.403333,-61.576111,313.0-00.4,3.8,PBD 1101
214.777083,-60.877778,313.4+00.2,5.5,PBD 1102
214.970833,-60.844444,313.5+00.2,2.7,PBD 1103
214.49125,-59.867778,313.6+01.2,0.4,PBD 1104
215.202917,-60.2725,313.8+00.7,0.4,PBD 1105
215.375833,-59.9225,314.0+01.0,0.4,PBD 1106
216.561667,-61.199444,314.1-00.4,0.4,PBD 1107
215.910417,-60.3575,314.1+00.5,7.1,PBD 1108
216.459583,-60.79,314.2-00.0,0.4,PBD 1109
216.2425,-60.509722,314.2+00.3,4.3,PBD 1110
216.170833,-60.416111,314.2+00.4,4,PBD 1111
218.775833,-60.658611,315.3-00.3,1.9,PBD 1112
218.696667,-60.566389,315.3-00.2,2.2,PBD 1113
220.431667,-60.521389,316.1-00.5,0.4,PBD 1114
220.616667,-60.48,316.2-00.5,3.3,PBD 1115
221.242083,-60.668611,316.4-00.8,3.5,PBD 1116
220.900417,-60.305833,316.4-00.4,5.2,PBD 1117
221.374167,-59.865278,316.8-00.1,1.7,PBD 1118
221.289583,-59.774722,316.8-00.0,2,PBD 1119
221.395833,-59.418056,317.0+00.3,7.9,PBD 1120
222.0125,-59.379722,317.3+00.2,7.3,PBD 1121
221.9275,-59.289444,317.3+00.3,10,PBD 1122
223.066667,-59.786111,317.6-00.4,6.8,PBD 1123
222.89125,-59.159722,317.8+00.2,1.3,PBD 1124
224.13875,-59.960278,318.0-00.8,11.8,PBD 1125
224.046667,-59.871389,318.0-00.7,3.1,PBD 1126
224.04,-59.648056,318.1-00.5,1.3,PBD 1127
223.949167,-59.559167,318.1-00.4,1.8,PBD 1128
224.307083,-59.690278,318.2-00.6,2.7,PBD 1129
223.8475,-59.023056,318.3+00.1,1.3,PBD 1130
225.150417,-59.008333,318.9-00.2,3.1,PBD 1131
225.058333,-58.920278,318.9-00.1,1.3,PBD 1132
224.77375,-58.4325,319.0+00.4,2.2,PBD 1133
225.848333,-59.039722,319.2-00.4,6.4,PBD 1134
225.754167,-58.952222,319.2-00.3,8.4,PBD 1135
224.6525,-57.673611,319.3+01.1,0.4,PBD 1136
225.812083,-58.593056,319.4-00.0,4.2,PBD 1137
225.905833,-57.650833,319.9+00.8,3.2,PBD 1138
227.45625,-58.681111,320.1-00.5,5.2,PBD 1139
226.76375,-57.851944,320.2+00.4,3.9,PBD 1140
226.394167,-57.504167,320.2+00.8,2.4,PBD 1141
228.687083,-59.350833,320.3-01.4,5.3,PBD 1142
228.282083,-59.008889,320.3-01.0,10.2,PBD 1143
227.592917,-58.4075,320.3-00.3,3.6,PBD 1144
227.49625,-58.321111,320.3-00.2,2,PBD 1145
226.926667,-57.802222,320.3+00.4,0.9,PBD 1146
228.54875,-59.042778,320.4-01.1,7.2,PBD 1147
228.448333,-58.957222,320.4-01.0,5.7,PBD 1148
227.3725,-58.011667,320.4+00.1,4.7,PBD 1149
227.2775,-57.925278,320.4+00.2,2.2,PBD 1150
227.76375,-57.773611,320.7+00.2,9,PBD 1151
228.930833,-58.217778,321.0-00.5,3.5,PBD 1152
229.0925,-58.165278,321.1-00.5,4.2,PBD 1153
228.275417,-56.676667,321.5+01.0,0.4,PBD 1154
231.352917,-59.073611,321.6-01.9,0.4,PBD 1155
230.095417,-58.068611,321.6-00.7,0.9,PBD 1156
228.398333,-56.401944,321.7+01.2,1.4,PBD 1157
229.9075,-57.539444,321.8-00.2,0.4,PBD 1158
228.732083,-55.937778,322.1+01.5,1.3,PBD 1159
229.74125,-56.649444,322.2+00.6,1.2,PBD 1160
231.72125,-58.1025,322.3-01.2,0.9,PBD 1161
230.441667,-56.878889,322.4+00.2,4.4,PBD 1162
230.595417,-56.824444,322.5+00.2,1.8,PBD 1163
231.40625,-57.132222,322.7-00.3,0.4,PBD 1164
232.515,-56.600556,323.5-00.2,0.4,PBD 1165
232.9025,-56.208056,323.9+00.0,0.4,PBD 1166
234.251667,-56.906111,324.1-01.0,6.7,PBD 1167
234.144167,-56.825278,324.1-00.9,1.3,PBD 1168
232.990833,-55.929444,324.1+00.2,4,PBD 1169
233.239583,-55.953889,324.2+00.1,1.3,PBD 1170
233.136667,-55.871944,324.2+00.2,4.4,PBD 1171
234.8825,-56.029444,324.9-00.5,2.2,PBD 1172
235.132917,-56.05,325.0-00.6,6.2,PBD 1173
235.02875,-55.47,325.3-00.1,0.9,PBD 1174
234.507083,-55.067778,325.3+00.4,0.4,PBD 1175
233.61375,-53.838889,325.6+01.7,0.4,PBD 1176
236.360417,-55.145,326.1-00.3,8.1,PBD 1177
238.043333,-56.178889,326.2-01.7,40.4,PBD 1178
235.138333,-54.05,326.2+01.0,8.8,PBD 1179
235.582917,-54.229722,326.3+00.7,12.8,PBD 1180
236.88125,-55.039167,326.4-00.4,8.8,PBD 1181
235.512917,-54.009722,326.4+00.9,0.9,PBD 1182
235.648333,-53.949444,326.5+00.9,0.9,PBD 1183
237.262917,-54.993333,326.6-00.5,8,PBD 1184
236.09375,-54.126944,326.6+00.6,3.3,PBD 1185
237.507917,-55.009167,326.7-00.6,7.1,PBD 1186
237.399167,-54.931111,326.7-00.5,7.1,PBD 1187
236.22875,-54.066111,326.7+00.6,3.3,PBD 1188
237.13125,-54.415278,326.9-00.0,8.9,PBD 1189
237.587917,-54.5875,327.0-00.3,4,PBD 1190
237.48,-54.509444,327.0-00.2,9.3,PBD 1191
237.265417,-54.353056,327.0+00.0,7.8,PBD 1192
238.735833,-55.080556,327.2-01.1,1.8,PBD 1193
238.316667,-54.631111,327.3-00.6,4.9,PBD 1194
238.2075,-54.553889,327.3-00.5,0.9,PBD 1195
237.24125,-53.853333,327.3+00.4,5.3,PBD 1196
236.64375,-53.241667,327.4+01.1,0.4,PBD 1197
238.496667,-54.286111,327.6-00.4,4.6,PBD 1198
238.76,-54.158611,327.8-00.4,4.5,PBD 1199
238.219167,-53.772778,327.8+00.1,9.8,PBD 1200
238.695833,-53.8,328.0-00.1,3.4,PBD 1201
237.246667,-52.572778,328.1+01.4,0.4,PBD 1202
239.502083,-54.054444,328.2-00.6,2.2,PBD 1203
239.631667,-53.989722,328.3-00.6,4.6,PBD 1204
238.548333,-53.223611,328.3+00.4,3,PBD 1205
239.907917,-53.718889,328.6-00.5,3.7,PBD 1206
238.219167,-52.351667,328.7+01.2,0.4,PBD 1207
239.725833,-53.285,328.8-00.1,4.6,PBD 1208
239.6175,-53.208889,328.8-00.0,0.9,PBD 1209
238.974583,-52.750278,328.8+00.6,2.5,PBD 1210
239.33375,-52.698056,329.0+00.5,0.4,PBD 1211
240.032083,-52.731667,329.3+00.2,0.9,PBD 1212
240.265,-52.741944,329.4+00.1,4,PBD 1213
240.28125,-52.600833,329.5+00.2,5.7,PBD 1214
239.959583,-52.373889,329.5+00.5,0.4,PBD 1215
241.115833,-52.421389,330.0-00.0,3.1,PBD 1216
241.920833,-52.518333,330.3-00.4,3.5,PBD 1217
242.404583,-52.248611,330.7-00.4,5.5,PBD 1218
242.524583,-52.180833,330.8-00.4,9.8,PBD 1219
242.644167,-52.112778,330.9-00.4,2.7,PBD 1220
242.5425,-51.898056,331.0-00.2,6,PBD 1221
242.993333,-52.049722,331.1-00.5,3.1,PBD 1222
243.008333,-51.766944,331.3-00.3,3.1,PBD 1223
242.898333,-51.693889,331.3-00.2,2.3,PBD 1224
242.796667,-51.479444,331.4-00.0,3.4,PBD 1225
242.254167,-51.112222,331.4+00.5,6.2,PBD 1226
241.614167,-50.668056,331.4+01.1,4.8,PBD 1227
243.023333,-51.484444,331.5-00.1,3.3,PBD 1228
244.162917,-51.360833,332.1-00.5,4.5,PBD 1229
244.051667,-51.288889,332.1-00.4,3,PBD 1230
244.277917,-51.291389,332.2-00.5,1.1,PBD 1231
244.178333,-50.795278,332.5-00.1,4,PBD 1232
243.959167,-50.651111,332.5+00.1,6.2,PBD 1233
244.959167,-51.013333,332.7-00.6,4.4,PBD 1234
245.97625,-51.508333,332.8-01.4,8.1,PBD 1235
245.072083,-50.943056,332.8-00.6,5.3,PBD 1236
245.074583,-50.660278,333.0-00.4,4.3,PBD 1237
243.766667,-49.799722,333.0+00.8,2.6,PBD 1238
242.505,-48.925278,333.0+02.0,11,PBD 1239
245.186667,-50.589722,333.1-00.4,5.3,PBD 1240
244.855,-50.376389,333.1-00.1,1.8,PBD 1241
244.966667,-50.306111,333.2-00.1,5.6,PBD 1242
245.409583,-50.448611,333.3-00.4,3.6,PBD 1243
245.52,-50.095278,333.6-00.2,1.2,PBD 1244
245.41,-50.024444,333.6-00.1,4.3,PBD 1245
245.9625,-50.235556,333.7-00.5,5.1,PBD 1246
245.845833,-49.458056,334.2+00.1,7,PBD 1247
245.41125,-48.751667,334.5+00.8,5.8,PBD 1248
247.2675,-49.656944,334.7-00.7,1.4,PBD 1249
246.6025,-49.241111,334.7-00.1,4.9,PBD 1250
247.65375,-48.518611,335.7-00.1,4.5,PBD 1251
247.867083,-48.514444,335.8-00.2,4.1,PBD 1252
247.757083,-48.445833,335.8-00.1,4.4,PBD 1253
247.538333,-48.308611,335.8+00.1,10,PBD 1254
247.744167,-48.163056,336.0+00.1,1.8,PBD 1255
247.635417,-48.094444,336.0+00.2,7.1,PBD 1256
248.591667,-48.143056,336.4-00.3,4.8,PBD 1257
248.481667,-48.075278,336.4-00.2,4.8,PBD 1258
248.371667,-48.007222,336.4-00.1,5.4,PBD 1259
250.036667,-48.873611,336.5-01.5,1.3,PBD 1260
248.582917,-48.001667,336.5-00.2,4.2,PBD 1261
248.36375,-47.866111,336.5+00.0,4.7,PBD 1262
249.898333,-48.524722,336.7-01.2,10,PBD 1263
248.456667,-47.651389,336.7+00.1,7,PBD 1264
248.666667,-47.645556,336.8+00.0,8.1,PBD 1265
248.87625,-47.639444,336.9-00.1,4.7,PBD 1266
249.185417,-47.558889,337.1-00.2,3.6,PBD 1267
250.171667,-48.018056,337.2-01.0,2.4,PBD 1268
249.274583,-47.343611,337.3-00.1,4,PBD 1269
249.69125,-47.328611,337.5-00.3,2.6,PBD 1270
249.570417,-47.120833,337.6-00.1,7.2,PBD 1271
249.46125,-47.053889,337.6+00.0,4.6,PBD 1272
249.668333,-47.046389,337.7-00.1,5,PBD 1273
249.559167,-46.979444,337.7-00.0,10,PBD 1274
250.302917,-47.1625,337.9-00.5,1.8,PBD 1275
249.96125,-46.8225,338.0-00.1,7.4,PBD 1276
250.1675,-46.814167,338.1-00.2,4,PBD 1277
250.057917,-46.747778,338.1-00.1,3.1,PBD 1278
249.949167,-46.681389,338.1+00.0,6.2,PBD 1279
250.456667,-46.588889,338.4-00.2,1.9,PBD 1280
250.238333,-46.456944,338.4+00.0,6.6,PBD 1281
250.129583,-46.390556,338.4+00.1,7.7,PBD 1282
250.02125,-46.324167,338.4+00.2,6.2,PBD 1283
249.877917,-45.834167,338.7+00.6,5.6,PBD 1284
250.824167,-46.146667,338.9-00.1,2.4,PBD 1285
250.068333,-45.684722,338.9+00.6,4.1,PBD 1286
251.340833,-46.191667,339.1-00.4,7.6,PBD 1287
251.122083,-46.061111,339.1-00.2,4.8,PBD 1288
250.87625,-45.648056,339.3+00.2,6.5,PBD 1289
250.660417,-45.516667,339.3+00.4,1.9,PBD 1290
251.48125,-45.616667,339.6-00.1,4.9,PBD 1291
251.234167,-45.204444,339.8+00.3,3.6,PBD 1292
252.39625,-45.634167,340.0-00.6,3.2,PBD 1293
252.068333,-45.441389,340.0-00.3,6,PBD 1294
252.05125,-45.300278,340.1-00.2,2.2,PBD 1295
251.388333,-44.770556,340.2+00.5,7.8,PBD 1296
252.234167,-45.147222,340.3-00.2,2.7,PBD 1297
253.561667,-45.271111,340.8-01.0,3.6,PBD 1298
252.758333,-44.545833,341.0-00.1,9.9,PBD 1299
252.955833,-44.5325,341.1-00.2,3.9,PBD 1300
252.8475,-44.468611,341.1-00.1,2.7,PBD 1301
253.153333,-44.518611,341.2-00.3,2.2,PBD 1302
253.242083,-44.441389,341.3-00.3,6.8,PBD 1303
251.35875,-42.645,341.8+01.9,24.8,PBD 1304
253.320417,-43.583056,342.0+00.2,5.5,PBD 1305
253.107083,-43.456111,342.0+00.4,1.3,PBD 1306
253.194167,-43.378889,342.1+00.4,1.3,PBD 1307
253.474583,-43.287222,342.3+00.3,8.4,PBD 1308
253.881667,-43.398333,342.4-00.0,5.9,PBD 1309
253.56125,-43.209722,342.4+00.3,10,PBD 1310
254.91,-43.099722,343.1-00.4,10,PBD 1311
255.102083,-43.082778,343.2-00.5,1.8,PBD 1312
254.84125,-42.678611,343.4-00.1,10.5,PBD 1313
254.81875,-42.538056,343.5-00.0,4.5,PBD 1314
255.795,-42.591111,343.9-00.6,1.4,PBD 1315
256.0425,-42.353056,344.2-00.6,5.5,PBD 1316
255.56625,-41.828611,344.4+00.0,1.4,PBD 1317
256.369583,-42.035,344.6-00.6,23.7,PBD 1318
256.02375,-41.713056,344.7-00.2,0.4,PBD 1319
254.120417,-40.463056,344.8+01.7,14,PBD 1320
254.2025,-40.385,344.9+01.7,5.8,PBD 1321
256.267083,-41.474444,345.0-00.2,4,PBD 1322
254.49,-40.431389,345.0+01.5,10.6,PBD 1323
256.347917,-41.394722,345.1-00.2,10,PBD 1324
257.06875,-41.675833,345.2-00.8,9,PBD 1325
256.961667,-41.615833,345.2-00.7,9,PBD 1326
255.169167,-40.583333,345.2+01.0,1.9,PBD 1327
254.73375,-40.196111,345.3+01.5,4.3,PBD 1328
257.443333,-41.634444,345.4-01.0,8.5,PBD 1329
257.335833,-41.575,345.4-00.9,1.3,PBD 1330
254.9175,-40.179444,345.4+01.4,1.8,PBD 1331
256.246667,-40.834444,345.5+00.2,1.3,PBD 1332
256.141667,-40.773611,345.5+00.3,3,PBD 1333
256.537083,-40.875556,345.6+00.0a,7.8,PBD 1334
256.537083,-40.875556,345.6+00.0b,7.8,PBD 1335
256.69625,-40.715833,345.8+00.0,4.2,PBD 1336
256.93375,-40.476111,346.1-00.0,5.9,PBD 1337
257.1175,-40.455833,346.2-00.1,8.8,PBD 1338
257.2475,-40.155278,346.5+00.0,7.8,PBD 1339
257.1425,-40.095556,346.5+00.1,1.3,PBD 1340
257.789167,-39.592222,347.2+00.0,22,PBD 1341
257.629583,-39.253611,347.4+00.3,6.5,PBD 1342
257.886667,-39.151389,347.6+00.2,4.6,PBD 1343
259.329167,-39.83,347.7-01.1,1.1,PBD 1344
259.404167,-39.748333,347.8-01.1,10,PBD 1345
258.740833,-39.260833,347.9-00.4,0.9,PBD 1346
258.3225,-39.026944,347.9+00.0,3.3,PBD 1347
258.218333,-38.968056,347.9+00.1,5,PBD 1348
258.920833,-39.237778,348.0-00.5,0.4,PBD 1349
258.815833,-39.179722,348.0-00.4,1.3,PBD 1350
259.5975,-39.363889,348.2-01.0,1.3,PBD 1351
258.03,-38.49,348.2+00.5,5,PBD 1352
259.472917,-38.806667,348.6-00.6,11.8,PBD 1353
259.9675,-38.954722,348.7-01.0,2.9,PBD 1354
259.025417,-38.435833,348.7-00.1,4.3,PBD 1355
259.216667,-38.051944,349.1+00.0,6,PBD 1356
259.113333,-37.993889,349.1+00.1,4.2,PBD 1357
258.484583,-37.144444,349.5+01.0,1.3,PBD 1358
258.382917,-37.085833,349.5+01.1,2.3,PBD 1359
260.349167,-37.823056,349.8-00.6,5.1,PBD 1360
260.245417,-37.766111,349.8-00.5,3.5,PBD 1361
261.68125,-38.416389,349.9-01.8,19.3,PBD 1362
260.182083,-37.487778,350.0-00.3,7,PBD 1363
259.84125,-37.176944,350.1+00.1,2.9,PBD 1364
259.985,-37.013056,350.3+00.1,4.9,PBD 1365
259.210833,-36.331389,350.5+01.0,4.7,PBD 1366
259.38375,-36.307778,350.6+00.9,4.9,PBD 1367
259.282917,-36.25,350.6+01.0,10.9,PBD 1368
260.681667,-36.911944,350.7-00.3,4.9,PBD 1369
260.546667,-36.716111,350.8-00.1,0.9,PBD 1370
260.44375,-36.659444,350.8-00.0,1.3,PBD 1371
261.1325,-36.916111,350.9-00.6,8,PBD 1372
261.2025,-36.833611,351.0-00.6,9,PBD 1373
261.099583,-36.777222,351.0-00.5,10,PBD 1374
259.871667,-36.095556,351.0+00.7,6.9,PBD 1375
260.21625,-36.045833,351.2+00.5,4.6,PBD 1376
260.592083,-36.134167,351.3+00.2,0.9,PBD 1377
260.255833,-35.824722,351.4+00.6,8.8,PBD 1378
260.154583,-35.7675,351.4+00.7,8.2,PBD 1379
261.44875,-36.363611,351.5-00.5,3.7,PBD 1380
262.345833,-36.725278,351.6-01.3,3.1,PBD 1381
262.241667,-36.67,351.6-01.2,5.2,PBD 1382
261.312917,-36.168611,351.6-00.3,1,PBD 1383
260.802083,-35.886944,351.6+00.2,4.2,PBD 1384
262.310833,-36.586667,351.7-01.2,7.3,PBD 1385
260.567083,-35.634722,351.7+00.5,3.5,PBD 1386
261.592083,-35.476667,352.3-00.1,0.7,PBD 1387
261.49,-35.420833,352.3-00.0,7.1,PBD 1388
261.660417,-35.393611,352.4-00.1,7,PBD 1389
259.524167,-34.063889,352.5+02.1,5.9,PBD 1390
261.89875,-35.283333,352.6-00.2,1.2,PBD 1391
261.797083,-35.2275,352.6-00.1,9.5,PBD 1392
261.594167,-35.116111,352.6+00.1,0.7,PBD 1393
261.662083,-35.033056,352.7+00.1,4.6,PBD 1394
260.624583,-34.331944,352.8+01.2,7,PBD 1395
260.524583,-34.275,352.8+01.3,10,PBD 1396
262.1025,-35.033889,352.9-00.2,5,PBD 1397
261.06125,-34.336111,353.0+00.9,6,PBD 1398
261.731667,-34.589444,353.1+00.3,7.3,PBD 1399
261.630833,-34.533889,353.1+00.4,9.8,PBD 1400
261.43,-34.421944,353.1+00.6,12,PBD 1401
261.329583,-34.365833,353.1+00.7,12.5,PBD 1402
261.3975,-34.283056,353.2+00.7,10.9,PBD 1403
261.197083,-34.170833,353.2+00.9,4.7,PBD 1404
262.6425,-34.7275,353.4-00.4,5,PBD 1405
262.337917,-34.561944,353.4-00.1,7,PBD 1406
261.733333,-34.228889,353.4+00.5,2.4,PBD 1407
262.304167,-34.423333,353.5-00.0,2.2,PBD 1408
262.472083,-34.395278,353.6-00.1,5,PBD 1409
262.370833,-34.34,353.6-00.0,6.8,PBD 1410
262.870417,-33.894167,354.2-00.1,2.7,PBD 1411
262.77,-33.839167,354.2-00.0,3.7,PBD 1412
263.370417,-33.806667,354.5-00.4,17,PBD 1413
262.867083,-33.533611,354.5+00.1,2.7,PBD 1414
262.898333,-33.311389,354.7+00.2,3.3,PBD 1415
262.798333,-33.256667,354.7+00.3,0.5,PBD 1416
262.59875,-33.146667,354.7+00.5,4.2,PBD 1417
262.929167,-33.089444,354.9+00.3,1,PBD 1418
263.324583,-32.947222,355.2+00.1,8.4,PBD 1419
263.389167,-32.863333,355.3+00.1,8.4,PBD 1420
263.582917,-32.611389,355.6+00.1,0.4,PBD 1421
263.38375,-32.502778,355.6+00.3,0.9,PBD 1422
263.747083,-32.581667,355.7-00.0,0.9,PBD 1423
263.372917,-31.781667,356.2+00.7,2.6,PBD 1424
264.329583,-32.183889,356.3-00.2,3,PBD 1425
264.22125,-31.769722,356.6+00.1,4.6,PBD 1426
264.122083,-31.715833,356.6+00.2,0.9,PBD 1427
266.27875,-31.800556,357.5-01.4,7.8,PBD 1428
265.390833,-30.745,358.0-00.2,1.5,PBD 1429
267.226667,-31.238056,358.4-01.8,10,PBD 1430
265.659583,-30.1825,358.6-00.1,1.7,PBD 1431
265.804167,-29.789722,359.0-00.0,19.4,PBD 1432
266.750833,-30.174167,359.1-00.9,10.9,PBD 1433
265.925,-29.619444,359.2-00.0,4.1,PBD 1434
266.771667,-29.951389,359.3-00.8,1.8,PBD 1435
266.279583,-29.691111,359.3-00.3,1.6,PBD 1436
266.143333,-29.501389,359.4-00.1,6.3,PBD 1437
266.203333,-29.416111,359.5-00.1,6.2,PBD 1438
266.459167,-29.435278,359.6-00.3,5.4,PBD 1439
266.617083,-29.401667,359.7-00.4,2.4,PBD 1440
266.4425,-29.075,359.9-00.1,3.7,PBD 1441
266.345,-29.022778,359.9-00.0,4.2,PBD 1442
