N,id,alpha,delta,magU,magB,magV,magR,magI,Spectral_type,diameter,minAxis,posAngle,axisRatio,Notes,Common name,Other name
1452,FP J1556-4955,239.1383,-49.9208,,,,,,,12.83,11.67,0,1.09940017137961,,,
1453,PN G332.0+04.2,239.1508,-47.8947,,,,,,,0.28,0.22,0,1.27272727272727,,,
1454,PN G329.7+01.4,239.2808,-51.4669,,,,,,,0.98,0.87,0,1.1264367816092,,,
1455,PN G333.0+05.0,239.5608,-46.6283,,,,,,,0.43,0.42,0,1.02380952380952,,,
1456,PN G336.3+08.0,240.2579,-42.15,,,,,,,0.17,0.15,0,1.13333333333333,,,
1457,PN G326.5-03.4,240.6146,-57.2356,,,,,,,0.4,0.33,0,1.21212121212121,,,
1458,PN G331.3+01.6,240.9738,-50.2811,,,,,,,0.28,0.22,0,1.27272727272727,,,
1459,PN G334.3+04.2,241.7721,-46.3322,,,,,,,0.23,0.22,0,1.04545454545455,,,
1460,PN G338.8+07.8,242.8779,-40.6428,,,,,,,0.45,0.45,0,1,,,
1461,PN G329.6-02.7,243.8346,-54.6233,,,,,,,0.35,0.23,0,1.52173913043478,,,
1462,PN G329.8-02.8,244.1183,-54.6328,,,,,,,0.33,0.32,0,1.03125,,,
1463,PN G329.8-03.0,244.3325,-54.7533,,,,,,,0.32,0.27,0,1.18518518518519,,,
1464,PN G346.5+13.5,244.62596609949,-31.3309669889,,,,,,,0.23,0.18,0,1.27777777777778,,,
1465,PN G334.0+00.7,244.9587,-49.1144,,,,,,,0.8,0.78,0,1.02564102564103,,,
1466,PN G340.2+06.4,245.4325,-40.6733,,,,,,,0.13,0.13,0,1,,,
1467,PN G338.9+04.6,246.0004,-42.8794,,,,,,,0.78,0.57,0,1.36842105263158,,,
1468,PHR J1625-4522,246.4619072756,-45.37746889467,,,,,,,5.5,5,0,1.1,,,
1469,PN G332.5-02.2,246.6008,-52.2828,,,,,,,1.63,1.33,0,1.22556390977444,,,
1470,PN G339.2+03.9,246.9217,-43.1508,,,,,,,0.22,0.22,0,1,,,
1471,PN G338.0+02.4,247.2708,-45.0958,,,,,,,1.15,1.12,0,1.02678571428571,"Error in 2006MNRAS.373...79P and V/127A/mash1, min > max, error propagated from MASH to Vizier to SIMBAD to HASH (in that order) (see http://202.189.117.101:8999/gpne/objectInfoPage.php?id=2990), switched min/max for now.",PHR J1629-4505,
1472,PN G337.3+00.6,248.4917,-46.8353,,,,,,,0.4,0.13,0,3.07692307692308,,,
1473,PN G332.0-04.3,248.5854,-54.0844,,,,,,,0.4,0.35,0,1.14285714285714,,,
1474,PN G337.6+00.7,248.7133,-46.4744,,,,,,,0.37,0.28,0,1.32142857142857,,,
1475,PHR J1635-4654,248.9662,-46.9028,,,,,,,1.28,0.57,0,2.24561403508772,,,
1476,PN G327.1-09.2,249.4246,-60.9833,,,,,,,0.32,0.28,0,1.14285714285714,,,
1477,PHR J1637-4957,249.4371,-49.9639,,,,,,,0.38,0.27,0,1.40740740740741,,,
1478,PKP J1638-3731,249.6915,-37.52831,,,,,,,0.16,0.13,0,1.23076923076923,,,
1479,PHR J1639-4516,249.8429,-45.2764,,,,,,,0.63,0.42,0,1.5,,,
1480,PN G341.7+02.6,250.5775,-42.2458,,,,,,,0.17,0.17,0,1,,,
1481,PN G332.1-05.8,250.7326569186,-55.03106649607,,,,,,,0.77,0.77,0,1,,,
1482,PN G332.5-05.6,250.8821,-54.5433,,,,,,,1.57,1.13,0,1.38938053097345,,,
1483,PN G349.3+07.4,252.18729,-33.31569,,,,,,,0.22,0.2,0,1.1,,,
1484,PHR J1651-3148,252.9446,-31.8058,,,,,,,2.68,2.57,0,1.04280155642023,,,
1485,PN G343.5+01.2,253.4804,-41.7333,,,,,,,0.25,0.18,0,1.38888888888889,,,
1486,PN G349.7+06.2,253.5342,-33.7328,,,,,,,0.14,0.12,0,1.16666666666667,,,
1487,PN G334.2-06.2,253.6042,-53.6456,,,,,,,0.47,0.45,0,1.04444444444444,,,
1488,PN G345.8+02.7,253.96668031993,-39.00597812624,,,,,,,0.2,0.13,0,1.53846153846154,,,
1489,PN G346.5+02.7,254.4367,-38.4464,,,,,,,0.14,0.12,0,1.16666666666667,,,
1490,PN G337.8-04.1,254.4983,-49.5575,,,,,,,1.13,1.02,0,1.1078431372549,,,
1491,PN G339.4-03.7,255.45508,-48.06406,,,,,,,0.63,0.6,0,1.05,,,
1492,PHR J1702-4443,255.5179,-44.7222,,,,,,,1.5,1.05,0,1.42857142857143,,,
1493,PHR J1702-4943,255.675,-49.7225,,,,,,,0.78,0.77,0,1.01298701298701,,,
1494,PHR J1702-3219,255.6796,-32.3192,,,,,,,0.85,0.8,0,1.0625,,,
1495,PN G347.4+01.8,256.07,-38.3319,,,,,,,0.44,0.33,0,1.33333333333333,,,
1496,PN G347.4+01.6,256.2463,-38.4011,,,,,,,0.17,0.1,0,1.7,,,
1497,PN G347.9+01.9,256.36313,-37.814,,,,,,,0.16,0.15,0,1.06666666666667,,,
1498,FP J1705-5415,256.4121,-54.2553,,,,,,,14.33,14.17,0,1.01129146083275,,,
1499,PN G349.9+03.2,256.6021,-35.4772,,,,,,,0.17,0.17,0,1,,,
1500,PN G343.9-01.6,256.98812591729,-43.15160885523,,,,,,,0.27,0.17,0,1.58823529411765,,,
1501,PN G347.0+00.3,257.295,-39.5183,,,,,,,0.85,0.22,0,3.86363636363636,,,
1502,PN G351.9+03.9,257.3408,-33.4631,,,,,,,0.35,0.33,0,1.06060606060606,,,
1503,PHR J1709-3629,257.3883,-36.4919,,,,,,,1.75,1.73,0,1.01156069364162,,,
1504,PN G348.7+01.3,257.5512,-37.5475,,,,,,,1.17,1.07,0,1.09345794392523,,,
1505,PN G351.1+03.1,257.58225632134,-34.57682192117,,,,,,,0.25,0.22,0,1.13636363636364,,,
1506,PN G355.0+05.8,257.7,-29.7775,,,,,,,0.35,0.27,0,1.2962962962963,,,
1507,PHR J1711-3210,257.9780676098,-32.17482015493,,,,,,,0.25,0.2,0,1.25,,,
1508,PHR J1712-3114,258.0421,-31.2444,,,,,,,0.78,0.75,0,1.04,,,
1509,PN G351.1+02.6,258.0792,-34.8686,,,,,,,0.13,0.13,0,1,,,
1510,PN G354.5+04.8,258.2246,-30.8311,,,,,,,0.5,0.37,0,1.35135135135135,,,
1511,PN G355.3+05.2,258.3954,-29.9608,,,,,,,0.6,0.58,0,1.03448275862069,,,
1512,PN G347.2-00.8,258.70497748326,-40.10204641885,,,,,,,0.33,0.18,0,1.83333333333333,,,
1513,PN G352.8+03.0,258.7933,-33.23,,,,,,,0.12,0.1,0,1.2,,,
1514,PN G339.4-06.5,258.8596,-49.6542,,,,,,,0.48,0.27,0,1.77777777777778,,,
1515,PN G356.2+05.3,258.9421,-29.0844,,,,,,,0.37,0.33,0,1.12121212121212,,,
1516,PN G353.9+03.6,258.9512,-31.9894,,,,,,,0.23,0.22,0,1.04545454545455,,,
1517,PN G352.2+02.4,258.9917,-34.1119,,,,,,,0.28,0.18,0,1.55555555555556,,,
1518,PN G355.5+04.7,259.01737,-30.03739,,,,,,,0.25,0.24,0,1.04166666666667,,,
1519,PN G357.3+05.7,259.2563,-27.9919,,,,,,,0.33,0.2,0,1.65,,,
1520,PN G355.6+04.1,259.655,-30.3236,,,,,,,0.68,0.57,0,1.19298245614035,,,
1521,PN G000.3+07.3,259.6783,-24.6903,,,,,,,0.38,0.35,0,1.08571428571429,,,
1522,PN G353.2+02.4,259.6871,-33.2567,,,,,,,0.13,0.13,0,1,,,
