id,alpha,delta,diameter,long name
Mel 156,254.781034634992,-52.7054855378282,6,Melotte 156
Mel 157,254.293518320097,-4.10690586969884,10,Melotte 157
Mel 158,255.184375233163,-44.6675747201064,15,Melotte 158
Mel 159,255.280267676464,-29.2322598820567,8,Melotte 159
Mel 160,255.645288642884,-26.2620052007089,5,Melotte 160
Mel 161,256.199120383377,-37.8908671883043,9,Melotte 161
Mel 162,256.128566425011,-24.7573858285456,1.5,Melotte 162
Mel 163,256.280740635335,-22.7058453386767,1.5,Melotte 163
Mel 164,257.551143111917,-26.5607403418186,2.5,Melotte 164
Mel 165,258.637542180954,-29.4506135114584,1.5,Melotte 165
Mel 166,259.429064088258,-39.4437623068629,5,Melotte 166
Mel 167,259.78850862952,-18.5223888694274,3,Melotte 167
Mel 168,259.292832974935,43.1429004462918,8,Melotte 168
Mel 169,261.157124097943,-49.9282300280974,14,Melotte 169
Mel 170,261.348558596938,-48.4095675012865,2,Melotte 170
Mel 171,260.906687034592,-17.811665844181,1.5,Melotte 171
Mel 172,262.954520251728,-67.0474288818697,10,Melotte 172
Mel 173,261.929296944989,-5.06790511286148,6,Melotte 173
Mel 174,264.078069275247,-44.7329699902237,3,Melotte 174
Mel 175,264.411976955074,-3.24389907284522,6,Melotte 175
Mel 176,265.158561032279,-53.6735287774913,18,Melotte 176
Mel 177,264.87193373858,-36.9413312205327,6,Melotte 177
Mel 178,265.004488932956,-32.2063878685352,25,Melotte 178
Mel 179,266.575156519767,5.71079647359329,60,Melotte 179
Mel 180,267.550345485098,-37.0487345741177,1.5,Melotte 180
Mel 181,267.679510404592,-30.213679804335,6,Melotte 181
Mel 182,268.234396421821,-22.3411613664689,12,Melotte 182
Mel 183,268.492545341547,-34.8060941334277,60,Melotte 183
Mel 184,269.222658131498,-19.0147155378129,25,Melotte 184
Mel 185,269.773085572356,-44.2444122679353,1.5,Melotte 185
Mel 186,270.152388363044,2.92873065842599,406.2,Melotte 186
Mel 187,270.8507482644,-27.8993970110055,5,Melotte 187
Mel 188,271.161536481937,-22.4960623933219,10,Melotte 188
Mel 189,270.952968541084,0.303052919210148,0.75,Melotte 189
Mel 190,271.205007195828,-7.57820770934104,0,Melotte 190
Mel 191,272.013502193618,-43.7225895678721,7,Melotte 191
Mel 192,271.840666323781,-25.0062710923358,1,Melotte 192
Mel 193,272.351511620009,-25.9180267979433,1.5,Melotte 193
Mel 194,272.575680031482,-31.76621087552,0.75,Melotte 194
Mel 195,273.426325678901,-31.8246186074928,1.5,Melotte 195
Mel 196,274.648239204555,-52.2145688799717,2,Melotte 196
Mel 197,274.616057223092,-18.4122925811452,4,Melotte 197
Mel 198,274.717316767346,-13.7777400340751,25,Melotte 198
Mel 199,275.930990748253,-30.3502320865249,2,Melotte 199
Mel 200,276.138150411361,-24.8645642595189,5,Melotte 200
Mel 201,276.892537992712,6.56095162823311,20,Melotte 201
Mel 202,277.831430656923,-32.348654399581,2,Melotte 202
Mel 203,277.971104580832,-23.4634405935182,1,Melotte 203
Mel 204,277.924186217565,-19.2469995605457,40,Melotte 204
Mel 205,278.1489958846,-16.8947105200554,10,Melotte 205
Mel 206,278.357485184198,-10.392380469418,8,Melotte 206
Mel 207,278.939296162533,-32.9880179395517,1,Melotte 207
Mel 208,279.100561388058,-23.9025852093245,20,Melotte 208
Mel 209,279.185840734295,-8.21763854589643,18,Melotte 209
Mel 210,279.72882279434,5.45487795560776,45,Melotte 210
Mel 211,280.803082892488,-32.2867413405375,2.5,Melotte 211
Mel 212,281.321982597465,-9.39722043392297,9,Melotte 212
Mel 213,282.766254535024,-6.26664580589051,10,Melotte 213
Mel 214,282.882095999677,10.3518766544009,12,Melotte 214
Mel 215,283.264772335164,-8.71202411350792,2.5,Melotte 215
Mel 216,283.776033936263,-30.4749638391739,3,Melotte 216
Mel 217,284.883578759364,-36.6315530096949,8,Melotte 217
Mel 218,287.707303856617,-59.9742009679266,18,Melotte 218
Mel 219,287.79708829126,1.03097329459079,1,Melotte 219
Mel 220,289.150221342016,30.1781859776788,1.5,Melotte 220
Mel 221,295.011694134082,-30.9382230708495,14,Melotte 221
Mel 222,294.546570971988,46.5613508093344,15,Melotte 222
Mel 223,295.331098291369,40.1844701732541,6,Melotte 223
Mel 224,297.771137675495,23.0881698951021,8,Melotte 224
Mel 225,298.05409444229,29.4075645627502,4,Melotte 225
Mel 226,298.439804781553,18.7770780694008,4,Melotte 226
Mel 227,303.577349210275,-79.3075874465306,67.7,Melotte 227
Mel 228,301.524740395009,-21.9149572652961,2,Melotte 228
Mel 229,300.945040591125,43.9995657865227,6,Melotte 229
