alpha,delta,id,diameter,minAxis,posAngle,Dist kpc,Size pc,axisRatio
313.36911,60.220135,PGCC G97.19+9.87,8.40835,5.17442,1.30822,,,0.615
88.74811611,5.78470306,PGCC G201.20-9.78,,,,0.415,,
267.00482194,-43.70024889,PGCC G347.54-8.00,7.27569,5.73236,1.16136,0.35,0.657504,0.788
111.03132611,-25.82036194,PGCC G239.52-4.86,5.88134,5.56452,1.03002,-1.29,,0.946
83.487915,37.40760389,PGCC G171.53+2.44,8.61045,3.83774,-0.909179,,,0.446
252.03398111,-11.02231306,PGCC G7.57+21.13,12.1686,3.88591,0.702013,0.12,0.240035,0.319
65.20909889,27.05289806,PGCC G170.14-16.07,12.3768,5.24024,0.455046,0.23,0.538808,0.423
258.82675194,-1.71063889,PGCC G19.85+20.41,6.68206,5.01027,0.660168,,,0.750
315.20858806,77.16707611,PGCC G111.43+19.81,9.8434,4.70761,1.00659,0.398107,0.788314,0.478
251.43183889,-21.31437694,PGCC G358.50+15.46,7.55245,4.20927,0.315931,0.12,0.196814,0.557
266.68350194,-28.53221111,PGCC G0.47+0.00,7.10882,5.71106,-1.53892,7.4,13.7156,0.803
314.57357806,78.65718111,PGCC G112.62+20.80,11.7487,3.79408,0.238089,,,0.323
14.34878306,56.41243,PGCC G123.76-6.45,8.5669,4.00008,-0.763407,,,0.467
249.38217194,-35.236465,PGCC G346.39+7.93,5.95943,4.38484,0.844337,-0.66,,0.736
248.03747611,-24.98780306,PGCC G353.50+15.55,8.24575,5.46843,1.25263,0.12,0.234398,0.663
36.48005694,75.45369694,PGCC G128.88+13.68,11.3156,5.24997,-1.39625,0.214783,0.481554,0.464
65.32292194,26.99092111,PGCC G170.26-16.04,18.7651,4.65027,0.28258,0.23,0.624986,0.248
90.16498611,31.669235,PGCC G179.29+4.18,5.80842,5.19364,-1.3067,,,0.894
195.75776694,-75.0196,PGCC G303.70-12.17,7.33324,4.16396,0.541145,,,0.568
141.35902389,-46.544865,PGCC G270.32+2.87,8.048,6.21676,-0.030382,0.76,1.56375,0.772
120.25598111,-39.55166194,PGCC G255.33-4.89,8.44028,5.61565,-0.538193,0.8,1.60212,0.665
306.27075194,34.81664306,PGCC G74.02-1.72,10.1589,4.2841,0.756212,2.59,4.97025,0.422
167.060165,-77.33567,PGCC G297.25-15.62,5.86858,4.80356,0.776632,0.17,0.262557,0.819
97.6763,12.033565,PGCC G199.88+0.94,6.56418,4.75645,-0.696696,,,0.725
97.04087111,-10.08628194,PGCC G219.36-9.71,6.19913,4.9703,-0.593848,0.905,,0.802
263.54293806,-40.42603306,PGCC G349.01-4.10,6.33402,5.3568,-0.356335,,,0.846
65.76107806,41.85225306,PGCC G159.58-5.49,6.82917,6.4053,-0.284856,0.14,0.269345,0.938
65.22529611,20.43028306,PGCC G175.33-20.49,7.04403,4.32407,-0.355868,,,0.614
113.05512194,-50.76993889,PGCC G262.88-14.69,7.12896,4.10568,-1.35517,,,0.576
40.01995806,70.68475306,PGCC G131.74+9.69,7.73183,6.19989,-0.89461,1.07,2.15498,0.802
87.92919889,-9.276525,PGCC G214.59-17.45,,,,0.415,,
279.48208611,-1.63171,PGCC G29.94+2.26,6.53354,5.29977,0.735002,0.26,0.445044,0.811
336.085175,75.07975,PGCC G113.75+14.90,6.22466,4.44653,-0.122502,,,0.714
254.34385694,-22.834585,PGCC G358.94+12.39,9.14723,4.98889,0.03468,0.12,0.235806,0.545
86.77310194,20.99934611,PGCC G186.96-3.83,9.0153,4.46956,-0.384296,0.75,1.38487,0.496
192.93829306,-77.14694194,PGCC G302.95-14.28,4.6357,4.37243,1.48872,0.17,0.222636,0.943
