alpha,delta,MWSC Id,id,diameter
062.70750,+46.86800,0348,Juchert 20,13.2
063.09450,+48.72800,0350,FSR 0674,15.6
063.28500,-70.46500,0351,NGC 1557,26.4
063.63750,+28.49000,0352,LDN 1495W,66
063.84750,+51.19000,0353,NGC 1528,54
064.20750,+41.07500,0355,SAI 36,8.4
064.49250,+26.21100,0357,FSR 0765,20.4
064.55400,+38.14500,0358,FSR 0709,16.8
064.65750,+52.86000,0359,Waterloo 1,15.6
064.67250,+41.52600,0360,FSR 0697,13.8
064.74000,+58.25000,0362,IC 361,26.4
064.93800,+53.17500,0365,Mayer 2,9
065.11500,+44.91500,0368,Berkeley 11,19.8
065.29500,+50.25200,0369,NGC 1545,15.6
065.33250,+36.92000,0371,NGC 1548,15.6
065.42550,+27.23500,0372,FSR 0762,15
065.61750,+51.85500,0373,FSR 0671,12
065.87250,+33.55500,0374,FSR 0741,12
066.05400,+29.71500,0375,FSR 0756,12.6
066.46500,+46.09500,0378,FSR 0686,21.6
066.72900,+73.38000,0380,FSR 0606,13.2
066.95700,+30.94500,0381,Czernik 18,16.8
066.80550,+25.96500,0382,B 217,24
067.41600,+26.00500,0383,FSR 0773,10.8
067.47000,+38.50000,0384,FSR 0728,19.2
067.54650,+35.27900,0385,NGC 1579,50.4
067.87500,+43.79000,0388,NGC 1582,49.2
068.64750,+21.67500,0393,FSR 0804,16.2
068.73000,+45.27500,0394,NGC 1605,13.8
069.45000,+71.47000,0395,Platais 3,270
068.85750,-65.74000,0396,NGC 1641,31.2
068.90700,+36.09800,0397,FSR 0740,22.8
069.09000,+51.18000,0399,IRAS 04324+5106,16.2
069.13500,+22.03500,0400,FSR 0805,14.4
069.45000,+50.77500,0404,Berkeley 67,18.6
069.93000,+29.74500,0407,FSR 0768,15.6
070.15800,+50.45100,0408,NGC 1624,12
070.69500,+41.91700,0410,FSR 0714,13.2
071.06100,+41.80300,0411,FSR 0719,11.4
071.11500,+42.10000,0412,Berkeley 68,19.8
071.10750,+42.69000,0413,Berkeley 12,20.4
071.19450,+41.50500,0414,FSR 0723,13.2
071.29500,+39.76000,0415,FSR 0733,13.2
071.49750,+19.17000,0416,NGC 1647,90
071.53500,+42.13000,0417,FSR 0717,9.6
071.52450,+31.38200,0418,Palomar 2,13.8
071.56500,+55.25500,0419,Alessi 2,40.2
071.55900,+41.97600,0420,FSR 0721,16.8
071.63700,+44.73900,0421,Ruprecht 148,9.6
071.91000,+31.55000,0424,FSR 0767,19.8
072.11250,+10.92500,0425,NGC 1662,58.2
072.31500,+13.17000,0426,NGC 1663,34.2
072.48150,+41.71900,0427,ASCC 12,26.4
072.64650,+38.13400,0429,FSR 0742,9.6
072.80850,+43.66000,0430,NGC 1664,37.2
072.88800,+45.73500,0431,FSR 0702,8.4
073.09500,+35.95000,0432,FSR 0750,15.6
073.50450,+40.84000,0433,FSR 0735,15.6
073.50000,+20.25500,0434,FSR 0837,18
073.77750,+65.55500,0437,FSR 0643,14.4
073.93200,+36.78300,0438,Teutsch 5,20.4
073.94250,+52.81500,0439,Berkeley 13,12
074.27700,+28.78100,0441,Czernik 19,22.8
074.53800,+43.00700,0442,Skiff J0458+43.0,18
074.85450,+23.80400,0446,FSR 0820,13.8
074.86500,+37.96500,0447,FSR 0744,18.6
074.94600,+43.48500,0448,Berkeley 14,19.8
075.15750,+43.56500,0449,Berkeley 14A,55.2
075.29250,+35.79300,0451,FSR 0759,13.8
075.46500,+44.13000,0452,FSR 0722,13.8
075.52800,+44.51200,0453,Berkeley 15,16.2
075.54000,+36.76600,0454,FSR 0753,16.8
075.66750,+42.54000,0455,FSR 0732,14.4
075.73500,+50.10000,0456,FSR 0690,16.8
075.83250,+42.39000,0457,FSR 0734,15.6
075.85950,+52.86500,0458,NGC 1708,28.8
075.84750,+49.49000,0459,NGC 1724,15.6
075.94500,+32.16500,0460,FSR 0771,16.8
076.14000,+23.83000,0461,NGC 1746,72
076.58550,+21.52700,0464,FSR 0841,16.8
076.58250,+39.16500,0465,Bica 6,16.8
076.71750,+22.57300,0467,Platais 4,79.2
076.81500,+38.41000,0469,SAI 41,10.2
076.79850,+30.85000,0470,Skiff J0507+30.8,12
077.05050,+27.53500,0471,FSR 0809,19.2
076.99500,+37.02800,0472,NGC 1778,20.4
077.06700,+49.87300,0473,SAI 43,10.8
077.10000,+39.08000,0474,King 17,15
077.16000,+53.22000,0475,FSR 0683,12.6
077.41500,+08.59500,0476,FSR 0920,24
077.48250,+38.81500,0477,Teutsch 132,9
077.52750,+24.18000,0478,NGC 1802,22.8
077.70300,+16.52200,0479,NGC 1807,21.6
077.74200,+30.20500,0480,FSR 0796,13.2
077.78700,+45.71500,0482,FSR 0716,13.8
077.91000,+47.69500,0483,NGC 1798,18.6
078.08250,+16.68000,0484,NGC 1817,31.2
078.45000,+44.59500,0486,ASCC 13,81.6
078.36300,+37.43800,0487,IRAS 05100+3723,14.4
078.39600,+09.68000,0488,FSR 0914,16.8
078.53250,-40.04300,0489,NGC 1851,27
078.66000,+19.81500,0490,FSR 0851,21.6
078.64950,+32.66000,0491,Dolidze 16,18
078.85500,+58.20500,0492,FSR 0670,18
078.99000,-45.24000,0493,ESO 252-14,14.4
079.01550,+47.61300,0494,FSR 0707,13.8
079.14750,+45.60500,0495,Patchick 3,19.8
079.38000,+04.41800,0497,FSR 0966,13.2
079.55700,+37.55700,0499,BDSB 68,12
079.56000,-68.44000,0500,NGC 1901,40.2
079.60500,+70.89500,0501,FSR 0630,16.8
079.67250,+37.63000,0502,Kronberger 18,13.8
079.64250,+19.12000,0503,FSR 0857,15
079.91250,+36.50000,0504,SAI 46,9
080.01450,+39.29000,0505,NGC 1857,19.8
080.02500,-26.03300,0506,ESO 486-54,12
080.10000,+35.18000,0507,ASCC 14,21
080.11500,+39.54000,0508,Czernik 20,30
080.15550,+30.59000,0509,Berkeley 17,26.4
080.60250,+45.40500,0512,Berkeley 18,33
080.63250,+07.16000,0513,Dolidze 17,17.4
080.61750,+36.56500,0514,ASCC 15,19.8
080.70750,+33.43000,0516,NGC 1893,33.6
080.57700,+41.02500,0518,Collinder 62,28.2
080.81700,+18.74600,0521,FSR 0861,15
080.92800,+08.16000,0524,Dolidze 19,15
080.97000,+11.49000,0525,Dol-Dzim 2,19.2
080.98500,+42.32300,0526,SAI 47,15
081.00300,+29.56700,0527,Berkeley 19,10.8
081.04650,-24.52000,0528,NGC 1904,24.6
081.05550,+33.47700,0529,SAI 48,15
081.11250,+05.47600,0530,FSR 0964,19.2
081.03750,+01.64000,0531,ASCC 16,79.2
081.09750,+32.60800,0532,Berkeley 69,24.6
081.23250,+18.31000,0533,FSR 0868,16.8
081.33000,+30.18200,0534,ASCC 17,23.4
081.38400,+11.59300,0535,FSR 0913,22.8
081.42450,+34.95700,0536,FSR 0775,16.8
081.41400,+29.26000,0537,NGC 1896,15
081.44100,+41.93000,0538,Berkeley 70,18.6
081.46950,+46.49000,0539,NGC 1883,18
081.52500,+15.67000,0540,Collinder 65,180
081.56250,+00.90000,0541,ASCC 18,52.8
081.60750,+50.79000,0542,SAI 49,16.2
081.68250,+36.01500,0543,Czernik 21,30
081.50250,+06.33000,0544,Mamajek 3,264
081.88350,+07.07500,0545,Dolidze 21,20.4
081.90450,+34.74800,0546,FSR 0777,15.6
081.92250,-01.96500,0547,ASCC 19,62.4
081.93750,+33.78500,0548,Dolidze 20,15
082.00050,+16.91500,0550,FSR 0882,24
082.00800,+40.35200,0551,Waterloo 2,22.8
082.02000,+35.32500,0552,NGC 1907,25.2
082.03500,+34.42400,0553,Stock 8,33.6
082.08750,+34.78500,0555,Kronberger 1,12
082.18950,+01.64000,0556,ASCC 20,87
082.21500,+35.80000,0557,NGC 1912,46.8
082.26000,+03.56000,0558,ASCC 21,102
082.28100,+44.77000,0559,FSR 0736,16.8
082.36950,+13.36000,0560,FSR 0907,13.8
082.56000,+38.20700,0561,Teutsch 52,12.6
082.84500,+34.23300,0564,NGC 1931,19.2
083.02800,+41.61800,0566,FSR 0749,14.4
083.02950,-03.03500,0567,FSR 1017,10.2
082.98750,+12.41000,0568,B 30,38.4
083.04000,-36.38000,0569,NGC 1963,20.4
083.08050,+17.17800,0570,FSR 0884,23.4
083.10750,+00.53000,0571,FSR 0991,18
083.15400,+00.18300,0572,Berkeley 20,17.4
083.34000,+39.83300,0574,FSR 0761,19.8
083.39250,+26.46900,0575,Dol-Dzim 3,7.2
083.59650,+25.56300,0576,FSR 0842,15.6
083.74650,+17.26800,0578,FSR 0886,18
083.77500,-04.42000,0579,NGC 1981,26.4
083.83500,+09.83000,0580,Collinder 69,64.2
083.82750,-05.36000,0582,NGC 1976,52.2
083.86500,-05.91500,0586,NGC 1980,27.6
083.88750,-04.83000,0587,NGC 1977,28.2
083.94750,-00.88000,0591,Collinder 70,105.6
083.95950,+25.95000,0592,Dol-Dzim 4,18.6
084.07800,-03.28000,0593,FSR 1027,19.8
084.08250,+34.15800,0594,NGC 1960,31.2
084.11250,-06.42000,0597,Morgan 8,27.6
084.16050,+31.84000,0599,FSR 0807,19.8
084.19950,+31.20000,0601,Koposov 36,16.8
084.42750,+31.30500,0603,FSR 0815,9
084.47550,-06.95600,0607,KMS 35,11.4
084.54750,+25.75000,0608,NGC 1996,24
084.53250,+31.74000,0609,FSR 0812,13.2
084.68250,-02.60000,0612,Sigma Ori,48
084.68550,+30.72300,0614,BDSB 74,12
084.81000,+37.80500,0616,Stock 10,49.8
084.83250,+31.51600,0620,FSR 0816,14.4
084.86400,+30.90300,0622,FSR 0817,13.8
084.88800,+33.35800,0625,Koposov 27,9.24
085.03050,+11.46000,0626,FSR 0930,16.8
085.17750,+35.92000,0629,Sh2 235,16.8
085.22250,+35.70700,0631,Sh2 235B,16.8
085.23750,+32.26600,0634,Berkeley 71,16.2
085.24200,+20.35600,0635,FSR 0874,14.16
085.35000,+39.23800,0638,Teutsch 2,9
085.38750,+35.86100,0639,BDSB 73,22.2
085.47000,+29.92000,0642,FSR 0821,18.6
085.48500,-05.29500,0643,FSR 1050,19.8
085.56750,+33.66000,0645,FSR 0799,18.6
085.62000,-08.15000,0647,L 1641S,49.2
085.64550,+29.54800,0650,FSR 0823,12
085.65000,+30.97300,0651,Teutsch 45,11.4
085.72050,+28.95700,0653,FSR 0826,14.4
085.77450,+20.14500,0655,NGC 2026,15
085.92150,+09.09500,0656,B 35,66
085.96800,+21.70500,0657,Koposov 77,13.8
086.10750,+28.82500,0661,Teutsch 10,19.2
086.28000,+24.73800,0662,FSR 0850,17.4
086.55000,+08.67500,0663,NGC 2039,21.6
086.67750,+00.10000,0664,NGC 2068,16.8
086.79150,+00.30000,0665,NGC 2071,16.8
086.83350,+30.60000,0666,IRAS 05439+3035,13.8
086.85000,-06.86500,0667,FSR 1066,26.4
086.87550,+35.41900,0669,Koposov 10,10.2
086.94750,+21.95000,0670,FSR 0864,18
087.00750,+05.39500,0671,FSR 0978,16.8
087.25050,+30.20500,0672,Basel 4,14.4
087.14700,+07.38000,0673,Collinder 74,21.6
087.21000,+26.36500,0674,FSR 0846,18.6
087.32700,+33.63000,0675,King 8,14.4
087.52500,+28.90000,0677,Czernik 23,16.8
087.55500,+23.87800,0678,BDSB 77,8.4
087.57750,+22.24000,0679,Berkeley 72,11.4
087.81750,+25.77000,0680,FSR 0849,13.2
087.92250,-12.22000,0681,FSR 1123,15.6
087.94500,+21.81500,0682,Berkeley 21,13.2
088.02000,+27.37800,0684,Dutra-Bica 83,14.4
088.05300,+26.95800,0685,Sh2 242,12
088.07250,+29.89700,0687,Koposov 43,19.8
088.08750,+32.57000,0689,NGC 2099,58.2
088.05750,+54.19000,0690,FSR 0693,11.4
088.37250,+25.17300,0691,FSR 0852,20.4
092.43750,+04.80500,0765,NGC 2180,13.2
088.43250,+00.41300,0692,NGC 2112,74.4
088.45950,+26.83000,0693,Teutsch 51,14.4
088.83000,-59.92000,0694,NGC 2132,29.4
088.86000,+20.88500,0695,Czernik 24,20.4
089.56200,+21.99000,0696,Basel 11B,21.6
089.55000,+16.52500,0697,IRAS 05553+1631,9
089.63100,+07.75700,0698,Berkeley 22,11.4
090.15750,-10.64000,0700,FSR 1116,20.4
090.26100,+35.27700,0701,Koposov 12,18.6
090.27600,+23.34000,0704,NGC 2129,16.8
090.31200,-06.08500,0705,FSR 1078,21.6
090.64800,+49.87200,0708,NGC 2126,27
090.65250,-12.01800,0709,FSR 1131,17.4
090.72750,+10.46000,0710,NGC 2141,22.8
090.79950,+05.74500,0711,NGC 2143,23.4
091.01250,+30.27000,0713,FSR 0839,15
091.02300,+20.28000,0714,FSR 0894,16.8
091.04250,-20.15900,0716,FSR 1205,24.6
091.08000,+22.00300,0717,FSR 0883,15.6
091.09950,+15.42000,0718,FSR 0928,15.6
091.11000,+14.56200,0719,FSR 0932,15.6
091.21500,-29.18500,0721,ESO 425-06,13.8
091.20750,+24.07000,0722,IC 2157,10.8
091.25250,-26.73300,0724,ESO 489-01,18.6
091.27050,+16.10000,0725,FSR 0925,26.4
091.35000,+30.79300,0726,FSR 0833,13.8
091.32000,+16.67500,0727,FSR 0921,19.2
091.38750,+14.55200,0728,FSR 0933,18.6
091.49550,+13.66000,0729,FSR 0942,19.8
091.61550,+19.22700,0730,FSR 0900,18.6
091.76250,+19.02200,0731,FSR 0904,11.4
091.79550,-06.06500,0732,IRAS 06046-0603,18.6
091.85700,+24.09200,0733,NGC 2158,30
091.88250,+19.09500,0735,FSR 0903,15.6
091.94700,+29.64000,0736,FSR 0844,21.6
091.94700,+18.77500,0737,FSR 0906,13.2
092.05500,-09.58000,0739,FSR 1115,19.2
092.10000,+13.99000,0740,NGC 2169,26.4
092.08500,-11.50000,0742,FSR 1132,16.8
092.18700,+24.31700,0747,Kharchenko 1,6.6
092.22000,-08.94700,0748,FSR 1110,11.4
092.23050,+26.26000,0751,Koposov 53,13.2
092.30250,+24.36000,0754,NGC 2168,117.6
092.29200,+25.68000,0755,FSR 0858,12.6
092.28000,+04.58500,0756,Dias 2,21.6
092.32950,+31.22300,0758,DC 8,10.2
092.33700,+20.66000,0759,Sh2 252C,10.2
093.67500,-22.50000,0763,Platais 5,248.4
092.42250,+20.50500,0764,NGC 2175,18
092.46000,+12.34500,0769,FSR 0960,16.8
092.49750,-07.98500,0770,FSR 1105,16.2
092.49750,-06.32000,0771,FSR 1094,19.2
092.50800,+24.55000,0772,Koposov 63,12
092.57250,+13.01700,0775,FSR 0952,20.4
092.60850,+16.83300,0776,FSR 0924,13.2
092.64000,+16.97000,0777,FSR 0923,20.4
092.70000,-06.20000,0779,NGC 2183,46.8
092.73000,+20.61500,0780,Pismis 27,12
092.74200,+14.39600,0781,FSR 0939,28.8
092.82750,-03.42000,0784,NGC 2184,21.6
092.84100,+11.87100,0785,FSR 0968,14.4
092.94000,+07.02000,0786,FSR 0985,20.4
093.03750,+05.46300,0787,NGC 2186,15.6
093.03000,+01.05500,0788,NGC 2189,18
093.06750,+05.18500,0789,FSR 1000,19.2
093.10500,+13.02000,0790,FSR 0956,19.2
093.42300,+06.95300,0795,Czernik 25,24.6
093.25200,+15.93000,0796,FSR 0931,15.6
093.42600,+14.99500,0800,FSR 0937,12
