alpha,delta,MWSC Id,id,diameter
123.16500,-40.48500,1452,Ruprecht 56,36.6
123.24150,-41.87500,1453,SAI 88,9
123.43500,-05.77000,1454,NGC 2548,86.4
123.49500,-36.33400,1455,vdBergh-Hagen 23,38.4
123.70500,-31.94500,1456,Ruprecht 58,15.6
123.79500,-26.97000,1457,Ruprecht 57,12
123.78000,-04.07500,1458,BIP 14,18.6
123.92250,-30.82900,1459,Haffner 26,13.8
123.90750,-35.64000,1460,ASCC 45,12
123.99000,-21.43500,1462,FSR 1307,9
124.09500,-48.47000,1463,ASCC 46,22.8
124.23750,-35.86600,1464,Pup OB3,40.8
124.49100,-41.67000,1465,Pismis 2,27
124.57500,-37.10000,1466,Pismis 1,9
124.64250,-30.65000,1467,NGC 2567,20.4
124.74750,-47.80000,1468,FSR 1419,13.8
124.73550,-29.73500,1469,NGC 2571,22.8
124.79100,-35.65000,1470,Ivanov 8,12
124.82100,-45.20800,1471,Moitinho 1,10.2
124.83750,-34.49500,1472,Ruprecht 59,12
124.89000,-45.35000,1473,Ruprecht 156,12
125.18250,-36.19700,1474,NGC 2579,10.8
125.37750,-30.29500,1476,NGC 2580,15
125.53500,-36.40500,1477,AH03 J0822-36.4,16.8
125.73000,-17.54500,1479,FSR 1295,15
125.80500,-32.97000,1480,NGC 2588,16.8
125.83500,-36.33000,1481,Collinder 185,15.6
125.85750,-29.49300,1482,NGC 2587,20.4
126.05100,-29.17000,1483,Collinder 187,12
126.12000,-41.30500,1484,ESO 312-03,13.8
126.10800,-47.20000,1485,Ruprecht 60,14.4
126.12900,-39.90500,1486,FSR 1387,15.6
126.30750,-34.15900,1488,Ruprecht 61,8.4
126.36000,-39.64000,1489,Saurer 2,9.6
126.69300,-41.23800,1491,ESO 312-04,9
126.78300,-34.70000,1492,ESO 370-13,8.4
127.02300,-41.77000,1493,SAI 90,12.6
127.09200,-40.08300,1494,FSR 1390,10.8
127.38300,-61.10000,1495,NGC 2609,10.2
127.45500,-19.12000,1496,Ruprecht 157,19.2
127.80000,-44.50500,1497,vdBergh-Hagen 34,18
127.81500,-38.65800,1498,Pismis 3,24.6
127.90800,-41.78700,1499,ESO 313-03,12.6
127.94700,-39.05500,1500,ASCC 47,33.6
127.96650,-36.19700,1501,ESO 370-17,13.2
128.12400,-41.99500,1502,Teutsch 64,8.4
128.15250,-19.68300,1503,Ruprecht 62,14.4
128.16000,-48.29500,1504,Ruprecht 63,14.4
128.59500,-43.86000,1505,FSR 1411,24
128.66250,-37.63000,1506,ASCC 48,20.4
128.67000,-44.49500,1507,Pismis 4,18
128.86500,-40.63000,1508,DBSB 19,10.2
128.94750,-43.61800,1509,vdBergh-Hagen 37,14.4
129.25500,-40.38500,1510,FSR 1397,13.8
129.25500,-50.04000,1511,SAI 91,13.8
129.26250,-42.36500,1512,FSR 1401,13.8
129.31950,-44.13100,1513,FSR 1412,13.8
129.33000,-29.94500,1514,NGC 2627,19.8
129.27000,-40.18500,1515,Ruprecht 64,54
129.41550,-39.58000,1516,Pismis 5,16.2
129.40950,-46.01700,1517,FSR 1429,10.8
129.57000,-42.35000,1518,FSR 1406,14.04
129.60900,-34.77500,1519,NGC 2635,17.4
129.76500,-46.23500,1520,Pismis 6,21.6
129.77250,-07.54000,1521,FSR 1251,22.8
129.81750,-44.07000,1522,Ruprecht 65,18.6
129.86250,-47.35700,1523,FSR 1443,19.8
129.87000,-47.10000,1524,FSR 1441,15
130.09500,-44.72500,1526,FSR 1415,14.4
130.09500,+19.69000,1527,NGC 2632,372
130.09500,-46.13300,1528,Waterloo 6,8.4
130.06500,-53.02800,1529,IC 2391,93
130.11750,-38.05500,1530,Ruprecht 66,15
130.21050,-25.37500,1531,FSR 1345,20.76
130.30050,-38.70700,1532,Pismis 7,18.6
130.41450,-46.26700,1533,Pismis 8,13.8
130.44000,-43.39500,1534,Ruprecht 67,20.4
130.47000,-79.04500,1535,Mamajek 1,50.4
130.56000,-40.73300,1536,DBSB 21,8.4
130.65000,-48.13300,1537,IC 2395,27.6
130.64250,-44.98500,1538,NGC 2659,14.4
130.66500,-47.19700,1539,NGC 2660,13.8
130.74750,-27.86500,1540,ESO 432-03,14.4
130.73250,-35.78500,1541,FSR 1382,13.8
130.87500,-32.66500,1542,NGC 2658,27.6
130.87950,-31.71600,1543,FSR 1371,9
130.92900,-37.70000,1544,ESO 313-11,9
130.96350,-40.22500,1545,ESO 313-12,14.4
131.04000,-39.36500,1546,FSR 1399,15
131.14800,-35.88500,1547,Ruprecht 68,16.8
131.11950,-47.57000,1548,Ruprecht 69,13.2
131.17200,-46.28500,1549,SAI 94,10.8
131.19000,-45.98000,1550,Bochum 7,22.8
131.21250,-41.23300,1551,Collinder 197,26.4
131.25750,-31.62500,1552,Collinder 196,21.6
131.39250,-48.82000,1554,NGC 2670,13.2
131.37000,-45.40200,1555,FSR 1434,20.4
131.55300,-41.86700,1558,NGC 2671,22.2
131.57250,-47.68500,1559,ESO 260-06,13.8
131.61750,-52.94000,1561,NGC 2669,33
131.66250,-43.88400,1564,DBSB 27,7.8
131.84250,+12.60000,1565,NGC 2664,22.8
131.80500,-52.06500,1566,ESO 211-01,15
131.87250,-42.40000,1567,Trumpler 10,46.8
131.91450,-43.99900,1568,FSR 1418,16.8
131.96250,-38.00000,1569,ASCC 49,32.4
132.00000,-47.03000,1570,ESO 260-07,15
132.11250,-11.21000,1571,FSR 1280,21.6
132.33750,-46.87800,1574,Ruprecht 71,18.6
132.42150,-44.36700,1575,vdBergh-Hagen 54,13.8
132.59250,-41.72000,1579,ASCC 50,30
132.66000,-43.83200,1582,FSR 1424,12
132.78000,-48.47700,1584,FSR 1454,10.2
132.84750,+11.81500,1585,NGC 2682,123.6
132.90000,-50.24500,1587,ESO 211-03,18.6
132.96750,-44.25300,1589,FSR 1430,13.2
133.01250,-37.61000,1591,Ruprecht 72,12
133.11000,-37.55500,1592,Ruprecht 158,15
133.23300,-44.18500,1594,FSR 1432,12
133.24950,-35.46700,1595,ESO 371-25,11.4
133.32750,-47.92000,1597,FSR 1452,13.8
133.33950,-14.78500,1599,FSR 1304,21.6
134.04750,-39.51000,1600,vdBergh-Hagen 55,16.8
134.05500,-23.43500,1601,FSR 1346,16.8
134.27250,-43.76500,1604,FSR 1435,27.6
134.28000,-43.28500,1605,vdBergh-Hagen 56,15
134.49000,-47.69500,1606,Muzzio 1,21.6
134.52300,-42.60000,1608,FSR 1421,10.2
134.60250,-46.30300,1609,FSR 1450,13.8
135.03300,-52.71100,1612,FSR 1478,13.2
135.13500,-48.99000,1613,Collinder 205,16.8
135.29100,-50.91700,1615,Ruprecht 73,9
135.65850,-43.63600,1619,Pismis 10,10.2
135.70050,-43.96000,1620,FSR 1442,10.2
135.79500,-47.81700,1622,DBSB 34,7.8
136.15350,-41.12600,1623,FSR 1416,12.6
136.18800,-46.03500,1624,ESO 260-17,13.8
136.35000,-55.93800,1625,ESO 165-09,19.2
136.44000,-37.87500,1626,FSR 1402,23.4
136.44000,-26.34000,1627,FSR 1367,14.4
136.91250,-47.82500,1628,FSR 1460,20.4
136.87500,-59.16000,1629,Platais 8,180
137.48400,-25.48000,1631,FSR 1366,13.2
137.55000,-56.26200,1632,vdBergh-Hagen 58,8.4
137.62500,-53.89000,1633,ESO 166-04,17.16
137.82750,-47.06000,1634,ESO 261-03,17.4
137.94750,-48.07000,1635,FSR 1468,15
138.01350,-64.86300,1636,NGC 2808,31.2
138.04200,-32.76000,1637,FSR 1389,16.8
138.42000,-77.42500,1638,FSR 1579,18
137.95500,-43.53000,1639,Platais 9,252
138.66750,-49.74500,1640,FSR 1474,12
138.79050,-47.46500,1641,DBSB 35,14.4
138.92250,-29.67500,1642,FSR 1381,13.2
138.97050,-50.01000,1643,Pismis 11,9.24
139.05000,-36.61500,1644,NGC 2818,32.4
139.20000,-47.94500,1645,DBSB 36,15.6
139.18350,-50.28300,1646,ESO 211-09,9
139.52250,-69.69000,1647,ASCC 51,54
139.84650,-40.51700,1648,NGC 2849,10.2
139.87800,-38.13200,1649,ESO 314-14,13.8
139.99950,-45.11000,1650,Pismis 12,13.8
140.10750,-60.39500,1651,Ruprecht 159,12
140.13750,-52.82700,1652,Teutsch 48,9.6
140.16300,-49.21700,1653,vdBergh-Hagen 63,12.6
140.23800,-77.28200,1654,E 3,12
140.25000,-37.11700,1655,Ruprecht 74,9
140.44500,-45.76000,1656,FSR 1464,13.8
140.47950,-56.31700,1657,Ruprecht 75,10.2
140.52900,-51.10000,1658,NGC 2866,12
140.51250,-51.96600,1659,FSR 1485,12
141.04500,-47.34000,1661,FSR 1471,13.8
141.06750,-51.66000,1663,Ruprecht 76,14.4
141.15000,-44.67000,1664,ESO 261-07,13.2
141.10350,-53.13600,1665,DBSB 39,7.2
141.33750,-54.72500,1667,vdBergh-Hagen 66,9.6
141.42000,-53.22500,1668,Miller 1,7.8
141.68250,-51.27300,1669,vdBergh-Hagen 67,16.2
141.79500,-55.12300,1670,Ruprecht 77,16.8
141.91500,-57.00000,1671,IC 2488,27
141.99750,-54.25000,1672,ASCC 52,16.8
142.19250,-76.08500,1673,FSR 1577,18
142.15500,-46.60000,1674,Teutsch 103,10.8
142.26000,-53.71000,1675,Ruprecht 78,15
142.46250,-33.83500,1676,FSR 1407,19.2
142.44600,-50.68200,1677,FSR 1484,12
142.47000,-52.78000,1678,Pismis 14,12
142.62000,-52.92500,1679,NGC 2910,15
142.74750,-56.43000,1680,Basel 20,16.8
142.84500,-53.03500,1681,vdBergh-Hagen 72,10.8
142.96500,-50.21500,1682,vdBergh-Hagen 73,12.6
143.09250,-35.98000,1683,FSR 1417,13.8
143.31750,-36.41000,1684,Turner 5,108
143.21250,-28.84800,1685,FSR 1391,31.2
143.28600,-53.37100,1686,NGC 2925,32.4
143.31600,-51.19500,1687,FSR 1489,13.8
143.39700,-52.37500,1688,Teutsch 66,12
143.48250,-56.24800,1689,FSR 1507,12.6
143.68800,-48.03000,1690,Pismis 15,18
143.67900,-54.70000,1691,vdBergh-Hagen 75,14.16
143.78250,-36.56300,1692,FSR 1431,19.2
143.86650,-46.81000,1694,NGC 2932,16.8
144.47550,-53.95300,1695,FSR 1500,8.04
144.46500,-31.61500,1696,FSR 1405,20.4
144.54000,-59.46000,1697,ASCC 53,31.8
144.72000,-52.93500,1698,SAI 108,15
145.05750,-50.32500,1699,NGC 2972,13.2
145.13700,-50.58000,1700,Hogg 1,11.4
145.23000,-53.85000,1701,Ruprecht 79,18.6
145.51500,-44.02000,1703,Ruprecht 80,13.2
145.74750,-52.11700,1704,FSR 1496,10.8
145.90500,-50.78300,1705,SAI 109,10.8
145.95000,-56.56500,1706,vdBergh-Hagen 78,6.24
146.03250,-53.32500,1708,vdBergh-Hagen 79,20.4
146.19750,-54.43500,1709,ASCC 54,21.6
146.29950,-44.10000,1710,Ruprecht 81,13.8
146.43750,-53.96800,1711,Ruprecht 82,10.2
146.71650,-64.63200,1712,FSR 1541,13.2
146.90250,-37.05500,1713,FSR 1451,13.8
147.00450,-55.06700,1714,FSR 1509,12
147.12750,-56.42500,1715,NGC 3033,15
147.15000,-55.79000,1716,FSR 1513,16.8
147.28500,-65.24000,1717,Ruprecht 84,21.6
147.33000,-54.61200,1718,Ruprecht 83,10.8
147.31500,-62.67000,1719,NGC 3036,16.8
147.64500,-72.76200,1720,FSR 1566,16.8
147.81450,-53.17300,1721,Pismis 16,9
147.90000,-56.31000,1722,Hogg 2,9
148.50000,-57.07700,1724,ASCC 55,33
148.68000,-50.92500,1725,Collinder 213,19.2
148.64250,-42.23500,1726,FSR 1475,24
148.83000,-56.61500,1727,FSR 1521,16.8
148.86750,-28.96500,1728,ESO 435-09,24.6
149.08500,-47.03000,1729,Ruprecht 160,13.2
149.10000,-50.27000,1730,FSR 1498,13.8
149.16000,-29.44500,1731,FSR 1413,12
149.25000,-54.81800,1732,FSR 1517,12.6
149.46750,-54.62500,1734,Hogg 4,11.4
149.69250,-30.90800,1735,ESO 435-17,12
149.70450,-67.73900,1736,FSR 1554,13.2
149.83500,-43.90800,1737,FSR 1481,18.6
149.88000,-54.51000,1738,FSR 1518,12
149.85000,-57.07000,1739,DBSB 125,9.24
149.97750,-46.98500,1740,FSR 1491,15.6
150.00000,-57.55500,1741,FSR 1524,14.4
150.18000,-54.78000,1742,NGC 3105,14.4
150.33750,-58.21500,1743,vdBergh-Hagen 84,11.4
150.33000,-57.70500,1744,DBSB 40,7.2
150.42000,-55.01500,1746,Ruprecht 85,12
150.43500,-59.45500,1747,Ruprecht 86,10.2
150.46500,-49.58500,1748,vdBergh-Hagen 85,14.4
150.48000,-60.11000,1749,NGC 3114,41.4
150.80250,-58.12500,1751,Loden 28,15.6
150.80250,-64.79500,1752,ESO 092-05,10.2
150.97500,-32.05000,1753,ESO 435-33,8.4
150.97500,-59.29500,1754,DBSB 43,10.2
151.14000,-55.41000,1755,vdBergh-Hagen 87,14.4
151.15050,-55.85700,1756,Schuster 1,9.24
151.22550,-61.60000,1757,Trumpler 11,14.4
151.30800,-55.80500,1758,Loden 1,11.16
151.39500,-35.36500,1760,FSR 1459,13.8
151.44750,-36.91000,1761,FSR 1465,18.6
151.63500,-60.30000,1763,Trumpler 12,19.2
151.56750,-51.59500,1764,vdBergh-Hagen 88,14.4
151.63350,-57.41400,1765,FSR 1527,10.2
151.65000,-60.50000,1766,Hogg 6,13.2
151.76550,-31.99500,1768,FSR 1449,20.4
151.93500,-36.49300,1770,FSR 1467,23.4
152.00250,-59.19500,1771,FSR 1535,12
152.07750,-64.38000,1772,ASCC 56,38.4
152.29500,-61.26000,1773,Ruprecht 161,28.8
152.24250,-57.28500,1774,FSR 1530,11.4
152.38500,-28.35800,1775,ESO 435-48,18.6
152.73000,-66.70000,1776,ASCC 57,25.8
152.76000,-56.58700,1777,Loden 27,13.8
153.04500,-58.06000,1778,vdBergh-Hagen 90,12.6
153.41700,-59.02100,1779,DBSB 50,8.4
153.48900,-29.16800,1780,ESO 436-02,18.6
153.69750,-64.59000,1781,ESO 092-18,9
153.75750,-54.97000,1782,ASCC 58,37.2
153.87000,-50.71000,1783,Ruprecht 87,9.6
153.90750,-60.31000,1784,DBSB 47,9
154.05750,-34.36000,1786,Alessi 4,17.4
154.24500,-58.69500,1787,vdBergh-Hagen 91,18
154.40400,-46.41200,1788,NGC 3201,28.8
154.74600,-56.17000,1789,FSR 1531,10.2
154.69950,-63.13700,1790,Ruprecht 88,15.6
154.78050,-56.42300,1791,vdBergh-Hagen 92,14.4
154.79250,-58.04500,1792,DBSB 45,7.2
155.11500,-57.67500,1793,ASCC 59,39.6
155.35500,-51.73000,1794,NGC 3228,21.6
155.36250,-54.44500,1795,Teutsch 44,10.2
155.41500,-69.34800,1796,ESO 062-08,12
155.67450,-59.49500,1797,SAI 113,10.8
155.79750,-54.84000,1798,Loden 46,15
155.91750,-69.82500,1799,FSR 1572,14.4
155.95050,-60.13300,1800,Trumpler 13,19.2
155.98500,-57.76000,1801,Westerlund 2,9
156.19500,-69.07000,1802,FSR 1568,16.8
156.46500,-57.91500,1803,Collinder 220,16.8
156.66450,-60.68200,1804,NGC 3255,16.8
156.90000,-57.64000,1805,IC 2581,19.8
157.22250,-58.80500,1807,Loden 143,36
157.10700,-58.13500,1808,Ruprecht 89,18.6
156.96000,-60.70000,1809,Loden 172,21.6
157.28250,-60.74500,1810,Hogg 7,10.2
157.32000,-60.98300,1811,Hogg 8,12.6
157.32750,-56.78000,1812,Loden 89,22.2
157.36500,-57.42500,1813,DBSB 46,6.96
157.56750,-54.04000,1814,Loden 59,16.8
157.64250,-59.85500,1815,Collinder 223,13.8
157.73250,-53.86500,1816,ESO 168-04,12
157.87050,-58.03400,1817,DBSB 48,12
157.89750,-55.15000,1818,FSR 1536,13.2
157.93500,-58.25000,1819,Ruprecht 90,16.8
158.08500,-56.69500,1820,Loden 112,17.4
158.18250,-61.62000,1821,DBSB 53,12
158.25750,-59.61500,1822,DBSB 51,7.2
158.28750,-58.48200,1823,ASCC 60,20.4
158.67000,-58.13000,1824,Loden 153,12
158.92500,-60.13000,1825,Bochum 9,20.4
158.95500,-58.23000,1826,NGC 3293,16.2
158.98350,-58.73300,1827,Loden 165,13.8
159.03750,-61.83700,1828,Loden 213,15
159.23250,-58.75000,1829,Carraro 1,10.2
159.33000,-58.63500,1830,NGC 3324,18
159.46500,-59.12500,1831,vdBergh-Hagen 99,40.8
159.69000,-54.11500,1835,NGC 3330,17.4
159.73500,-69.03500,1836,ESO 062-11,16.8
159.99000,-43.12400,1837,FSR 1511,22.8
159.99750,-59.19000,1838,DC 5,12
160.35450,-55.30000,1839,Saurer 3,13.2
160.56750,-65.09500,1840,Melotte 101,27.6
160.44000,-64.40000,1841,IC 2602,177.6
160.61250,-59.11500,1842,Bochum 10,21.6
160.62900,-63.15700,1843,DBSB 55,10.8
160.83000,-61.17000,1844,Alessi 5,42
160.98300,-60.08700,1845,Collinder 228,33.6
160.98000,-59.55500,1846,Trumpler 14,15.6
161.16300,-59.36000,1849,Trumpler 15,19.2
161.31000,-59.72000,1850,Trumpler 16,13.2
161.54250,-56.84000,1853,ASCC 61,18
161.81250,-60.08300,1854,Bochum 11,23.4
161.91000,-57.47000,1855,Ruprecht 91,16.2
162.00750,-29.39500,1856,ESO 437-61,13.2
162.61500,-56.42000,1858,Loden 189,31.8
162.76500,-60.08500,1859,ASCC 62,19.8
163.07250,-45.12500,1862,NGC 3446,24.6
163.15800,-54.26500,1863,vdBergh-Hagen 106,15
163.22850,-59.46000,1864,Teutsch 31,10.2
163.20750,-62.30500,1865,Ruprecht 162,16.2
163.38000,-61.70000,1866,Ruprecht 92,18.6
163.41750,-58.24500,1867,ESO 128-16,19.2
163.55850,-61.73300,1868,Kronberger 39,6.24
163.98000,-60.41500,1869,ASCC 63,18
164.11500,-59.22300,1870,Trumpler 17,13.2
164.13300,-63.01700,1871,Graham 1,10.8
164.34000,-61.12000,1872,Collinder 236,24
164.34000,-61.72500,1873,Bochum 12,17.4
164.60250,-59.05300,1874,Hogg 9,8.4
164.75400,-59.48300,1876,Turner 6,9
164.85450,-59.53500,1877,Teutsch 106,9
164.90250,-60.34000,1878,NGC 3496,21.6
165.23250,-45.34000,1880,ESO 265-01,18
165.25500,-60.23000,1881,Sher 1,5.4
165.27000,-59.87500,1882,Pismis 17,20.4
165.76500,-60.91500,1884,ASCC 64,22.8
166.05000,-61.37000,1885,Ruprecht 93,16.2
166.22250,-67.94300,1886,Ruprecht 163,10.8
166.38750,-61.25500,1887,Shorlin 2,7.2
166.40400,-62.48500,1888,DBSB 60,6.6
166.48500,-61.12000,1889,Loden 306,21.6
166.45500,-58.73000,1890,NGC 3532,51
166.57950,-61.24300,1891,Shorlin 1,8.4
166.68000,-59.82000,1892,Feinstein 1,24
166.81500,-61.46000,1894,vdBergh-Hagen 110,10.2
167.02950,-26.71700,1896,ESO 502-19,21.6
165.90000,-77.34000,1897,Chamaleon I,43.2
167.19000,-60.70500,1898,Teutsch 143a,12
167.30250,-65.06000,1900,FSR 1584,15.6
167.28000,-63.83000,1901,vdBergh-Hagen 111,21.6
167.29500,-53.50000,1902,FSR 1556,12.6
167.43000,-60.57000,1904,Loden 309,12.6
167.45250,-59.10000,1905,Loden 280,7.2
167.60250,-60.25000,1906,NGC 3572,14.4
167.63250,-59.03300,1907,Basel 17,15
167.68500,-60.38500,1908,Hogg 10,13.2
167.74500,-61.12500,1909,ASCC 65,26.4
167.83500,-61.29000,1910,DBSB 62,12
167.89500,-60.66500,1911,Trumpler 18,19.2
167.90250,-60.39000,1913,Hogg 11,10.8
168.04500,-21.34000,1915,ESO 570-12,30
168.06000,-60.76500,1918,Hogg 12,9.6
168.25800,-60.77500,1920,NGC 3590,19.8
168.24750,-58.88000,1921,Stock 13,17.4
168.39000,-55.44000,1922,ASCC 66,24
168.46050,-64.47700,1923,FSR 1585,15
168.56250,-57.53500,1924,Trumpler 19,25.8
168.71250,-44.33000,1925,FSR 1543,19.8
168.84750,-61.25000,1926,NGC 3603,10.2
169.07550,-60.24500,1927,Hogg 13,10.2
169.11000,-61.48500,1928,DBSB 66,6.6
169.36500,-62.74000,1930,IC 2714,23.4
169.64250,-53.79000,1931,FSR 1561,19.2
169.92150,-65.21700,1932,ESO 093-08,8.4
169.92000,-63.47500,1933,Melotte 105,19.2
170.09250,-56.81700,1935,FSR 1569,11.4
170.28750,-58.21500,1936,ESO 129-19,12.84
170.49750,-52.25500,1937,FSR 1560,19.8
170.67000,-62.32000,1938,FSR 1586,16.8
170.62500,-58.53000,1939,vdBergh-Hagen 118,13.8
170.77500,-75.01500,1940,FSR 1598,13.2
171.14250,-58.95000,1941,DBSB 64,15
171.40500,-43.23500,1942,NGC 3680,22.8
171.96000,-68.73500,1943,FSR 1593,16.8
171.93750,-58.51000,1944,FSR 1580,12
172.21800,-63.10500,1946,DBSB 68,8.4
172.63500,-63.48000,1950,Ruprecht 94,27.6
172.71000,-60.75000,1951,Ruprecht 164,18
172.72500,-58.48000,1952,Loden 372,13.2
172.91550,-57.62300,1953,FSR 1583,14.4
173.08500,-60.70500,1954,Loden 402,21.6
173.25000,-77.82500,1955,FSR 1607,18
173.45250,-63.28500,1956,DBSB 69,8.4
174.05250,-62.95000,1957,IC 2944,24
174.07500,-61.61500,1958,NGC 3766,27.6
174.24000,-62.72300,1959,FSR 1591,13.8
174.52500,-63.33800,1960,vdBergh-Hagen 121,19.8
174.80250,-63.51000,1961,IC 2948,20.4
175.36500,-61.01000,1963,ASCC 67,26.4
175.39500,-62.42500,1964,Bica 5,12.6
175.56000,-62.51000,1965,Lynga 15,15
175.91250,-61.15500,1966,Ruprecht 95,9.6
175.95000,-62.52000,1968,Stock 14,20.4
176.01750,-45.92500,1969,FSR 1573,20.4
176.04750,-61.05800,1970,ESO 129-32,12
176.14500,-67.08500,1971,FSR 1597,19.8
176.17500,-45.66000,1972,FSR 1574,21.6
176.37450,-62.43300,1973,Loden 467,13.8
176.48700,-65.55500,1975,DBSB 72,9.24
176.75250,-62.65000,1976,FSR 1595,16.8
177.13500,-62.28500,1977,DBSB 70,9.6
177.32250,-62.22500,1978,SAI 116,12
177.52500,-48.21000,1979,NGC 3909,20.4
177.54000,-64.87000,1981,DBSB 73,6
177.66000,-55.67000,1982,NGC 3960,20.4
177.69750,-62.15000,1983,Ruprecht 96,15
177.96000,-61.27000,1984,Loden 481,28.2
178.37250,-62.60500,1985,Teutsch 77,13.2
178.90500,-58.39000,1986,Loden 480,16.8
179.34750,-62.71000,1987,Ruprecht 97,10.8
179.71500,-64.58800,1988,Ruprecht 98,33.6
180.30000,-78.33500,1990,Feigelson 1,114
180.31500,-63.21500,1991,NGC 4052,18
180.42000,-64.10000,1992,Juchert 13,12
180.71250,-60.92000,1993,ASCC 68,36
180.87000,-63.86000,1994,Ruprecht 99,25.2
181.44000,-62.61700,1995,Ruprecht 100,18.6
181.57500,-69.78000,1996,ASCC 69,33
181.66500,-61.25000,1997,NGC 4103,25.2
181.96500,-59.30000,1998,ESO 130-06,22.8
181.91250,-65.18500,1999,FSR 1605,12.6
181.98750,-60.69000,2000,Loden 565,22.2
182.23050,-63.27000,2001,DBSB 75,9.6
182.39250,-63.00500,2002,Ruprecht 101,22.8
182.52600,+18.54300,2004,NGC 4147,7.2
182.58000,-59.52000,2005,ESO 130-08,24
183.39000,-62.73000,2007,Ruprecht 102,19.2
183.46500,-56.78500,2008,FSR 1602,15
183.50250,-63.59000,2009,Saurer 4,5.4
183.70500,-64.40000,2010,ASCC 70,33.6
183.86250,-62.91000,2011,DBSB 129,6
184.23000,-58.41700,2012,Ruprecht 103,13.8
184.33500,-55.12000,2013,NGC 4230,16.2
185.02500,-81.51000,2014,FSR 1626,24
185.17050,-64.77500,2015,Loden 615,29.4
185.19000,-67.53000,2016,ASCC 71,28.2
185.31000,-57.18500,2017,FSR 1608,16.8
185.46750,-51.47000,2018,FSR 1604,19.8
185.98500,+26.30000,2020,Melotte 111,507
185.76750,-59.66500,2021,ESO 130-13,24.6
186.00000,-58.11700,2023,NGC 4337,22.2
186.06000,-61.87000,2024,NGC 4349,24.6
186.06750,-56.16500,2025,FSR 1610,15
186.18000,-68.48500,2026,ESO 064-05,19.2
186.25500,-60.44500,2028,Ruprecht 104,13.8
186.43950,-72.65900,2029,NGC 4372,39.6
186.54000,-63.40000,2030,vdBergh-Hagen 131,10.8
186.57750,-61.80000,2031,Loden 624,38.4
186.75000,-64.06700,2032,vdBergh-Hagen 132,21.6
186.81000,-60.77500,2033,Collinder 258,23.4
186.96750,-48.47500,2034,FSR 1609,13.8
187.11750,-60.11000,2035,NGC 4439,15
187.11000,-56.43000,2036,Ruprecht 165,10.8
187.18500,-59.81000,2037,Hogg 14,10.2
187.14750,-60.92500,2038,Hogg 23,12
187.13250,-66.56000,2039,FSR 1617,20.52
187.32750,-63.43000,2040,FSR 1616,15.6
187.40250,-57.86500,2041,ESO 131-09,17.4
187.48500,-64.79000,2042,NGC 4463,16.8
187.97250,-46.47700,2043,FSR 1613,20.4
188.27250,-60.93000,2044,ASCC 72,21.6
188.52000,-29.40000,2046,ESO 442-04,33.6
188.47500,-61.57500,2047,Ruprecht 105,23.4
188.74500,-61.65400,2048,DBSB 77,5.4
188.73000,-80.95000,2049,FSR 1629,20.4
189.01500,-61.85500,2051,DBSB 78,8.4
189.03300,-66.94200,2052,FSR 1623,16.2
189.09000,-67.25000,2053,ASCC 73,29.4
189.39750,-57.26000,2054,FSR 1620,15
189.52500,-68.36700,2055,Collinder 261,28.2
189.49500,-63.26000,2056,FSR 1622,15
189.66750,-51.15000,2057,Ruprecht 106,9
189.84750,-57.38000,2058,FSR 1621,17.4
189.86700,-26.74400,2059,NGC 4590,23.4
189.93750,-60.63500,2060,Trumpler 20,39.6
190.20000,-58.41000,2061,FSR 1625,23.4
190.57500,-62.99000,2062,NGC 4609,18.6
190.89750,-63.09800,2063,Hogg 15,9
191.43000,-81.25800,2064,FSR 1631,21.6
191.80500,-60.69000,2065,Loden 682,25.8
192.18000,-62.13500,2066,FSR 1630,16.2
192.19500,-63.72800,2067,DBSB 79,10.2
192.59550,-61.58200,2068,DBSB 80,8.4
192.82500,-69.73000,2069,ESO 065-03,16.8
193.26750,-60.73500,2070,Loden 694,30
193.32000,-67.17000,2071,vdBergh-Hagen 140,13.2
193.41000,-60.37500,2072,NGC 4755,27
193.61250,-43.68000,2073,FSR 1634,20.4
193.73700,-43.50300,2074,FSR 1635,19.8
194.50500,-64.96000,2075,NGC 4815,12.6
194.89200,-70.87700,2077,NGC 4833,24.6
195.04500,-59.59000,2078,NGC 4852,18.6
195.27750,-71.39500,2079,FSR 1638,14.4
196.17000,-64.54500,2081,FSR 1641,13.2
197.31750,-77.13500,2083,FSR 1639,23.4
197.81250,+30.52500,2084,Latham 1,54.6
197.83200,-62.75500,2085,DBSB 83,7.2
197.91300,-62.55300,2087,DBSB 131,7.2
197.97750,-77.45000,2089,FSR 1640,18.6
198.00000,-65.30000,2091,Loden 757,19.2
198.12750,-62.70800,2092,Danks 1,6
198.22500,-62.66700,2093,Danks 2,7.8
198.22950,+18.16800,2094,NGC 5024,30
198.49950,-62.40200,2095,DBSB 133,13.2
198.63000,-63.42000,2096,NGC 5045,37.8
198.81750,-65.92000,2098,vdBergh-Hagen 144,7.2
199.02000,-60.06500,2099,NGC 5043,20.4
199.11750,-54.20000,2100,FSR 1646,14.4
199.11300,+17.70000,2101,NGC 5053,18
199.56750,-67.07500,2103,Collinder 268,13.8
199.61250,-62.66500,2104,DBSB 85,7.8
199.69500,-62.51000,2105,Stock 16,22.2
199.90500,-56.18000,2107,FSR 1649,15
199.94100,-64.95000,2108,Ruprecht 107,9
199.94550,-56.35100,2109,FSR 1648,16.8
